Handle,ObjType,Content,Layer,Extra
BE67C9,BlockReference,"L-SECLBL",L-SECLBL,0.9996569999999925
BE67CF,MText,"Theor. S.W.1/4 Sec. 28-43-8-W.5M.",C-SYMBOL,19.993139999999855
BE67D0,MText,"Theor. S.E.1/4 Sec. 28-43-8-W.5M.",C-SYMBOL,19.993139999999855
BE67D1,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994511999999853
BE67D3,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994511999999853
BE67D5,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99656999999993
BE67D6,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99656999999993
BE67D7,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99656999999993
BE67D9,DBText,"L.S. 3",L-SECTION-LSD,9.99656999999993
BE67DA,DBText,"L.S. 4",L-SECTION-LSD,9.99656999999993
BE67DB,DBText,"L.S. 6",L-SECTION-LSD,9.99656999999993
BE67DD,DBText,"L.S. 1",L-SECTION-LSD,9.99656999999993
BE67DE,DBText,"L.S. 2",L-SECTION-LSD,9.99656999999993
BE67DF,DBText,"L.S. 8",L-SECTION-LSD,9.99656999999993
BE67E0,DBText,"L.S. 7",L-SECTION-LSD,9.99656999999993
BE6851,BlockReference,"HRV",CG-NOTES,0.9996569999999925
BE6855,BlockReference,"HRV",CG-NOTES,0.9996569999999925
BE6859,AlignedDimension,"Obsidian  A/R  230438",C-AR-T,Compass 5 000
BE685A,AlignedDimension,"Obsidian  A/R  2547",C-AR-T,Compass 5 000
BE685B,AlignedDimension,"Obsidian  A/R  4043",C-AR-T,Compass 5 000
BE685C,AlignedDimension,"Obsidian  Flow Line R/W  1740",C-FLOWLINE-T,Compass 5 000
BE685D,AlignedDimension,"Obsidian  P/L R/W  5182",C-RW-T,Compass 5 000
BE685E,AlignedDimension,"Obsidian  Flow Line R/W  3103",C-FLOWLINE-T,Compass 5 000
BE685F,AlignedDimension,"Obsidian  P/L R/W  3202 NY  1985",C-RW-T,Compass 5 000
BE6860,AlignedDimension,"Obsidian  P/L R/W  4505 NY  2272",C-RW-T,Compass 5 000
BE6861,AlignedDimension,"Obsidian  P/L R/W  5063",C-RW-T,Compass 5 000
BE6862,AlignedDimension,"Obsidian  P/L R/W  012 3436  001101",C-RW-T,Compass 5 000
BE6864,MText,"Obsidian 4-28 (Surface) MSL 2333 (Expired)",C-WS-T,9.996569999999934
BE6866,MText,"Obsidian Riser Site PIL 120575 (Expired)",C-WS-T,9.996569999999934
BE6867,MText,"Obsidian 8-29 (Surface) MSL 230854",C-WS-T,9.996569999999934
BE686A,AlignedDimension,"Fortis  Power Line R/W  200015",F-EZE-T,Compass 5 000
BE686B,AlignedDimension,"Fortis  Vegetation Control R/W  880293",F-EZE-T,Compass 5 000
BE686C,AlignedDimension,"Fortis  Power Line R/W  800213",F-EZE-T,Compass 5 000
BE686D,AlignedDimension,"Vermillion  P/L R/W  220244",F-RW-T,Compass 5 000
BE686E,MText,"Vermilion 12-28 (Surface) MSL 170102",F-WS-T,9.996569999999934
BE686F,BlockReference,"*U46",AS-OWNER,0.9996569999999925
BE687E,BlockReference,"GAS",F-WS-S,4.99828499999997
BE687F,BlockReference,"GAS",F-WS-S,4.99828499999997
BE6880,BlockReference,"GABD",F-WS-S,4.99828499999997
BE6881,BlockReference,"GAS",C-WS-S,4.99828499999997
BE6882,BlockReference,"GAS",C-WS-S,4.99828499999997
BE6883,BlockReference,"GAS",C-WS-S,4.99828499999997
BE6884,BlockReference,"GAS",C-WS-S,4.99828499999997
BE991F,BlockReference,"plspike",L-MON,4.99999999999997
BE9924,BlockReference,"plspike",L-MON,4.99999999999997
BE9929,BlockReference,"plspike",L-MON,4.99999999999997
BE992E,BlockReference,"FDI",L-MON,4.99999999999997
BE9933,BlockReference,"plspike",L-MON,4.99999999999997
BE9938,BlockReference,"plspike",L-MON,4.99999999999997
BE993D,BlockReference,"plspike",L-MON,4.99999999999997
BE9942,BlockReference,"plspike",L-MON,4.99999999999997
BE9956,BlockReference,"FDI",L-MON,4.99999999999997
BE995B,BlockReference,"FDI",L-MON,4.99999999999997
BEE760,MText,"40cm Pine & Spruce 50cm Poplar",T-BUSH-T,9.99660249999994
BEE761,MText,"40cm Pine & Spruce 50cm Poplar",T-BUSH-T,9.99660249999994
BF331F,AlignedDimension,"Obsidian  A/R  230438",C-AR-T,Compass 5 000
BF81FF,MText,"Obsidian 2-28 (Surface) MSL 4043 (Expired)",C-WS-T,9.996569999999934
BFA5AF,MText,"North Saskatchewan River",T-WATER-T,9.996569999999934
BFB000,DBText,"315.82 (Tie)",L-BD,9.996602499999943
BFB001,DBText,"167°12'00''",L-BD,9.996602499999943
BFB899,DBText,"308°25'10''",L-BD,9.996602499999943
BFB8E5,DBText,"RP",35,9.996602499999943
BFE79B,BlockReference,"GABD",F-WS-S,4.998301249999972
BFE79C,BlockReference,"plspike",L-MON,4.998301249999972
BFE79D,BlockReference,"plspike",L-MON,4.998301249999972
BFE79E,BlockReference,"plspike",L-MON,4.998301249999972
BFE79F,BlockReference,"FDI",L-MON,4.998301249999972
BFE7A0,BlockReference,"plspike",L-MON,4.998301249999972
BFE7A1,BlockReference,"plspike",L-MON,4.998301249999972
BFE7A2,BlockReference,"plspike",L-MON,4.998301249999972
BFE7A3,BlockReference,"plspike",L-MON,4.998301249999972
BFE7A4,BlockReference,"FDI",L-MON,4.998301249999972
BFF03D,BlockReference,"WC",L-MON,4.998301249999972
BFF03E,BlockReference,"WC",L-MON,4.998301249999972
BFF040,BlockReference,"WC",L-MON,4.998301249999972
BFF041,BlockReference,"WC",L-MON,4.998301249999972
BFF042,BlockReference,"WC",L-MON,4.998301249999972
BFF1B2,DBText,"RP",35,9.996602499999943
BFF1B4,MText,"Fd.I. Mp.",L-MON-T,9.996569999999934
BFF1B6,MText,"Obsidian 6-28 (Surface) MSL 992784 (Expired, To be Amended)",C-WS-T,9.996569999999934
BFF1B7,MText,"4m High Grade Gravel Road",T-TEXT,9.996569999999934
BFF1CF,MText,"4m Low Grade Gravel Road",T-TEXT,9.996569999999934
BFF346,BlockReference,"fdspike",L-MON,4.998301249999972
BFF348,BlockReference,"fdspike",L-MON,4.998301249999972
BFF349,BlockReference,"fdspike",L-MON,4.998301249999972
BFF34B,DBText,"30°01'10''",L-BD,9.996602499999945
BFF34D,DBText,"114°31'00''",L-BD1,9.996602499999945
BFF34F,DBText,"00''",L-BD1,9.996602499999945
BFF351,DBText,"204°",L-BD1,9.996602499999945
BFF352,DBText,"31'",L-BD1,9.996602499999945
BFF354,BlockReference,"fdspike",L-MON,4.998301249999972
BFF35D,DBText,"358°29'10''",L-BD1,9.996602499999945
