Handle,ObjType,Content,Layer,Extra
AF5FC4,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF602D,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF6042,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF605B,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF607C,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF60E5,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF614A,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF614F,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF6154,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF6191,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF61B1,BlockReference,"PIG",AS-SYMBOL,4.999999999999996
AF61D6,BlockReference,"PIG",AS-SYMBOL,4.999999999999996
AF6377,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF6390,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF63F1,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF63F6,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF6457,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF645C,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF64E9,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF650F,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF65FC,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF6601,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF6606,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF660B,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF6610,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF6615,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
AF661A,BlockReference,"RISER",AS-SYMBOL,4.999999999999996
B0379F,BlockReference,"L-SECLBL",L-SECLBL,0.99954228
B037A5,BlockReference,"L-SECLBL",L-SECLBL,0.99954228
B047EB,BlockReference,"GABD",C-WS-S,4.997711399999993
B047EC,BlockReference,"GABD",F-WS-S,4.997711399999993
B047ED,BlockReference,"GABD",C-WS-S,4.997711399999993
B047EE,BlockReference,"GABD",C-WS-S,4.997711399999993
B047EF,BlockReference,"GAS",C-WS-S,4.997711399999993
B047F0,BlockReference,"GAS",C-WS-S,4.997711399999993
B047F1,BlockReference,"GAS",C-WS-S,4.997711399999993
B047F2,BlockReference,"GAS",C-WS-S,4.997711399999993
B047F3,BlockReference,"GAS",C-WS-S,4.997711399999993
B04FDC,BlockReference,"GABD",C-WS-S,4.997711399999993
B04FDD,BlockReference,"GAS",C-WS-S,4.997711399999993
B04FDE,BlockReference,"GAS",C-WS-S,4.997711399999993
B04FDF,BlockReference,"GABD",C-WS-S,4.997711399999993
B04FE0,BlockReference,"GABD",F-WS-S,4.997711399999993
B04FE1,BlockReference,"GAS",C-WS-S,4.997711399999993
B04FE2,BlockReference,"GABD",C-WS-S,4.997711399999993
B04FE3,BlockReference,"GAS",C-WS-S,4.997711399999993
B04FE4,BlockReference,"GAS",C-WS-S,4.997711399999993
B04FE5,BlockReference,"GABD",C-WS-S,4.997711399999993
B0E6ED,BlockReference,"GABD",C-WS-S,4.997711399999993
B13636,DBText,"S.E.1/4 Sec. 34-32-1-W.4M.",C-SYMBOL,19.99084559999997
B15F30,BlockReference,"*U24",AS-OWNER,0.99954228
B16FB8,AlignedDimension,"Obsidian  P/L R/W  101 1534",C-RW-T,Compass 5 000
B16FFF,AlignedDimension,"Obsidian  P/L R/W  101 0924",C-RW-T,Compass 5 000
B17818,AlignedDimension,"Obsidian  P/L R/W  801 1343",C-RW-T,Compass 5 000
B17840,AlignedDimension,"Obsidian  P/L R/W  961 1079",C-RW-T,Compass 5 000
B17868,AlignedDimension,"Obsidian  P/L R/W  001 0893",C-RW-T,Compass 5 000
B18065,AlignedDimension,"Obsidian  P/L R/W  871 0231",C-RW-T,Compass 5 000
B180A0,AlignedDimension,"Obsidian  P/L R/W  061 2196",C-RW-T,Compass 5 000
B191C4,AlignedDimension,"Obsidian  P/L R/W  131 0364",C-RW-T,Compass 5 000
B199AF,AlignedDimension,"Obsidian  P/L R/W  001 0893",C-RW-T,Compass 5 000
B199E9,AlignedDimension,"Obsidian  P/L R/W  131 0364",C-RW-T,Compass 5 000
B1A1E6,AlignedDimension,"Obsidian  P/L R/W  961 1079",C-VCE-T,Compass 5 000
B1A20E,AlignedDimension,"Obsidian  P/L R/W  131 0364",C-RW-T,Compass 5 000
B1A23F,AlignedDimension,"Obsidian  P/L R/W  131 1412",C-RW-T,Compass 5 000
B1A279,AlignedDimension,"Obsidian  P/L R/W  091 5397",C-RW-T,Compass 5 000
B1AA9A,AlignedDimension,"Obsidian  P/L R/W  131 2444",C-RW-T,Compass 5 000
B1AAEA,AlignedDimension,"Obsidian  P/L R/W  001 0893",C-RW-T,Compass 5 000
B1B2FD,AlignedDimension,"Obsidian  P/L R/W  801 1343",C-RW-T,Compass 5 000
B1B31C,AlignedDimension,"Obsidian  P/L R/W  131 0364",C-RW-T,Compass 5 000
B1B344,AlignedDimension,"Obsidian  P/L R/W  941 1035",C-RW-T,Compass 5 000
B1B3AF,AlignedDimension,"Obsidian  P/L R/W  801 1251",C-RW-T,Compass 5 000
B1BBCA,MText,"4-34 (Abd.)",F-WS-T,9.995422799999986
B1D38C,MText,"L.S. 3",L-SECTION-LSD,9.995422799999986
B1D38E,MText,"L.S. 4",L-SECTION-LSD,9.995422799999986
B1D390,MText,"L.S. 6",L-SECTION-LSD,9.995422799999986
B1D392,MText,"L.S. 5",L-SECTION-LSD,9.995422799999986
B1D394,MText,"L.S. 1",L-SECTION-LSD,9.995422799999986
B1D395,MText,"L.S. 2",L-SECTION-LSD,9.995422799999986
B1D397,MText,"L.S. 8",L-SECTION-LSD,9.995422799999986
B1D398,MText,"L.S. 7",L-SECTION-LSD,9.995422799999986
B1D39A,MText,"L.S. 11",L-SECTION-LSD,9.995422799999986
B1D39C,MText,"L.S. 12",L-SECTION-LSD,9.995422799999986
B1D39E,MText,"L.S. 14",L-SECTION-LSD,9.995422799999986
B1D39F,MText,"L.S. 13",L-SECTION-LSD,9.995422799999986
B1DB8F,MText,"Obsidian 14-27 (Abd.)",C-WS-T,9.995422799999986
B1DB90,AlignedDimension,"Obsidian  A/R",C-AR-T,Compass 5 000
B1DBD3,MText,"Obsidian 103/13D-27",C-WS-T,9.995422799999986
B1DBD4,AlignedDimension,"Obsidian  A/R",C-AR-T,Compass 5 000
B1E3CE,MText,"Obsidian 13P-27",C-WS-T,9.995422799999986
