Handle,ObjType,Content,Layer,Extra
B0C53A,DBText,"(High Grade Gravel)",T-TEXT,10.000000000000055
B0C53B,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000055
B0C540,BlockReference,"L-SECLBL",L-SECLBL,0.99968032
B0C546,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000042
B0C547,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000042
B0C548,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000042
B0C549,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000042
B0C5AC,MText,"Cultivated (Stubble)",T-TEXT,9.995740239915808
B0C5D5,BlockReference,"GAS",C-WS-S,5.000000000000038
B0C62F,BlockReference,"*U19",AS-OWNER,0.9998815561619957
B0C648,BlockReference,"res_occ",AS-RESIDENCE,4.998401599999999
B0C649,MText,"Residence",AS-RESIDENCE,10.000000000000163
B0C64B,MText,"Lot 1 Plan 012 3298",L-TITLEDB-T,9.996803200000052
B0C67F,BlockReference,"GAS",C-WS-S,5.0000000000000275
B0C69D,AlignedDimension,"30.48 Road   5805 LZ",L-TITLEDB-T,Compass 5 000
B0C6F4,MText,"Evergreen Gas Co-op Ltd.",AS-PIPE-UG-T,9.996803199999999
B1CC0C,MText,"Rge. 7",D-TXT,14.000000000000075
B1CC0E,MText,"Rge. 8",D-TXT,14.000000000000075
B1CC12,MText,"Buried Telus Cable",AS-TELEPHONE-T,9.996803199999999
B35590,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.00000000000002
B3559A,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.00000000000002
B3559F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.00000000000002
B358FE,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.00000000000002
B35907,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.00000000000002
B35914,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.00000000000002
B3592D,BlockReference,"DYN_ANCHOR",AS-SYMBOL,5.00000000000002
B3594B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.00000000000002
B35950,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.00000000000002
B3595D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.00000000000002
B76BE6,MText,"Cultivated (Stubble)",T-TEXT,9.995740239915808
BF47E2,MText,"Graminoid Marsh",WETLAND-T,10.000000000000002
BF47E5,MText,"Graminoid Marsh",WETLAND-T,10.000000000000002
C254FF,DBText,"N.E.1/4 Sec. 1-50-8-W.5M.",C-SYMBOL,19.993606399999997
C25500,DBText,"Temporary Work Space = 1.218 ha  3.01 Ac.",L-AREAREQUIRED,10.99648352000001
C257DE,DBText,"Temporary Surface Pipeline = 0.417 ha  1.03 ha",L-AREAREQUIRED,10.99648352000001
C42FAD,AlignedDimension,"Obsidian  A/R",C-AR-T,Compass 5 000
C42FB0,AlignedDimension,"Obsidian  A/R",C-AR-T,Compass 5 000
C42FC1,AlignedDimension,"Obsidian  P/L R/W  3271 MC",C-RW-T,Compass 5 000
C42FD5,MText,"Obsidian 16-1",C-WS-T,9.999999999999991
C42FEC,AlignedDimension,"Plains  P/L R/W  862 2182",F-RW-T,Compass 5 000
C42FEF,AlignedDimension,"Pembina  P/L R/W  1120 MC",F-RW-T,Compass 5 000
C6D225,MText,"Surface Pipeline",P-TEMP-T,9.996803199999999
C6D22E,MText,"Work Space",P-TEMP-T,9.996803199999999
C70964,MText,"L.S. 9",L-SECTION-LSD,9.996803199999999
C70966,MText,"L.S. 10",L-SECTION-LSD,9.996803199999999
C70968,MText,"L.S. 16",L-SECTION-LSD,9.996803199999999
C7096A,MText,"L.S. 15",L-SECTION-LSD,9.996803199999999
C73D52,AlignedDimension,"A/R  092 8214",F-AR-T,Compass 5 000
C7566D,AlignedDimension,"Obsidian  P/L R/W  _______",C-RW-T,Compass 5 000
C7E1A6,BlockReference,"Disclaimer_Legal",F-AR-T,0.5
