Handle,ObjType,Content,Layer,Extra
BD3ABB,BlockReference,"L-SECLBL",L-SECLBL,1
BD3AC1,BlockReference,"L-SECLBL",L-SECLBL,1
BD54AA,AlignedDimension,"Altalink  Power Line R/W  1836",F-EZE-T,Compass 5 000
BD54DB,AlignedDimension,"Altalink  Power Line R/W  1836",F-EZE-T,Compass 5 000
BD54F9,AlignedDimension,"Fortis  Power Line R/W  030205",F-EZE-T,Compass 5 000
BD5D62,AlignedDimension,"Fortis  Power Line R/W  100034",F-EZE-T,Compass 5 000
BD5DC4,AlignedDimension,"Fortis  Power Line R/W  120342",F-EZE-T,Compass 5 000
BD5DEC,AlignedDimension,"Fortis  Power Line R/W  150069",F-EZE-T,Compass 5 000
BD66AE,AlignedDimension,"Fortis  Power Line R/W  150128",F-EZE-T,Compass 5 000
BD66D5,AlignedDimension,"Fortis  Power Line R/W  150174",F-EZE-T,Compass 5 000
BD6706,AlignedDimension,"Fortis  Power Line R/W  800018",F-EZE-T,Compass 5 000
BD6F78,MText,"Fortis 10.00 Power Line R/W EZE 850129",F-EZE-T,10.000000000000055
BD6F7A,AlignedDimension,"Fortis  Vegetation Control R/W  880290",F-EZE-T,Compass 5 000
BD6FB4,AlignedDimension,"Fortis  Vegetation Control R/W  880290",F-EZE-T,Compass 5 000
BD6FD8,AlignedDimension,"Fortis  Vegetation Control R/W  880290",F-EZE-T,Compass 5 000
BD7000,AlignedDimension,"Obsidian  A/R  2896",C-RW-T,Compass 5 000
BD7857,AlignedDimension,"Obsidian  A/R  142203",C-AR-T,Compass 5 000
BD7891,AlignedDimension,"Obsidian  A/R  150013",C-RW-T,Compass 5 000
BD78DD,AlignedDimension,"Obsidian  A/R  232040",C-AR-T,Compass 5 000
BD816A,AlignedDimension,"Obsidian  A/R  240659",C-AR-T,Compass 5 000
BD8191,AlignedDimension,"Obsidian  A/R  240668",C-AR-T,Compass 5 000
BD956B,AlignedDimension,"Obsidian  A/R  241395",C-AR-T,Compass 5 000
BD9592,AlignedDimension,"Obsidian  A/R  991995",C-AR-T,Compass 5 000
BDA675,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA676,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA677,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA678,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA683,BlockReference,"GABD",F-WS-S,5.0000000000000275
BDA684,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA685,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA686,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA687,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA688,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA689,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA68A,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA68B,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA68C,BlockReference,"GABD",F-WS-S,5.0000000000000275
BDA68D,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA68E,BlockReference,"GAS",C-WS-S,5.0000000000000275
BDA68F,AlignedDimension,"Obsidian  A/R  4206",C-AR-T,Compass 5 000
BDA6DB,MText,"Obsidian 10-4 (Surface) MSL 4206 (Expired)",C-AR-T,10.000000000000055
BDAF0B,MText,"Obsidian 4-4 (Surface) MSL 4298",C-WS-T,10.000000000000055
BDAF0C,AlignedDimension,"Obsidian  A/R  4298",C-RW-T,Compass 5 000
BDAF77,MText,"Obsidian Battery Site MSL 4302 (Expired)",C-AR-T,10.000000000000055
BDB7B1,MText,"Obsidian 2-5 (Surface) MSL 4785 (Expired)",C-WS-T,10.000000000000055
BDB7B2,AlignedDimension,"Obsidian  A/R  4785",C-AR-T,Compass 5 000
BDB816,MText,"Obsidian 6-4 (Surface) MSL 11418",C-WS-T,10.000000000000055
