Handle,ObjType,Content,Layer,Extra
BE03D6,BlockReference,"L-SECLBL",L-SECLBL,1
BE03E8,BlockReference,"L-SECLBL",L-SECLBL,1
BE03FF,MText,"Rge. 7",D-TXT,13.999999999999888
BE0400,MText,"Rge. 8",D-TXT,13.999999999999888
BE0401,MText,"Rge. 7",D-TXT,13.999999999999888
BE0402,MText,"Rge. 8",D-TXT,13.999999999999888
BE0403,MText,"Rge. 7",D-TXT,13.999999999999888
BE0404,MText,"Rge. 8",D-TXT,13.999999999999888
BE0407,BlockReference,"L-SECLBL",L-SECLBL,1
BE040D,BlockReference,"L-SECLBL",L-SECLBL,1
BE041D,MText,"Twp. 41",D-TXT,13.999999999999888
BE041E,MText,"Twp. 42",D-TXT,13.999999999999888
BE041F,MText,"Twp. 41",D-TXT,13.999999999999888
BE0420,MText,"Twp. 42",D-TXT,13.999999999999888
BE0421,MText,"Twp. 41",D-TXT,13.999999999999888
BE0422,MText,"Twp. 42",D-TXT,13.999999999999888
BE0423,MText,"Twp. 41",D-TXT,13.999999999999888
BE0424,MText,"Twp. 42",D-TXT,13.999999999999888
BE0425,MText,"Twp. 41",D-TXT,13.999999999999888
BE0426,MText,"Twp. 42",D-TXT,13.999999999999888
BE0427,MText,"Twp. 41",D-TXT,13.999999999999888
BE0428,MText,"Twp. 42",D-TXT,13.999999999999888
BE0429,MText,"Twp. 41",D-TXT,13.999999999999888
BE042A,MText,"Twp. 42",D-TXT,13.999999999999888
BE042B,MText,"Twp. 41",D-TXT,13.999999999999888
BE042C,MText,"Twp. 42",D-TXT,13.999999999999888
BE042D,BlockReference,"L-SECLBL",L-SECLBL,1
BE0433,BlockReference,"L-SECLBL",L-SECLBL,1
BE0439,BlockReference,"L-SECLBL",L-SECLBL,1
BE043F,BlockReference,"L-SECLBL",L-SECLBL,1
BE05EF,BlockReference,"L-SECLBL",L-SECLBL,1
BE05F5,BlockReference,"L-SECLBL",L-SECLBL,1
BE05FB,BlockReference,"L-SECLBL",L-SECLBL,1
BE0601,BlockReference,"L-SECLBL",L-SECLBL,1
BE0607,MText,"Rge. 6",D-TXT,13.999999999999888
BE0608,MText,"Rge. 7",D-TXT,13.999999999999888
BE060D,MText,"Rge. 6",D-TXT,13.999999999999888
BE060E,MText,"Rge. 7",D-TXT,13.999999999999888
BE060F,MText,"Rge. 6",D-TXT,13.999999999999888
BE0610,MText,"Rge. 7",D-TXT,13.999999999999888
BE0617,MText,"Twp. 41",D-TXT,13.999999999999888
BE0618,MText,"Twp. 42",D-TXT,13.999999999999888
BE0619,MText,"Twp. 41",D-TXT,13.999999999999888
BE061A,MText,"Twp. 42",D-TXT,13.999999999999888
