Handle,ObjType,Content,Layer,Extra
BC897B,MText,"DETAIL 1:1000",DETAIL-T,19.993950199359695
BCEDCD,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998530249999995
BCEE2F,AlignedDimension,"Obsidian  Access R/W  5824 RS",C-AR-T,Compass 5 000
BCEE31,AlignedDimension,"Obsidian   P/L R/W    3142 MC",C-RW-T,Compass 5 000
BCEE34,MText,"Obsidian Battery Site",C-WS-T,9.99706049999999
BCEE35,MText,"Lot 4 Plan 012 5981",L-TITLEDB-T,9.99706049999999
BCEE38,BlockReference,"RISER",AS-SYMBOL,4.998530249999995
BCEE39,BlockReference,"PIG",AS-SYMBOL,4.998530249999995
BCEE3A,BlockReference,"RISER",AS-SYMBOL,4.998530249999995
BCEE3B,BlockReference,"PIG",AS-SYMBOL,4.998530249999995
BCEE3C,BlockReference,"RISER",AS-SYMBOL,4.998530249999995
BCEF6E,AlignedDimension,"Obsidian  P/L R/W   RS",C-RW-T,Compass 5 000
BCF08C,AlignedDimension,"Obsidian  P/L R/W  862 1671",C-RW-T,Compass 5 000
BCF11B,AlignedDimension,"Pembina  P/L R/W    302 TR",F-RW-T,Compass 5 000
BCF155,AlignedDimension,"Obsidian   P/L R/W   162 1987",C-RW-T,Compass 5 000
BCF285,AlignedDimension,"Obsidian   P/L R/W    862 1671",C-RW-T,Compass 5 000
BCF2E1,AlignedDimension,"Obsidian   P/L R/W",C-RW-T,Compass 5 000
BCF33F,AlignedDimension,"Obsidian  A/R",C-AR-T,Compass 5 000
BCF378,MText,"Texas Gate",T-TEXT,9.99706049999999
BCF45C,MText,"6m High Grade Gravel Road",T-TEXT,9.99706049999999
BCF461,MText,"4m Medium Grade Gravel Road",T-TEXT,9.99706049999999
BCF464,AlignedDimension,"Obsidian  P/L R/W   1236 NY",C-RW-T,Compass 5 000
BCF5CE,MText,"Texas Gate",T-TEXT,9.99706049999999
BCF5EA,MText,"Berm",T-TEXT,9.99706049999999
BCF658,MText,"Fortis O/H Power Line",AS-POWER,10.992563808617735
BCF676,MText,"Fortis O/H Power Line",AS-POWER,9.99999999999999
BCF678,MText,"Building",AS-STRUCTURE-T,10.000000000000039
BCF67A,MText,"Tank",AS-STRUCTURE-T,10.000000000000039
BCF67C,MText,"Tank",AS-STRUCTURE-T,10.000000000000039
BCF67E,MText,"Building",AS-STRUCTURE-T,10.000000000000039
BCF680,MText,"Header Shack",AS-STRUCTURE-T,10.000000000000039
BCFBAF,MText,"Approach",T-TEXT,9.99706049999999
BCFBB1,MText,"Approach",T-TEXT,9.99706049999999
BCFBB3,MText,"Approach",T-TEXT,9.99706049999999
BCFBB5,MText,"Header Shack",AS-STRUCTURE-T,10.000000000000039
BCFC9D,MText,"15cm Willows and Aspen",T-BUSH-T,9.99706049999999
BD0125,MText,"Buried Telus Cable",AS-TELEPHONE-T,10.000058317660336
BD16E1,MText,"Approximate Location of  ATCO Natural Gas Distribution  Costumer Correspondence",AS-PIPE-UG,10.00536830040845
BD221E,MText,"Gate",T-TEXT,9.99706049999999
BD2926,BlockReference,"Propane_Tank",AS-SYMBOL,4.9985302499999955
BD45DF,BlockReference,"Pile",0,4.998530249999996
