Handle,ObjType,Content,Layer,Extra
BC7929,BlockReference,"L-SECLBL",L-SECLBL,0.999669
BC7935,DBText,"Theor. N.E.1/4 Sec. 3-47-8-W.5M.",C-SYMBOL,19.993380000000034
BC7936,DBText,"Theor. S.E.1/4 Sec. 3-47-8-W.5M.",C-SYMBOL,19.993380000000034
BC8AB9,MText,"L.S. 1",L-SECTION-LSD,10.00000000000001
BC8ABA,MText,"L.S. 2",L-SECTION-LSD,10.00000000000001
BC8ABC,MText,"L.S. 8",L-SECTION-LSD,10.00000000000001
BC8ABD,MText,"L.S. 7",L-SECTION-LSD,10.00000000000001
BC8ABF,MText,"L.S. 9",L-SECTION-LSD,10.00000000000001
BC8AC1,MText,"L.S. 10",L-SECTION-LSD,10.00000000000001
BC8AC3,MText,"L.S. 16",L-SECTION-LSD,10.00000000000001
BC8AC5,MText,"L.S. 15",L-SECTION-LSD,10.00000000000001
BC9B23,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99669000000001
BC9B24,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99669000000001
BCAB70,AlignedDimension,"Fortis  Power Line R/W  890409",F-EZE-T,Compass 5 000
BCB3C9,AlignedDimension,"Fortis  Vegetation Control R/W  870395",F-EZE-T,Compass 5 000
BCB3FA,AlignedDimension,"Fortis  Vegetation Control R/W  870395",F-EZE-T,Compass 5 000
BCB41C,AlignedDimension,"Obsidian  A/R  881182",C-AR-T,Compass 5 000
BCB448,AlignedDimension,"Obsidian  A/R  981592",C-AR-T,Compass 5 000
BCBCA6,BlockReference,"GAS",C-WS-S,4.998345000000006
BCBCC2,MText,"Obsidian 2-3 (Surface) MSL 881806",C-AR-T,9.996690000000012
BCBCC3,MText,"Obsidian 8-3 (Surface) MSL 930768 (To be Cancelled)",C-AR-T,9.996690000000012
BCBCC4,BlockReference,"GAS",C-WS-S,4.998345000000006
BCC4E9,BlockReference,"GAS",C-WS-S,4.998345000000006
BCC4EA,MText,"Obsidian 7-3 (Surface) MSL 982132",C-AR-T,9.996690000000012
BCC4EB,AlignedDimension,"Obsidian  P/L R/W  900089",C-RW-T,Compass 5 000
BCC51D,AlignedDimension,"Obsidian  P/L R/W  932 3031  930935",C-RW-T,Compass 5 000
BCCD8D,AlignedDimension,"Cenovus  P/L R/W  981210",F-RW-T,Compass 5 000
BCCDB1,AlignedDimension,"Cenovus  P/L R/W  981959",F-RW-T,Compass 5 000
BCD606,MText,"Obsidian 8-3 (Surface) ROE 4609",C-AR-T,9.996690000000012
BCD607,BlockReference,"GAS",C-WS-S,4.998345000000006
BCD611,AlignedDimension,"Obsidian  A/R  4609",C-AR-T,Compass 5 000
BCD630,BlockReference,"GAS",C-WS-S,4.998345000000006
BCD631,MText,"Obsidian 10-3 (Surface) MSL 466",C-AR-T,9.996690000000012
BCD632,AlignedDimension,"Obsidian  A/R  466",C-AR-T,Compass 5 000
BCDE90,AlignedDimension,"Obsidian  P/L R/W  644",C-AR-T,Compass 5 000
BCDEBC,AlignedDimension,"Obsidian  P/L R/W  041690",C-AR-T,Compass 5 000
BCDF08,AlignedDimension,"Obsidian  P/L R/W  041697",C-AR-T,Compass 5 000
BCE76F,AlignedDimension,"Obsidian  P/L R/W  932 3031  930935",C-RW-T,Compass 5 000
BCE7C8,AlignedDimension,"Obsidian  P/L R/W  002 3768  941251",C-AR-T,Compass 5 000
BCE7F9,AlignedDimension,"Cenovus  P/L R/W  981210",F-RW-T,Compass 5 000
BCE825,AlignedDimension,"Obsidian  A/R  4609",C-AR-T,Compass 5 000
BCE855,BlockReference,"GAS",C-WS-S,4.998345000000006
BCE856,MText,"Obsidian 16-3 (Surface) ROE 4609",C-AR-T,9.996690000000012
BD4058,AlignedDimension,"Obsidian  A/R  930768  be Cancelled)",C-AR-T,Compass 5 000
BD48ED,BlockReference,"TEMP",L-MON,4.998345000000003
BD48EE,BlockReference,"TEMP",L-MON,4.998345000000003
BD48EF,BlockReference,"TEMP",L-MON,4.998345000000003
BD48F0,BlockReference,"TEMP",L-MON,4.998345000000003
BD48F1,BlockReference,"TEMP",L-MON,4.998345000000003
BD48F2,BlockReference,"TEMP",L-MON,4.998345000000003
BD48F3,BlockReference,"TEMP",L-MON,4.998345000000003
BD5377,BlockReference,"*U52",0,0.999669
BD5478,BlockReference,"GAS",C-WS-S,4.9983450000000005
BD5479,BlockReference,"GAS",C-WS-S,4.9983450000000005
BD547C,BlockReference,"TEMP",L-MON,4.9983450000000005
BD547D,BlockReference,"TEMP",L-MON,4.9983450000000005
BD547E,BlockReference,"TEMP",L-MON,4.9983450000000005
