Handle,ObjType,Content,Layer,Extra
AF202A,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999972
AF202B,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999972
AF216F,MText,"800m Trumpeter Swan Boundary",AS-WILDLIFE,9.999999999999972
AF21A5,AlignedDimension,"Obsidian  A/R  062401",C-AR-T,Compass 5 000
AF21A6,AlignedDimension,"Obsidian  A/R  790774",C-AR-T,Compass 5 000
AF21A7,AlignedDimension,"Obsidian  A/R  870225",C-AR-T,Compass 5 000
AF21A8,AlignedDimension,"Obsidian  A/R  062810",C-AR-T,Compass 5 000
AF21A9,AlignedDimension,"Obsidian  P/L R/W  812 1664  800761",C-RW-T,Compass 5 000
AF21AA,AlignedDimension,"Obsidian  P/L R/W  110142",C-RW-T,Compass 5 000
AF21AB,AlignedDimension,"Obsidian  P/L R/W  092 4370  064082",C-RW-T,Compass 5 000
AF21AC,AlignedDimension,"Obsidian  P/L R/W  822 1101  790357",C-RW-T,Compass 5 000
AF21AD,AlignedDimension,"Obsidian  P/L R/W  872 0710  830405",C-RW-T,Compass 5 000
AF21AE,AlignedDimension,"Obsidian  P/L R/W  870365",C-RW-T,Compass 5 000
AF21AF,AlignedDimension,"Obsidian  P/L R/W  812 1664  800761",C-RW-T,Compass 5 000
AF21B0,AlignedDimension,"Obsidian  P/L R/W  065313",C-RW-T,Compass 5 000
AF21B1,AlignedDimension,"Obsidian  P/L R/W  110142",C-RW-T,Compass 5 000
AF21B2,AlignedDimension,"Obsidian  P/L R/W  870365",C-RW-T,Compass 5 000
AF21B3,AlignedDimension,"Obsidian  P/L R/W  852 1079  850219",C-RW-T,Compass 5 000
AF21B4,AlignedDimension,"Obsidian  P/L R/W  872 0710  830405",C-RW-T,Compass 5 000
AF21B5,AlignedDimension,"Obsidian  P/L R/W  065313",C-RW-T,Compass 5 000
AF21B6,MText,"Obsidian  9-21 (Surface) MSL 102756",C-WS-T,9.999999999999972
AF21B8,MText,"Obsidian  1-21 (Surface) MSL 102352 (Expired)",C-WS-T,9.999999999999972
AF21BA,MText,"Obsidian  5-22 MSL 063819",C-WS-T,9.999999999999972
AF21BC,MText,"Obsidian  6-22 MSL 781646",C-WS-T,9.999999999999972
AF21BE,MText,"Obsidian  7-22 MSL 870344",C-WS-T,9.999999999999972
AF21C0,AlignedDimension,"Saturn  A/R  120700",F-AR-T,Compass 5 000
AF21C1,AlignedDimension,"Mancal  A/R  041134",F-AR-T,Compass 5 000
AF21C2,AlignedDimension,"Keyera  A/R  771217",F-AR-T,Compass 5 000
AF21C3,AlignedDimension,"Fortis  Power Line R/W  110109",F-EZE-T,Compass 5 000
AF21C4,AlignedDimension,"Fortis  Power Line R/W  080194",F-EZE-T,Compass 5 000
AF21C5,AlignedDimension,"Fortis  Power Line R/W  050122",F-EZE-T,Compass 5 000
AF21C6,AlignedDimension,"Fortis  Power Line R/W  110372",F-EZE-T,Compass 5 000
AF21C7,AlignedDimension,"Fortis  Power Line R/W  110109",F-EZE-T,Compass 5 000
AF21C8,AlignedDimension,"Fortis  Power Line R/W  120413",F-EZE-T,Compass 5 000
AF21C9,AlignedDimension,"Saturn  P/L R/W  120397",F-RW-T,Compass 5 000
AF21CA,AlignedDimension,"Keyera  P/L R/W  802 2078  800053",F-RW-T,Compass 5 000
AF21CB,AlignedDimension,"Saturn  P/L R/W  112325",F-RW-T,Compass 5 000
AF21CC,AlignedDimension,"Mancal  P/L R/W  062 6192  044642",F-RW-T,Compass 5 000
AF21CD,AlignedDimension,"Vermillion  P/L R/W  131768",F-RW-T,Compass 5 000
AF21CE,AlignedDimension,"Mancal  P/L R/W  200331",F-RW-T,Compass 5 000
AF21CF,AlignedDimension,"Vermillion  P/L R/W  141284",F-RW-T,Compass 5 000
AF21D0,AlignedDimension,"Vermillion  P/L R/W  141485",F-RW-T,Compass 5 000
AF21D1,AlignedDimension,"Pembina  P/L R/W  892 2963  870146",F-RW-T,Compass 5 000
AF21D2,AlignedDimension,"Keyera  P/L R/W  872 2209  870073",F-RW-T,Compass 5 000
AF21D3,AlignedDimension,"Keyera  P/L R/W  802 2622  790718",F-RW-T,Compass 5 000
AF21D4,AlignedDimension,"Pembina  P/L R/W  872 2105  870418",F-RW-T,Compass 5 000
AF21D5,AlignedDimension,"Vermillion  P/L R/W  180795",F-RW-T,Compass 5 000
AF21D6,AlignedDimension,"Keyera  P/L R/W  802 2078  800053",F-RW-T,Compass 5 000
AF21D7,AlignedDimension,"Westbrick  P/L R/W  230589",F-RW-T,Compass 5 000
AF21D8,AlignedDimension,"Keyera  P/L R/W  032147",F-RW-T,Compass 5 000
AF21D9,AlignedDimension,"Pembina  P/L R/W  782 1678  780406",F-RW-T,Compass 5 000
AF21DA,AlignedDimension,"Pembina  P/L R/W  111687",F-RW-T,Compass 5 000
AF21DB,AlignedDimension,"Vermillion  P/L R/W  180795",F-RW-T,Compass 5 000
AF21DC,MText,"Mancal  7-21 MSL 041925",F-WS-T,9.999999999999972
AF21DF,MText,"Saturn  Riser Site PIL 120210",F-WS-T,9.999999999999972
AF21E2,MText,"Mancal  Riser Site PIL 050104",F-WS-T,9.999999999999972
AF21E5,MText,"Keyera  Riser Site PIL 200189",F-WS-T,9.999999999999972
AF21E7,MText,"Weyerhaeuser CLR010089",F-WS-T,9.999999999999972
AF21E9,MText,"Whitecourt CLR950301",F-WS-T,9.999999999999972
AF21EC,DBText,"(Undeveloped)",T-TEXT,9.999999999999972
AF21ED,DBText,"(Undeveloped)",T-TEXT,9.999999999999972
AF21EE,MText,"Fortis O/H Power Line",AS-POWER-T,9.999999999999972
AF21F0,MText,"Fortis O/H Power Line",AS-POWER-T,9.999999999999972
AF21F3,MText,"Fortis O/H Power Line",AS-POWER-T,9.999999999999972
AF21F6,BlockReference,"*U24",0,1
AF2205,BlockReference,"*U26",0,1
AF2214,BlockReference,"*U27",0,1
AF2223,BlockReference,"GAS",F-WS-S,4.999999999999986
AF2224,BlockReference,"GAS",C-WS-S,4.999999999999986
AF2225,BlockReference,"GAS",C-WS-S,4.999999999999986
AF2226,BlockReference,"GAS",C-WS-S,4.999999999999986
AF2227,BlockReference,"GAS",C-WS-S,4.999999999999986
AF2228,BlockReference,"GAS",C-WS-S,4.999999999999986
AF222A,BlockReference,"GAS",C-WS-S,4.999999999999986
AF84E5,BlockReference,"L-SECLBL",L-SECLBL,1
AF84EB,BlockReference,"L-SECLBL",L-SECLBL,1
AF8500,DBText,"S.E.1/4 Sec. 21-49-12-W.5M.",C-SYMBOL,19.99999999999995
AF8501,DBText,"Area Required = 0.000 ha  0.00 Ac.",L-AREAREQUIRED,10.999999999999975
AF8502,DBText,"Workspace = 0.000 ha  0.00 Ac.",L-AREAWORK,10.999999999999975
AF8503,DBText,"S.W.1/4 Sec. 22-49-12-W.5M.",C-SYMBOL,19.99999999999995
AF8504,DBText,"Area Required = 0.000 ha  0.00 Ac.",L-AREAREQUIRED,10.999999999999975
AF8505,DBText,"S.E.1/4 Sec. 22-49-12-W.5M.",C-SYMBOL,19.99999999999995
AF8506,DBText,"Area Required = 0.000 ha  0.00 Ac.",L-AREAREQUIRED,10.999999999999975
AF8507,DBText,"Workspace = 0.000 ha  0.00 Ac.",L-AREAWORK,10.999999999999975
AF9B31,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9B49,BlockReference,"PIG",AS-SYMBOL,4.999999999999988
AF9B4E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9B53,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9B58,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9B79,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9B7E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9B83,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9B88,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9B8D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9BAA,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9BAF,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9BB4,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9BB9,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997734699999998
AF9BDA,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9BDF,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9BE4,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9BE9,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9BFE,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9C17,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9C1C,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9C2D,BlockReference,"GAS",C-WS-S,4.999999999999988
AF9C86,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9C8B,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9C90,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9D9A,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9D9F,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9DA4,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
AF9DD9,BlockReference,"RISER",AS-SYMBOL,4.997734699999998
B00A16,BlockReference,"FLARE",AS-SYMBOL,4.997734699999989
B03519,BlockReference,"dyn_anchor",AS-POWER-EXISTING-ANC,4.997734699999989
B0351A,BlockReference,"dyn_anchor",AS-POWER-EXISTING-ANC,4.997734699999989
B08EF2,MText,"Buried Pipe (49113-6)",AS-PIPE-UG RED,9.995469399999969
