Handle,ObjType,Content,Layer,Extra
AF4D5A,BlockReference,"GAS",C-WS-S,4.998079399999972
AF4D61,MText,"Break Line",T-TEXT,9.996158799999945
AF4D73,BlockReference,"RISER",AS-SYMBOL,4.999999999999974
AF4D84,BlockReference,"RISER",AS-SYMBOL,4.999999999999974
AF4D89,BlockReference,"RISER",AS-SYMBOL,4.999999999999974
AF4DA2,BlockReference,"RISER",AS-SYMBOL,4.999999999999974
AF4DAF,BlockReference,"PIG",AS-SYMBOL,4.999999999999974
AF4EE9,BlockReference,"FDI",L-MON,4.999999999999974
AF4EFB,BlockReference,"FDI",L-MON,4.999999999999974
AF4F00,BlockReference,"FDI",L-MON,4.999999999999974
AF4F05,BlockReference,"FDI",L-MON,4.999999999999974
AF4F0A,BlockReference,"FDI",L-MON,4.999999999999974
AF4F0F,BlockReference,"FDI",L-MON,4.999999999999974
AF4F14,BlockReference,"FDI",L-MON,4.999999999999974
AF51C1,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998079399999977
AF5246,BlockReference,"FDI",L-MON,4.999999999999974
AF524B,BlockReference,"FDI",L-MON,4.999999999999974
AF5291,BlockReference,"L-SECLBL",L-SECLBL,1.000384267604866
AF5297,BlockReference,"L-SECLBL",L-SECLBL,1.000384267604866
AF529D,DBText,"Government Road Allowance",L-ROAD-T,10.00384267604872
AF529E,DBText,"Government Road Allowance",L-ROAD-T,10.00384267604872
AF5319,MText,"Rge. 10",D-TXT,14.005379746468154
AF531A,MText,"Rge. 9",D-TXT,14.005379746468154
AF531B,MText,"Rge. 10",D-TXT,14.005379746468154
AF531C,MText,"Rge. 9",D-TXT,14.005379746468154
AF533B,AlignedDimension,"Obsidian  A/R  3707",C-AR-T,Compass 5 000
AF533C,AlignedDimension,"Obsidian  A/R  5460",C-AR-T,Compass 5 000
AF533D,AlignedDimension,"Obsidian  P/L R/W  5724",C-AR-T,Compass 5 000
AF533E,AlignedDimension,"Obsidian  A/R  6631",C-AR-T,Compass 5 000
AF533F,AlignedDimension,"Obsidian  A/R  5760",C-AR-T,Compass 5 000
AF5340,AlignedDimension,"Obsidian  A/R  719",C-AR-T,Compass 5 000
AF5341,AlignedDimension,"Obsidian  P/L R/W  5724",C-AR-T,Compass 5 000
AF5342,AlignedDimension,"Obsidian  Flow Line R/W  719",C-FLOWLINE-T,Compass 5 000
AF5347,MText,"Obsidian 15.00 P/L R/W PLA 230620",C-RW-T,9.996158799999952
AF534A,AlignedDimension,"Obsidian  P/L R/W  832 1523  820517",C-RW-T,Compass 5 000
AF534B,AlignedDimension,"Obsidian  P/L R/W  8223",C-RW-T,Compass 5 000
AF534C,AlignedDimension,"Obsidian  P/L R/W  6096 KS  198",C-RW-T,Compass 5 000
AF5351,MText,"Obsidian 20.00 P/L R/W PLA 890101",C-RW-T,9.996158799999954
AF5354,MText,"Obsidian 6-31 (Surface) MSL 012155",C-WS-T,10.00384267604872
AF5356,MText,"Obsidian 6-31 (Surface) ROE 5460",C-WS-T,10.00384267604872
AF5358,MText,"Obsidian 4-31 (Surface) ROE 6631",C-WS-T,10.00384267604872
AF535A,MText,"Obsidian 11-30 (Surface) MSL 820889",C-WS-T,10.00384267604872
AF535C,MText,"Obsidian 12-30 (Surface) MSL 719",C-WS-T,10.00384267604872
AF535E,AlignedDimension,"Keyera  A/R  041198",F-AR-T,Compass 5 000
