Handle,ObjType,Content,Layer,Extra
BAF0FB,BlockReference,"L-SECLBL",L-SECLBL,1
BAF101,BlockReference,"L-SECLBL",L-SECLBL,1
BAF107,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999984
BAF108,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999984
BAF109,BlockReference,"L-SECLBL",L-SECLBL,0.9996803199999957
BAF10F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000006
BAF110,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000006
BAF111,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000006
BAF112,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000006
BAF18A,DBText,"N.W.1/4 Sec. 6-50-7-W.5M.",C-SYMBOL,19.999999999999968
BAF1BE,BlockReference,"GAS",C-FLOWLINE,4.999999999999992
BAF1D1,MText,"Approximate Location of Evergreen Gas Co-op Ltd.",AS-PIPE-UG-T,9.996803199999965
BAF1D3,MText,"Evergreen Gas Co-op Ltd.",AS-PIPE-UG-T,9.996803199999965
BAF916,MText,"Rge. 7",D-TXT,14.000000000000004
BAF917,MText,"Rge. 7",D-TXT,14.000000000000004
BAF918,MText,"Rge. 8",D-TXT,14.000000000000004
BAF919,MText,"Rge. 8",D-TXT,14.000000000000004
BAF921,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF922,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF923,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF924,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF925,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF926,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF927,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF928,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF929,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF92A,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF92B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF92C,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF92D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
BAF92E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999985
