Handle,ObjType,Content,Layer,Extra
BD792E,BlockReference,"L-SECLBL",L-SECLBL,1
BD7D65,MText,"Key Wildlife and Biodiversity  Zone Boundary",AS-WILDLIFE,9.999999999999668
BD7DF8,BlockReference,"GABD",AS-DRILL-T,4.999999999999845
BD91ED,AlignedDimension,"Obsidian  A/R  958",C-AR-T,Compass 5 000
BD9240,AlignedDimension,"Obsidian  P/L R/W  1275 NY  1802",C-RW-T,Compass 5 000
BD9246,AlignedDimension,"Obsidian  P/L R/W  4854",C-RW-T,Compass 5 000
BD926D,AlignedDimension,"Canlin  P/L R/W  002 3965  971841",F-RW-T,Compass 5 000
BD928D,MText,"Obsidian 16-1 (Surface) MSL 958",C-WS-T,9.996839999999706
BD92A2,MText,"Obsidian Riser Site PIL 240265 (To be Cancelled)",C-WS-T,9.996839999999706
BD92B7,AlignedDimension,"Fortis  Power Line R/W  2046",F-EZE-T,Compass 5 000
BD92F9,AlignedDimension,"Loyal  P/L R/W  032 3793  982832",F-RW-T,Compass 5 000
BD9319,MText,"Loyal 14-1 (Surface) MSL 972998",F-WS-T,9.99999999999962
BD9321,MText,"16-1 (Abd.)",F-WS-T,9.99999999999969
BD994F,BlockReference,"GAS",C-WS-S,4.999999999999789
C1AC80,AlignedDimension,"Pembina  P/L R/W  141996",F-RW-T,Compass 5 000
C60F1D,DBText,"N.E.1/4 Sec. 1-42-7-W.5M.",C-SYMBOL,19.9936736
C60F1E,DBText,"Riser Site = 0.077 ha  0.19 Ac.",L-AREAREQUIRED,10.993042060641672
C60F1F,DBText,"Access Road = 0.056 ha  0.14 Ac.",L-AREAWORK,10.993042060641672
C6194A,MText,"627.9 (Tie) 80°12'",L-TIE-T,9.9968368
C619D6,AlignedDimension,"Obsidian  P/L R/W  ______",C-RW-T,Compass 5 000
C61A15,MText,"Pasture",T-TEXT,9.996839999999834
C6D2E8,MText,"Grizzley Bear Support Zone Boundary",AS-WILDLIFE,9.999999999999668
D062A0,AlignedDimension,"Obsidian  A/R  241430  be Cancelled)",C-WS-T,Compass 5 000
D06BE4,AlignedDimension,"PMC  P/L R/W  962 1146  960735",F-RW-T,Compass 5 000
D06C03,AlignedDimension,"Obsidian  P/L R/W  772 0760  750224",C-RW-T,Compass 5 000
D06C3D,BlockReference,"*U22",AS-OWNER,1
DC6846,MText,"4m High Grade Gravel Road",T-TEXT,9.996769999999643
E0A0BC,MText,"Rge. 7",D-TXT,13.999999999999984
E0A0BD,MText,"Rge. 6",D-TXT,13.999999999999984
E5BFAE,BlockReference,"TEMP",L-MON,4.9984184
E5BFAF,BlockReference,"TEMP",L-MON,4.9984184
E5BFB0,BlockReference,"TEMP",L-MON,4.9984184
E5BFB1,BlockReference,"TEMP",L-MON,4.9984184
E5BFB2,BlockReference,"TEMP",L-MON,4.9984184
E5C13B,BlockReference,"TEMP",L-MON,4.9984184
E5C13C,BlockReference,"TEMP",L-MON,4.9984184
E5C13D,BlockReference,"TEMP",L-MON,4.9984184
E5C13E,BlockReference,"TEMP",L-MON,4.9984184
E5C14E,AlignedDimension,"5.0 A/R",P-TXT,Compass 5 000
E5C331,MText,"100m FNC Buffer",P-BUFFER-T,9.9968368
E5EC75,MText,"Obsidian Riser Site PIL 240265 (To be Cancelled)",C-WS-T,9.9968368
E5EC7D,BlockReference,"TEMP",L-MON,4.9984184
E5EC7E,BlockReference,"TEMP",L-MON,4.9984184
E5EC7F,BlockReference,"TEMP",L-MON,4.9984184
E5EC80,BlockReference,"TEMP",L-MON,4.9984184
E5EC81,BlockReference,"TEMP",L-MON,4.9984184
E5EC82,BlockReference,"TEMP",L-MON,4.9984184
E5EC83,BlockReference,"TEMP",L-MON,4.9984184
E5EC84,BlockReference,"TEMP",L-MON,4.9984184
E5F8D2,AlignedDimension,"Obsidian  P/L R/W  ______",C-RW-T,Compass 5 000
E5F908,AlignedDimension,"5.0 A/R",P-TXT,Compass 5 000
E5F939,MText,"Buried Pipe",AS-PIPE-UG-T,9.9968368
E5F93A,MText,"Buried Pipe",AS-PIPE-UG-T,9.9968368
E5F93B,MText,"Buried Pipe",AS-PIPE-UG-T,9.9968368
E5F93C,MText,"Buried Pipe",AS-PIPE-UG-T,9.9968368
E5FACE,AlignedDimension,"Obsidian  P/L R/W  1275 NY  1802",C-RW-T,Compass 5 000
E5FAF5,AlignedDimension,"Canlin  P/L R/W  002 3965  971841",F-RW-T,Compass 5 000
E5FD2C,MText,"Buried Pipe",AS-PIPE-UG-T,9.9968368
E5FD2D,AlignedDimension,"Obsidian  A/R  241430  be Cancelled)",C-WS-T,Compass 5 000
E61CBE,DBText,"108°53'",L-BD1,9.9968368
E61E49,DBText,"61°27'",L-BD1,9.9968368
E61E4B,DBText,"53'",L-BD1,9.9968368
E61E4E,MText,"18°53'",L-BD1,9.9968368
E6289B,DBText,"288°53'",L-BD1,9.9968368
E6289F,MText,"61°27'",L-BD1,9.9968368
E628A3,MText,"288°53'",L-BD1,9.9968368
E62AB5,MText,"Buried Pipe",AS-PIPE-UG-T,9.9968368
E62AB8,DBText,"108°",L-BD1,9.9968368
E639E3,DBText,"241°27'",L-BD1,9.9968368
E639E4,BlockReference,"*U41",P-TEMP-BLOCKS,0.99968368
E63A65,AlignedDimension,"Pembina  P/L R/W  141996",F-RW-T,Compass 5 000
E63A8A,AlignedDimension,"PMC  P/L R/W  962 1146  960735",F-RW-T,Compass 5 000
E63AC1,AlignedDimension,"Obsidian  P/L R/W  772 0760  750224",C-RW-T,Compass 5 000
E63E05,DBText,"Workspace = 0.034 ha  0.08 Ac.",L-AREAWORK,10.993042060641672
E6B077,DBText,"RP",35,9.9968368
E6B14B,DBText,"Government Road Allowance",L-ROAD-T,9.996836799999997
E6B14C,DBText,"(Undeveloped)",T-TEXT,9.996836799999997
E6BF69,MText,"SEE DETAIL",DETAIL-T,15.999999999999995
E6BF6B,MText,"DETAIL SCALE 1:500",DETAIL-T,19.999999999999993
E713FA,BlockReference,"xing2",P-CROSSINGS,0.99968368
E71846,MText,"L.S. 9",L-SECTION-LSD,9.9968368
E71848,MText,"L.S. 10",L-SECTION-LSD,9.9968368
E7184A,MText,"L.S. 16",L-SECTION-LSD,9.9968368
E7184C,MText,"L.S. 15",L-SECTION-LSD,9.9968368
E71856,MText,"Pasture",T-TEXT,9.996839999999834
E71857,MText,"Pasture",T-TEXT,9.996839999999834
E72652,MText,"627.9 (Tie) 80°12'",L-TIE-T,9.9968368
E72684,BlockReference,"xing2",P-CROSSINGS,0.99968368
E7FBB1,MText,"268°18'",L-BD,9.999999999999998
E7FBBD,MText,"30m FNC Buffer",P-BUFFER-T,9.999999999999998
