Handle,ObjType,Content,Layer,Extra
BC8ADE,BlockReference,"L-SECLBL",L-SECLBL,0.999742
BC8CD5,MText,"L.S. 9",L-SECTION-LSD,10.000000000000021
BC8CD7,MText,"L.S. 10",L-SECTION-LSD,10.000000000000021
BC8CD9,MText,"L.S. 16",L-SECTION-LSD,10.000000000000021
BC8CDB,MText,"L.S. 15",L-SECTION-LSD,10.000000000000021
BC8CDD,MText,"L.S. 1",L-SECTION-LSD,9.999999999999998
BC8CDE,MText,"L.S. 2",L-SECTION-LSD,9.999999999999998
BC8CE0,MText,"L.S. 8",L-SECTION-LSD,9.999999999999998
BC8CE1,MText,"L.S. 7",L-SECTION-LSD,9.999999999999998
BC8E85,MText,"Buck Lake 7.32 P/L R/W DPL850537",F-RW,9.99742
BC9201,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000001
BC9202,MText,"Residence",AS-RESIDENCE,10.00000000000002
BC921E,BlockReference,"HRV",CG-NOTES,1
BC9222,MText,"JAMES P MERCHANT Bank Stabilization DLO 001517",F-WS-T,9.99742
BC9578,BlockReference,"TEMP",L-MON,4.99871
BC9579,BlockReference,"TEMP",L-MON,4.99871
BC957A,BlockReference,"TEMP",L-MON,4.99871
BC957B,BlockReference,"TEMP",L-MON,4.99871
BC972E,DBText,"Government Road Allowance",L-ROAD-T,9.99742
BCA2A6,MText,"Buck Lake 7.32 P/L R/W DPL 850537",F-RW,9.99742
BCA2B0,BlockReference,"TEMP",L-MON,4.99871
BCA2B1,BlockReference,"TEMP",L-MON,4.99871
BCA2B2,BlockReference,"TEMP",L-MON,4.99871
BCA2B3,BlockReference,"TEMP",L-MON,4.99871
BCAD97,DBText,"RP",35,9.99742
BCAD9A,DBText,"RP",35,9.99742
BCB0CF,MText,"Approximate Location of Buck Lake Gas Co-op Ltd.",AS-PIPE-UG-T,9.99742
BCBA86,BlockReference,"TEMP",L-MON,4.99871
BCBA87,DBText,"14'",L-BD1,9.99742
BCBA89,DBText,"358°",L-BD1,9.99742
BCBC2E,DBText,"88°14'",L-BD1,9.99742
BCC513,BlockReference,"TEMP",L-MON,4.99871
BCC515,DBText,"14'",L-BD1,9.99742
BCC517,DBText,"178°",L-BD1,9.99742
BCC6BB,DBText,"268°14'",L-BD1,9.99742
BCCF7E,DBText,"Government Road Allowance",L-ROAD-T,9.99742
BCCF7F,DBText,"(Undeveloped)",T-TEXT,9.99742
BCDB96,MText,"Buck Lake",T-WATER-T,9.99742
BCDB98,MText,"Block 1 Lot 16MR Plan 822 2280",L-TITLEDB-T,9.99742
BCDD3C,AlignedDimension,"30.18 Road  752 0660",L-TITLEDB-T,Compass 5 000
BCDD6A,MText,"Approximate Location of  Buck Lake Gas Co-op Ltd.",AS-PIPE-UG-T,9.99742
BCE808,DBText,"S.E.1/4 Sec. 11-46-6-W.5M.",C-SYMBOL,19.99484
BCE809,DBText,"Area Required = 0.164 ha  0.41 Ac.",L-AREAREQUIRED,10.997162
BCE80A,MText,"E.-W. 1/4 Line",L-SECQ,9.99742
BCE81D,MText,"SEE DETAIL",DETAIL-T,15.995872
BCE81F,MText,"DETAIL SCALE 1:2000",DETAIL-T,19.99484
BCE822,DBText,"Government Road Allowance",L-ROAD-T,9.99742
BCE823,DBText,"(Undeveloped)",T-TEXT,9.99742
BCE9C7,DBText,"N.E.1/4 Sec. 11-46-6-W.5M.",C-SYMBOL,19.99484
BCE9C8,DBText,"Area Required = 0.086 ha  0.21 Ac.",L-AREAREQUIRED,10.997162
BCFFDB,MText,"Approximate Location of  Buck Lake Gas Co-op Ltd.",AS-PIPE-UG-T,9.99742
BD0A68,AlignedDimension,"Obsidian  P/L R/W  852 0242",C-RW-T,Compass 5 000
BD0AEF,MText,"Fortis O./H Power Line",AS-POWER-T,10.997162
BD0D52,DBText,"Government Road Allowance",L-ROAD-T,9.99742
BD1417,MText,"Buck Lake",T-WATER-T,9.99742
BD1452,MText,"Fortis O/H Power Line",AS-POWER,9.99742
BD3FF6,MText,"Obsidian Water Intake LOC 840285 (Expired)",C-WS-T,10.997162
BD3FFA,MText,"Obsidian Water Intake LOC 840285 (Expired)",C-WS-T,10.997162
BD4060,MText,"Buried Telus Cable",AS-TELUS,9.99742
BD4063,AlignedDimension,"Obsidian  P/L R/W  852 0242",C-RW-T,Compass 5 000
BD45CD,MText,"Buried Telus Cable",AS-TELUS,10.997162
BD45D3,MText,"Buried Telus Cable",AS-TELUS,10.997162
BD8BF7,BlockReference,"Disclaimer_Legal",C-AR,0.1
