Handle,ObjType,Content,Layer,Extra
BE927C,BlockReference,"L-SECLBL",L-SECLBL,0.9996429999999938
BE9282,BlockReference,"L-SECLBL",L-SECLBL,0.9996429999999938
BE929A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996429999999854
BE929B,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996429999999854
BE929C,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996429999999854
BE929D,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996429999999854
BE929E,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996429999999854
BE92A5,MText,"Key Wildlife & Biodiversity Zone Boundary",AS-WILDLIFE,10.000081129621094
BE92BB,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994287999999802
BE92BD,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994287999999802
BE92BF,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994287999999802
BE92CC,MText,"Theor. N.E.1/4  Sec. 21-43-8-W.5M.",C-SYMBOL,19.992859999999702
BE92CD,MText,"Theor. N.W.1/4  Sec. 22-43-8-W.5M.",C-SYMBOL,19.992859999999702
BE92CE,DBText,"L.S. 9",L-SECTION-LSD,9.996429999999844
BE92CF,DBText,"L.S. 10",L-SECTION-LSD,9.996429999999844
BE92D0,DBText,"L.S. 15",L-SECTION-LSD,9.996429999999844
BE92D8,DBText,"L.S. 13",L-SECTION-LSD,9.996429999999844
BE92D9,DBText,"L.S. 12",L-SECTION-LSD,9.996429999999844
BE92DA,DBText,"L.S. 14",L-SECTION-LSD,9.996429999999844
BE92DB,DBText,"L.S. 11",L-SECTION-LSD,9.996429999999844
BE92DC,MText,"Theor. N.W.1/4  Sec. 21-43-8-W.5M.",C-SYMBOL,19.992859999999702
BE92ED,DBText,"RP",35,9.999999999999918
BE92F0,BlockReference,"AA",CG-NOTES,0.9993001224509918
BE92F1,BlockReference,"AA",CG-NOTES,0.9993001224509918
BE92F2,BlockReference,"AA",CG-NOTES,0.9993001224509918
BE92F3,BlockReference,"AA",CG-NOTES,0.9993001224509918
BE92F4,BlockReference,"AA",CG-NOTES,0.9993001224509918
BE92F5,BlockReference,"AA",CG-NOTES,0.9993001224509918
BE92F6,BlockReference,"AA",CG-NOTES,0.9993001224509918
BE9317,MText,"Gramanoid Fen",WETLAND-T,9.996566199999927
BE9357,MText,"L.S. 16",L-SECTION-LSD,9.996429999999847
