Handle,ObjType,Content,Layer,Extra
BC418D,BlockReference,"L-SECLBL",L-SECLBL,0.999553000000005
BC41A1,MText,"L.S. 1",L-SECTION-LSD,9.99553000000009
BC41A2,MText,"L.S. 2",L-SECTION-LSD,9.99553000000009
BC41A4,MText,"L.S. 8",L-SECTION-LSD,9.99553000000009
BC41A5,MText,"L.S. 7",L-SECTION-LSD,9.99553000000009
BC41A8,MText,"Brazeau County",L-33,11.994636000000055
BC41AA,DBText,"Government Road Allowance",L-ROAD-T,9.99553000000009
BC41AB,MText,"Yellowhead County",L-33,11.994636000000055
BC41AD,MText,"Rge. 12",D-TXT,13.9937420000001
BC41AE,MText,"Rge. 11",D-TXT,13.9937420000001
BC422A,MText,"S.E.1/4 Sec. 24-50-12-W.5M.",C-SYMBOL,19.99106000000018
BC422E,DBText,"TPA 491",AS-TRAPPER-T,9.994150000000097
BC422F,DBText,"TPA 2327",AS-TRAPPER-T,9.994150000000097
BC424A,MText,"Fortis O/H Power Line",AS-POWER,9.998469049977281
BC4275,BlockReference,"*U27",CG-NOTES,1
BC428B,AlignedDimension,"Obsidian  A/R  031649",C-AR-T,Compass 5 000
BC428C,AlignedDimension,"Obsidian  A/R  2273",C-AR-T,Compass 5 000
BC428E,AlignedDimension,"Obsidian  A/R  3150",C-AR-T,Compass 5 000
BC4290,AlignedDimension,"Obsidian  P/L R/W  780171",C-RW-T,Compass 5 000
BC4291,AlignedDimension,"Obsidian  P/L R/W  762 0516  5638",C-RW-T,Compass 5 000
BC4292,AlignedDimension,"Obsidian  P/L R/W  052 2439  022350",C-RW-T,Compass 5 000
BC4293,AlignedDimension,"Obsidian  P/L R/W  072 9849  032999",C-RW-T,Compass 5 000
BC4294,AlignedDimension,"Obsidian  P/L R/W  072 9819  042307",C-RW-T,Compass 5 000
BC4295,AlignedDimension,"Obsidian  P/L R/W  100430",C-RW-T,Compass 5 000
BC4296,AlignedDimension,"Obsidian  P/L R/W  100590",C-RW-T,Compass 5 000
BC4297,AlignedDimension,"Obsidian  P/L R/W  240199",C-RW-T,Compass 5 000
BC4298,AlignedDimension,"Obsidian  P/L R/W  780171",C-RW-T,Compass 5 000
BC4299,AlignedDimension,"Obsidian  P/L R/W  780171",C-RW-T,Compass 5 000
BC429C,MText,"Obsidian 2-24 (Surface) MSL 2273",C-WS-T,9.995530000000084
BC429E,MText,"Obsidian Battery Site MSL 3054",C-WS-T,9.995530000000084
BC42A1,MText,"Obsidian 8-24 (Surface) MSL 100178",C-WS-T,9.995530000000084
BC42A5,AlignedDimension,"Vermillion  A/R  012753",F-AR-T,Compass 5 000
BC42A6,AlignedDimension,"Vermillion  A/R  000986",F-AR-T,Compass 5 000
BC42A7,AlignedDimension,"Vermillion  A/R  790846",F-AR-T,Compass 5 000
BC42A8,MText,"Fortis 15.00 Power Line R/W EZE 100150",F-EZE-T,9.995530000000084
BC42AB,AlignedDimension,"Fortis  Power Line R/W  820084",F-EZE-T,Compass 5 000
BC42AC,AlignedDimension,"Fortis  Vegetation Control R/W  870403",F-EZE-T,Compass 5 000
BC42AE,AlignedDimension,"NGTL  P/L R/W  1765 MC  571",F-RW-T,Compass 5 000
BC42AF,AlignedDimension,"Pembina  P/L R/W  2035 NY  1763",F-RW-T,Compass 5 000
BC42B0,AlignedDimension,"Vermillion  P/L R/W  011593",F-RW-T,Compass 5 000
BC42B2,AlignedDimension,"Joli  P/L R/W  912 3138  910273",F-RW-T,Compass 5 000
BC42B5,DBText,"(Undeveloped)",T-TEXT,9.99553000000009
BC42C3,BlockReference,"GAS",C-WS-S,5.000000000000023
BC42C4,BlockReference,"GAS",C-WS-S,5.000000000000023
BC42C5,BlockReference,"GAS",C-WS-S,5.000000000000023
BCE728,MText,"50cm Pine & Spruce",T-BUSH-T,9.995542100000025
BCE85B,MText,"50cm Pine & Spruce",T-BUSH-T,9.995542100000025
BD20FD,AlignedDimension,"28.86 P/L R/W  802 1196  on PLSR)",F-RW-T,Compass 5 000
BD3CDF,BlockReference,"TEMP",L-MON,5.000000000000008
BDEB96,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
BDF0F6,BlockReference,"TEMP",L-MON,4.997771050000007
BE0959,BlockReference,"*U52",0,0.9995520000000011
BE0A32,DBText,"344°55'00"",L-BD,9.995520000000019
BE1401,MText,"8m High Grade Gravel Road",AS-GENERAL,9.995525500000001
BE14BA,BlockReference,"xing2",P-CROSSINGS,0.9995520000000011
BE1931,BlockReference,"xing2",P-CROSSINGS,0.9995520000000011
BE4D13,MText,"Culvert",AS-GENERAL,10.000000000000028
BEA6ED,BlockReference,"FDI",L-MON,5.0000000000000036
BEA6EE,BlockReference,"FDI",L-MON,5.0000000000000036
BEB92B,MText,"Fd.I. Pit E.1/4 24",L-MON,9.98788518169692
BEB92D,MText,"Fd.I. Mp. N.E. 13",L-MON,9.98788518169692
BEC5DF,BlockReference,"TEMP",L-MON,4.997771050000002
BECA8D,BlockReference,"TEMP",L-MON,4.997771050000002
BECFDA,DBText,"333°20'00"",L-BD,9.995542100000003
BECFFC,MText,"269°00'10"",L-BD,9.995542100000003
BED4E9,MText,"Access Road = 0.424 ha  1.05 Ac.",L-AREAREQUIRED,10.995096310000024
BED580,DBText,"178°51'15"",L-BD,9.995542100000003
BF19BB,MText,"Obsidian 18.29 A/R MSL 2916 (Expired, To be Cancelled)",C-AR-T,10.000000000000004
BF1B10,AlignedDimension,"Obsidian  A/R  2725",C-AR-T,Compass 5 000
BF6451,BlockReference,"TEMP",L-MON,5.000000000000008
BF6452,BlockReference,"TEMP",L-MON,5.000000000000008
BF647D,BlockReference,"TEMP",L-MON,4.99777105
BF647E,BlockReference,"TEMP",L-MON,4.99777105
BF648D,DBText,"613.16 (Tie)",L-BD,9.9955421
BF648E,DBText,"8°13'45''",L-BD,9.9955421
BF6AE5,BlockReference,"TEMP",L-MON,4.99777105
BF6AE6,BlockReference,"TEMP",L-MON,4.99777105
BF6AE9,BlockReference,"TEMP",L-MON,4.99777105
