Handle,ObjType,Content,Layer,Extra
AFD5F9,BlockReference,"L-SECLBL",L-SECLBL,0.999763
AFDEA0,DBText,"N.W.1/4 Sec. 16-48-5-W.5M.",C-SYMBOL,19.995259999999902
AFDEA2,DBText,"Temp. Access = 0.271 ha  0.67 Ac.",L-AREAWORK,10.997392999999951
AFDEA3,DBText,"S.W.1/4 Sec. 16-48-5-W.5M.",C-SYMBOL,19.995259999999902
AFDEA5,DBText,"Workspace = 0.016 ha  0.04 Ac.",L-AREAWORK,10.997392999999951
AFDEA9,MText,"L.S. 3",L-SECTION-LSD,9.997629999999951
AFDEAB,MText,"L.S. 4",L-SECTION-LSD,9.997629999999951
AFDEAD,MText,"L.S. 6",L-SECTION-LSD,9.997629999999951
AFDEAF,MText,"L.S. 5",L-SECTION-LSD,9.997629999999951
AFDEB1,MText,"L.S. 11",L-SECTION-LSD,9.997629999999951
AFDEB3,MText,"L.S. 12",L-SECTION-LSD,9.997629999999951
AFDEB5,MText,"L.S. 14",L-SECTION-LSD,9.997629999999951
AFDEB6,MText,"L.S. 13",L-SECTION-LSD,9.997629999999951
AFE768,DBText,"Government Road Allowance",L-ROAD-T,9.997629999999951
AFE769,DBText,"(Undeveloped)",T-TEXT,9.997629999999951
AFE76A,DBText,"Government Road Allowance",L-ROAD-T,9.997629999999951
AFE76B,DBText,"(High Grade Gravel)",T-TEXT,9.997629999999951
AFF21D,DBText,"Government Road Allowance",L-ROAD-T,9.997629999999951
AFF21E,DBText,"(Undeveloped)",T-TEXT,9.997629999999951
B011A5,AlignedDimension,"Sinopec  P/L R/W  132 1703",F-RW-T,Compass 5 000
B01B78,AlignedDimension,"Inplay  P/L R/W  122 4233",F-RW-T,Compass 5 000
B02463,AlignedDimension,"Obsidian  P/L R/W  072 8833",C-RW-T,Compass 5 000
B024B7,AlignedDimension,"Inplay  P/L R/W  122 4233",F-RW-T,Compass 5 000
B024D6,AlignedDimension,"Sinopec  P/L R/W  122 0395",F-RW-T,Compass 5 000
B02DAF,AlignedDimension,"HWN  P/L R/W  142 5048",F-RW-T,Compass 5 000
B02DD3,AlignedDimension,"Sinopec  P/L R/W  132 1706",F-RW-T,Compass 5 000
B03C5A,AlignedDimension,"Bonterra  P/L R/W  162 0718",F-RW-T,Compass 5 000
B03C95,AlignedDimension,"HWN  P/L R/W  152 5493",F-RW-T,Compass 5 000
B03D24,AlignedDimension,"Sinopec  P/L R/W  122 0395",F-RW-T,Compass 5 000
B03D55,AlignedDimension,"HWN  P/L R/W  142 5048",F-RW-T,Compass 5 000
B03E8D,AlignedDimension,"Sinopec  P/L R/W  132 1706",F-RW-T,Compass 5 000
B03EC9,AlignedDimension,"Bonterra  P/L R/W  162 0452",F-RW-T,Compass 5 000
B05948,AlignedDimension,"Sinopec  P/L R/W  142 2965",F-RW-T,Compass 5 000
B05BAC,AlignedDimension,"Sinopec  P/L R/W  Plan  Challenger",F-RW-T,Compass 5 000
B05CD0,AlignedDimension,"HWN  P/L R/W  152 5461",F-RW-T,Compass 5 000
B05E25,AlignedDimension,"HWN  P/L R/W  152 2886",F-RW,Compass 5 000
B05F54,AlignedDimension,"Bonterra  P/L R/W  160796",F-RW,Compass 5 000
B08AC7,AlignedDimension,"Inplay  P/L R/W  142 4633",F-RW-T,Compass 5 000
