Handle,ObjType,Content,Layer,Extra
BC7540,BlockReference,"L-SECLBL",L-SECLBL,1
BC7D5D,BlockReference,"L-SECLBL",L-SECLBL,1
BC7D63,BlockReference,"L-SECLBL",L-SECLBL,1
BC7D69,BlockReference,"L-SECLBL",L-SECLBL,1
BC7D6F,BlockReference,"L-SECLBL",L-SECLBL,1
BCC704,BlockReference,"GAS",C-WS-S,5.000000000000025
BCC70D,MText,"Obsidian 13-22 (Surface) MSL 14025",C-WS-T,9.999989695012543
BCCF2A,AlignedDimension,"Obsidian  A/R  12250",C-AR-T,Compass 5 000
BCCF64,AlignedDimension,"Obsidian  P/L R/W  111 1581",C-RW-T2,Compass 5 000
BCCF95,AlignedDimension,"Obsidian  P/L R/W  111 1581",C-VCE-T,Compass 5 000
BCE000,MText,"Obsidian 14-22 (Surface)",C-WS-T,9.999989695012543
BCE002,AlignedDimension,"Obsidian  A/R",C-RW-T,Compass 5 000
BCE028,BlockReference,"GABD",F-WS-S,5.000000000000025
BCE029,MText,"14-22 (Abd.)",C-WS-T,9.999989695012543
BCE845,AlignedDimension,"Obsidian  P/L R/W  091 2181",C-RW-T,Compass 5 000
BCE876,AlignedDimension,"20.12 Road  1700 BM",L-TITLEDB-T,Compass 5 000
BCE8A7,AlignedDimension,"20.12 Road  1793 BM",L-TITLEDB-T2,Compass 5 000
BCF104,AlignedDimension,"Obsidian  P/L R/W  091 2182",C-RW-T,Compass 5 000
BCF135,AlignedDimension,"Obsidian  A/R  13741",C-AR-T,Compass 5 000
BCF1A1,MText,"Obsidian 18.00 A/R MSL 14025",C-RW-T2,10.00000000000004
BCF9C6,BlockReference,"GABD",F-WS-S,5.000000000000025
BCF9E5,MText,"6-27 (Abd.)",C-WS-T,9.999989695012543
BD0203,AlignedDimension,"Obsidian  P/L R/W  241 2175",C-RW-T,Compass 5 000
BD0319,AlignedDimension,"Obsidian  A/R  13730",C-AR-T,Compass 5 000
BD031A,AlignedDimension,"Obsidian  A/R  13951",C-AR-T,Compass 5 000
BD031B,AlignedDimension,"Obsidian  A/R  16795",C-AR-T,Compass 5 000
BD031C,AlignedDimension,"Obsidian  A/R",C-AR-T,Compass 5 000
BD031D,AlignedDimension,"Obsidian  A/R",C-AR-T,Compass 5 000
BD031E,AlignedDimension,"Obsidian  A/R",C-AR-T,Compass 5 000
BD0320,AlignedDimension,"Obsidian  P/L R/W  041 1616  07361",C-RW-T,Compass 5 000
BD0322,AlignedDimension,"Obsidian  P/L R/W  021 0565",C-RW-T,Compass 5 000
BD0324,AlignedDimension,"Obsidian  P/L R/W  091 2489  08304",C-RW-T,Compass 5 000
BD0325,AlignedDimension,"Obsidian  P/L R/W  041 1616  07361",C-RW-T,Compass 5 000
BD0326,MText,"Obsidian 8-29 (Surface) MSL 11552",C-WS-T,10.005033732571423
BD0328,MText,"Obsidian 4-29 (Surface) MSL 13730",C-WS-T,10.005033732571423
BD032A,MText,"Obsidian 9-29 (Surface) MSL 3211",C-WS-T,10.00503373257159
BD032C,MText,"Obsidian 14-28 (Surface)",C-WS-T,10.00503373257159
BD032E,MText,"Obsidian 5-28 (Surface)",C-WS-T,10.00503373257159
BD0330,BlockReference,"GAS",C-WS-S,5.002516866285738
BD0331,BlockReference,"GAS",C-WS-S,5.002516866285738
BD0332,AlignedDimension,"Obsidian  A/R  3211",C-AR-T,Compass 5 000
BD0333,BlockReference,"GAS",C-WS-S,5.002516866285738
BD0C82,BlockReference,"GAS",C-WS-S,5.000000000000025
BD0C83,AlignedDimension,"Obsidian  P/L R/W  941 1336",C-RW-T,Compass 5 000
BD0CC7,BlockReference,"GABD",F-WS-S,5.000000000000025
BD1D30,BlockReference,"WC",C-WS-S,5.000000000000032
BD1D31,BlockReference,"WC",C-WS-S,5.000000000000032
BD1D32,BlockReference,"WC",C-WS-S,5.000000000000032
BD1D33,BlockReference,"WC",C-WS-S,5.000000000000032
BD1D34,BlockReference,"WC",C-WS-S,5.000000000000032
BD1D35,BlockReference,"WC",C-WS-S,5.000000000000032
BD1D66,AlignedDimension,"Obsidian  P/L R/W  941 1336  04339",C-RW-T,Compass 5 000
BD1D85,MText,"9-29 (Abd.)",C-WS-T,9.999989695012543
BD2F45,AlignedDimension,"Obsidian  P/L R/W  241 2175",C-RW-T,Compass 5 000
BD2F7F,AlignedDimension,"Obsidian  P/L R/W  241 2175",C-RW-T,Compass 5 000
BD37F2,BlockReference,"WC",L-MON,5
BD37F3,BlockReference,"WC",L-MON,5
BD37F4,BlockReference,"WC",L-MON,5
BD37F5,BlockReference,"WC",L-MON,5
BD37F6,BlockReference,"WC",L-MON,5
BD37F7,BlockReference,"WC",L-MON,5
BD37F8,BlockReference,"WC",L-MON,5
BD37F9,BlockReference,"WC",L-MON,5
BD6210,BlockReference,"FDI",L-MON,5.000000000000023
BDF8CA,DBText,"Government Road Allowance",L-ROAD-T,9.994968799999969
BDF8CB,DBText,"Government Road Allowance",L-ROAD-T,9.994968799999967
BDF8CC,DBText,"Government Road Allowance",L-ROAD-T,9.994968799999967
BDF8CD,DBText,"Government Road Allowance",L-ROAD-T,9.994968799999969
BDF8CE,DBText,"Government Road Allowance",L-ROAD-T,9.994968799999969
BDF8CF,DBText,"Government Road Allowance",L-ROAD-T,9.994968799999967
BDF8D0,DBText,"(Undeveloped)",T-TEXT,9.994968799999967
BDF8D1,DBText,"(Undeveloped)",T-TEXT,9.994968799999969
BDF8D2,DBText,"(Undeveloped)",T-TEXT,9.994968799999969
BDF8D3,MText,"Rolling Hills Pasture",T-TEXT,9.999999999999895
BDF8D5,MText,"Rolling Hills Pasture",T-TEXT,9.999999999999895
BDF8D7,DBText,"(Low Grade Dirt Road)",T-TEXT,9.994968799999969
BDF8D8,MText,"Rolling Hills Pasture",T-TEXT,9.999999999999895
BDF8DA,MText,"Rolling Hills Pasture",T-TEXT,9.999999999999895
BDF8DC,MText,"Rolling Hills Pasture",T-TEXT,9.999999999999895
BDF8DF,MText,"Rolling Hills Cultivation",T-TEXT,9.999999999999895
BDF8E1,MText,"Rolling Hills Cultivation",T-TEXT,9.999999999999895
BDF8E3,MText,"Rolling Hills Cultivation",T-TEXT,9.999999999999895
BE3220,MText,"Ephemeral Draw",T-WATER-T,9.990121040232676
BEBB01,BlockReference,"*U71",CG-NOTES,0.9985973002811256
BEEF56,DBText,"Government Road Allowance",L-ROAD-T,9.995149300000016
BEEF59,DBText,"(High Grade Gravel Road)",T-TEXT,9.994968800000027
BEEF5A,DBText,"Government Road Allowance",L-ROAD-T,9.994968799999969
BEEF5B,DBText,"(Low Grade Dirt Road)",T-TEXT,9.994968799999969
BEEF5C,DBText,"Government Road Allowance",L-ROAD-T,9.994968799999969
BEEF5D,DBText,"(Low Grade Dirt Road)",T-TEXT,9.994968799999969
BEEF5E,DBText,"Government Road Allowance",L-ROAD-T,9.994968799999969
BEEF5F,DBText,"(Low Grade Dirt Road)",T-TEXT,9.994968799999969
BEF76E,DBText,"Government Road Allowance",L-ROAD-T,9.994968799999969
BEF76F,DBText,"(Low Grade Dirt Road)",T-TEXT,9.994968799999969
BEF773,DBText,"Government Road Allowance",L-ROAD-T,9.994968799999969
BEF774,DBText,"(Undeveloped - Trail)",T-TEXT,9.994968799999969
BF0287,MText,"Ephemeral Draw",T-WATER-T,9.985275132219702
BF0289,BlockReference,"*U72",AS-OWNER,0.9990120540484214
BF029E,BlockReference,"*U73",AS-OWNER,0.9990120540484214
BF02B3,BlockReference,"*U73",AS-OWNER,0.9990120540484214
BF02C8,BlockReference,"*U72",AS-OWNER,0.9990120540484214
BF02DD,BlockReference,"*U72",AS-OWNER,0.9990120540484214
BF22BA,BlockReference,"*U74",AS-OWNER,0.9990120540484214
BF22CF,BlockReference,"*U73",AS-OWNER,0.9990120540484214
BF22F9,BlockReference,"*U75",AS-OWNER,0.9990120540484214
BF230E,BlockReference,"*U73",AS-OWNER,0.9990120540484214
BF4E9B,BlockReference,"*U76",T-WATER-T,0.9992433817838197
BF5824,BlockReference,"*U76",T-WATER-T,0.9992433817838197
BF61C5,BlockReference,"*U77",T-WATER-T,0.9992433817838197
BFD55C,AlignedDimension,"5.0x1533.7",P-TEMP-T,Compass 5 000
BFD599,AlignedDimension,"5.0x326.2",P-TEMP-T,Compass 5 000
BFDF04,AlignedDimension,"5.0x806.4",P-TEMP-T,Compass 5 000
BFE7D1,AlignedDimension,"5.0x1542.1",P-TEMP-T,Compass 5 000
BFF18A,BlockReference,"*U82",P-TEMP-BLOCKS,0.99951493
