Handle,ObjType,Content,Layer,Extra
BCF77A,BlockReference,"L-SECLBL",L-SECLBL,0.9997111
BCF7C4,BlockReference,"linebrk",L-QSEC,4998.555499999862
BCF7C7,DBText,"Government Road Allowance",L-ROAD-T,9.997110999999634
BCF7C8,DBText,"Government Road Allowance",L-ROAD-T,9.997110999999633
BCF7DC,DBText,"GRL 40230 Boundary",AS-TRAPPER-T,9.991262690064612
BCF7DD,MText,"Fd.I. N.1/4 4",L-MON,9.994230232493798
BCF7DF,DBText,"GRL 40230 Boundary",AS-TRAPPER-T,9.991262690064612
BCF7E0,DBText,"S.W.1/4 Sec. 4-43-6-W.5M.",C-SYMBOL,19.994221999999493
BCF7E2,MText,"Twp. 42",D-TXT,13.995955399999671
BCF7E3,MText,"Twp. 43",D-TXT,13.995955399999671
BCF7E4,DBText,"(CORRECTION LINE)",L-ROAD-T,9.997110999999752
BCF7ED,DBText,"Workspace = 0.120 ha  0.30 Ac.",L-AREAREQUIRED,10.99682209999985
BCF7F2,MText,"Buried Telus Cable",AS-TELUS,9.989521918382255
BCF8BB,BlockReference,"L-SECLBL",L-SECLBL,0.9997059999999757
BCF8C1,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999769
BCF8C2,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999769
BCF8CD,DBText,"N.W.1/4 Sec. 33-42-6-W.5M.",C-SYMBOL,19.994119999999526
BCF8CE,DBText,"Area Required = 1.529 ha  3.78 Ac.",L-AREAREQUIRED,10.996765999999763
BCF8CF,DBText,"Workspace = 0.157 ha  0.39 Ac.",L-AREAREQUIRED,10.996765999999763
BCF8D0,DBText,"S.W.1/4 Sec. 33-42-6-W.5M.",C-SYMBOL,19.994119999999526
BCF8D1,DBText,"Area Required = 0.337 ha  0.83 Ac.",L-AREAREQUIRED,10.99682209999985
BCF8D3,DBText,"GRL 37238 Boundary",AS-TRAPPER-T,9.991262690064612
BCF8D4,DBText,"GRL 37238 Boundary",AS-TRAPPER-T,9.991262690064612
BD142A,AlignedDimension,"Obsidian  A/R  777",C-AR-T,Compass 5 000
BD142B,MText,"Obsidian Variable A/R LOC 241847",C-AR-T,9.99705999999977
BD142E,AlignedDimension,"Entrada  A/R  5710",C-AR-T,Compass 5 000
BD142F,AlignedDimension,"Obsidian  Water Line R/W  3331 TR  294",C-RW-T,Compass 5 000
BD1430,AlignedDimension,"Obsidian  P/L R/W  3925 MC  861",C-RW-T,Compass 5 000
BD1431,AlignedDimension,"Obsidian  P/L R/W  152",C-RW-T,Compass 5 000
BD1432,MText,"Strathcona 5-4 (Surface) ROE 3789",C-WS-T,9.997110999999608
BD1433,AlignedDimension,"Obsidian  A/R  3789",C-WS-T,Compass 5 000
BD1435,MText,"Obsidian 6-4 (Surface) MSL ______",C-WS-T,9.997110999999608
BD1436,MText,"Obsidian 14-33 (Surface) ROE 4426 (To be Cancelled)",C-WS-T,9.997110999999608
BD1437,MText,"Entrada 6-33 (Surface) ROE 5710",C-WS-T,9.997110999999608
BD1438,MText,"6-33 (Abd.)",C-WS-T,9.997110999999608
BD1439,AlignedDimension,"Fortis  Vegetation Control R/W  880629",F-EZE-T,Compass 5 000
BD143A,AlignedDimension,"Fortis  Vegetation Control R/W  880172",F-EZE-T,Compass 5 000
BD143B,AlignedDimension,"Fortis  Vegetation Control R/W  880172",F-EZE-T,Compass 5 000
BD143C,AlignedDimension,"Tourmaline  P/L R/W  012 1140  000984",F-RW-T,Compass 5 000
BD143D,AlignedDimension,"Kiwetinohk  P/L R/W  210349",F-RW-T,Compass 5 000
BD143E,AlignedDimension,"Pembina  P/L R/W  663 MC  286",F-RW-T,Compass 5 000
BD143F,AlignedDimension,"10.06 P/L R/W  12 MC  on PLSR)  Constructed)",F-RW-T,Compass 5 000
BD1440,MText,"Obsidian 6-33 (Surface) MSL 055244",F-WS-T,9.99705999999977
BD1442,MText,"Mancal 14-33 (Surface) MSL 240394",F-WS-T,9.99705999999977
BD1444,MText,"Weyerhaeuser CLR990111",F-WS-T,9.99705999999977
BD1446,MText,"2-4 (Abd.)",F-WS-T,9.99705999999977
BD1448,AlignedDimension,"30.48 Road  1454 PX",L-TITLEDB-T,Compass 5 000
BD144B,DBText,"(High Grade Gravel)",T-TEXT,9.997110999999634
BD144C,DBText,"(High Grade Gravel)",T-TEXT,9.997110999999633
BD144D,DBText,"Cultivation",T-TEXT,9.999999999999785
BD144E,DBText,"(Undeveloped)",T-TEXT,9.999999999999769
BD144F,DBText,"(Undeveloped)",T-TEXT,9.999999999999769
BD1451,DBText,"Pasture",T-TEXT,9.999999999999694
BD1452,DBText,"Pasture",T-TEXT,9.997110999999714
BD1457,MText,"Low Area Muskeg Tamarack & Willow",T-BUSH-T,9.997110999999762
BD1458,MText,"35cm Poplar & Spruce",T-BUSH-T,9.997110999999762
BD1459,DBText,"30cm Poplar",T-BUSH-T,9.997110999999714
BD145A,MText,"Fortis O/H  Power Line",AS-POWER-T,9.989521918382255
