Handle,ObjType,Content,Layer,Extra
B02AAD,AlignedDimension,"Obsidian  A/R  240300",C-AR-T,Compass 5 000
B02AF9,AlignedDimension,"Obsidian  A/R  851214",C-AR-T,Compass 5 000
B02B49,AlignedDimension,"Obsidian  A/R  180600",C-AR-T,Compass 5 000
B0364D,AlignedDimension,"Obsidian  P/L R/W  022 2240  001896",C-RW-T,Compass 5 000
B03699,AlignedDimension,"Obsidian  P/L R/W  030656",C-RW-T,Compass 5 000
B0434F,AlignedDimension,"Obsidian  P/L R/W  982 2893  981410",C-RW-T,Compass 5 000
B043C8,AlignedDimension,"Obsidian  P/L R/W  102 3441  033168",C-RW-T,Compass 5 000
B04426,AlignedDimension,"Obsidian  P/L R/W  892 2223  860092",C-RW-T,Compass 5 000
B0446A,AlignedDimension,"Obsidian  Flowline R/W  975",C-EZE-T,Compass 5 000
B044B8,AlignedDimension,"Keyera  P/L R/W  052 3697  034291",F-RW-T,Compass 5 000
B0450D,AlignedDimension,"Keyera  P/L R/W  052 5152  034291",F-RW-T,Compass 5 000
B04541,AlignedDimension,"Keyera  P/L R/W  052 5152  034291",F-RW-T,Compass 5 000
B04577,AlignedDimension,"Obsidian  P/L R/W  240048",C-RW-T,Compass 5 000
B045D3,AlignedDimension,"Obsidian  P/L R/W  062 2013  041851",C-RW-T,Compass 5 000
B04631,AlignedDimension,"Obsidian  P/L R/W  892 1939  860566",C-RW-T,Compass 5 000
B0467D,AlignedDimension,"Obsidian  P/L R/W  892 1939  860566",C-RW-T,Compass 5 000
B046B5,AlignedDimension,"Sinopec  P/L R/W  030857",F-RW-T,Compass 5 000
B0471F,MText,"Obsidian Plant Site PLA 780485",C-RW-T,10
B0538A,AlignedDimension,"Obsidian  P/L R/W  074 0008  041856",C-RW-T,Compass 5 000
B0543F,AlignedDimension,"Obsidian  P/L R/W  942 0287   930676",C-RW-T,Compass 5 000
B05492,MText,"Obsidian 10-7 (Surface) MSL 376",C-RW-T,10
B05493,AlignedDimension,"Obsidian  Flowline R/W  376",C-WS-T,Compass 5 000
B054D6,AlignedDimension,"Obsidian  Flowline R/W  376",C-WS-T,Compass 5 000
B054F5,AlignedDimension,"Obsidian  A/R  376",C-WS-T,Compass 5 000
B05518,MText,"Sinopec 10-7 (Surface) MSL 023170",F-WS-T,10
B05519,AlignedDimension,"Sinopec  A/R  023170",F-WS-T,Compass 5 000
B05548,AlignedDimension,"Pembina  P/L R/W  2018 KS  3047",F-WS-T,Compass 5 000
B05589,MText,"Obsidian Battery Site ROE 2870",C-RW-T,10
B0558A,AlignedDimension,"Obsidian  Flowline R/W  2870",C-RW-T,Compass 5 000
B055EB,AlignedDimension,"Obsidian  Flowline R/W  2668",C-RW-T,Compass 5 000
B05648,AlignedDimension,"Obsidian  Flowline R/W  3379",C-WS-T,Compass 5 000
B0569D,AlignedDimension,"Obsidian  A/R  3379",C-WS-T,Compass 5 000
B06F8B,AlignedDimension,"Obsidian  A/R  376",C-WS-T,Compass 5 000
B06FBF,MText,"Obsidian 2-18 (Surface) MSL 376",C-WS-T,10
B06FC0,AlignedDimension,"Obsidian  Flowline R/W  376",C-WS-T,Compass 5 000
B06FDF,AlignedDimension,"Fortis  Vegetation Control R/W  870406",F-EZE-T,Compass 5 000
B0704F,AlignedDimension,"Obsidian  P/L R/W  4896 KS  5309",C-WS-T,Compass 5 000
B070A3,MText,"Obsidian Riser Site PIL 180203 (Expired)",C-RW-T,10
B070A4,MText,"Obsidian 16-7 (Surface) ROE 3431",C-RW-T,10
B070A5,AlignedDimension,"Obsidian  Flowline R/W  3431",C-WS-T,Compass 5 000
B070C9,AlignedDimension,"Obsidian  Flowline R/W  376",C-WS-T,Compass 5 000
B0711D,AlignedDimension,"Obsidian  Flowline R/W  376",C-WS-T,Compass 5 000
B07149,AlignedDimension,"Obsidian  Flowline R/W  3322",C-WS-T,Compass 5 000
B07197,AlignedDimension,"Obsidian  Flowline R/W  376",C-WS-T,Compass 5 000
B071B3,AlignedDimension,"Obsidian  Flowline R/W  376",C-WS-T,Compass 5 000
B071CF,AlignedDimension,"Obsidian  A/R  2872",C-WS-T,Compass 5 000
B0722C,AlignedDimension,"Obsidian  Flowline R/W  2872",C-WS-T,Compass 5 000
B07266,AlignedDimension,"Fortis  Vegetation Control R/W  870408",F-EZE-T,Compass 5 000
B07D5A,AlignedDimension,"Obsidian  A/R  801423",C-WS-T,Compass 5 000
B07DA0,AlignedDimension,"Pembina  P/L R/W  2018 KS  3114",F-RW,Compass 5 000
B08A42,MText,"Obsidian 1-18 (Surface) MSL 044489",C-WS-T,10
B08A7C,AlignedDimension,"Obsidian  P/L R/W  4896 KS  4928",C-RW-T,Compass 5 000
B08ACD,BlockReference,"L-SECLBL",L-SECLBL,1
B08AD4,BlockReference,"L-SECLBL",L-SECLBL,1
B08ADA,BlockReference,"L-SECLBL",L-SECLBL,1
B08AF0,AlignedDimension,"Fortis  Vegetation Control R/W  870408",F-EZE-T,Compass 5 000
B08B31,MText,"Obsidian 8-19 (Surface) ROE 5990",C-WS-T,10
B08B42,AlignedDimension,"Obsidian  A/R  2967",C-WS-T,Compass 5 000
B08BAF,AlignedDimension,"Obsidian  P/L R/W  4896 KS  5309",C-RW-T,Compass 5 000
B08BFB,MText,"Obsidian 2-19 (Surface) MSL 852047",C-WS-T,10
B08C40,AlignedDimension,"Keyera  Power Line R/W  040157",F-EZE-T,Compass 5 000
B08C78,MText,"Keyera Riser Site PIL 040284",F-EZE-T,10
B098D8,MText,"Obsidian 4-20 (Surface) MSL 012072",C-WS-T,10
B098E9,AlignedDimension,"Obsidian  Flowline R/W  2103",C-RW-T,Compass 5 000
B0993E,MText,"Obsidian 16-19 (Surface) ROE 2103",C-RW-T,10
B09946,MText,"Obsidian 10-19 (Surface) MSL 001510",C-RW-T,10
B0A420,AlignedDimension,"Fortis  Vegetation Control R/W  870409",F-EZE-T,Compass 5 000
B0A448,AlignedDimension,"Obsidian  A/R  3655",C-WS-T,Compass 5 000
B0A494,AlignedDimension,"Obsidian  A/R  7228",C-AR-T,Compass 5 000
B0A4D4,AlignedDimension,"Obsidian  P/L R/W  2018 KS  2540",C-RW-T,Compass 5 000
B0A517,AlignedDimension,"Obsidian  A/R  001495",C-AR-T,Compass 5 000
