Handle,ObjType,Content,Layer,Extra
AF906B,BlockReference,"L-SECLBL",L-SECLBL,0.999634
AF9071,BlockReference,"L-SECLBL",L-SECLBL,0.999634
AF9077,DBText,"Theor. S.E.1/4 Sec. 35-47-9-W.5M.",C-SYMBOL,19.99268
AF9086,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994144
AF9088,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994144
AF908A,MText,"L.S. 1",L-SECTION-LSD,9.99634
AF908B,MText,"L.S. 2",L-SECTION-LSD,9.99634
AF908D,MText,"L.S. 8",L-SECTION-LSD,9.99634
AF908E,MText,"L.S. 7",L-SECTION-LSD,9.99634
AF9090,MText,"L.S. 3",L-SECTION-LSD,9.99634
AF9092,MText,"L.S. 4",L-SECTION-LSD,9.99634
AF9094,MText,"L.S. 6",L-SECTION-LSD,9.99634
AF9096,MText,"L.S. 5",L-SECTION-LSD,9.99634
AFBEA0,BlockReference,"*U41",AS-OWNER,0.999634
AFC7B4,AlignedDimension,"Fortis  Vegetation Control R/W  870463",F-EZE-T,Compass 5 000
AFC7E0,AlignedDimension,"Fortis  Vegetation Control R/W  870463",F-EZE-T,Compass 5 000
AFC81C,BlockReference,"*U21",AS-SURFACE IMPACT,0.999634
AFD153,MText,"Barrel 3-35(Surface) MSL 062558",F-WS-T,9.99634
AFD154,AlignedDimension,"Barrel  A/R  061941",F-AR-T,Compass 5 000
AFD178,AlignedDimension,"Barrel  P/L R/W  080258  Constructed)",F-RW-T,Compass 5 000
AFD1B2,AlignedDimension,"Barrel  P/L R/W  080258  Constructed)",F-RW-T,Compass 5 000
AFD1DA,AlignedDimension,"Obsidian  Flow Line R/W  4716",C-FLOWLINE-T,Compass 5 000
AFDB28,AlignedDimension,"Obsidian  P/L R/W  032 0115  012186",C-RW-T,Compass 5 000
AFE46D,AlignedDimension,"Obsidian  P/L R/W  5368 KS  5226 KS  4916",C-RW-T,Compass 5 000
AFEDC4,AlignedDimension,"Obsidian  Flow Line R/W  1661",C-AR-T,Compass 5 000
AFEE19,MText,"Obsidian 2-35(Surface) ROE 1661",C-WS-T,9.99634
AFEE1A,MText,"Obsidian 8-35(Surface) ROE 1663",C-WS-T,9.99634
AFEE1B,AlignedDimension,"Obsidian  Flow Line R/W  1663",C-AR-T,Compass 5 000
AFF75A,AlignedDimension,"Obsidian  P/L R/W  5226 KS  5870",C-RW-T,Compass 5 000
AFF7C3,MText,"Obsidian 9-35(Surface) ROE 1730",C-WS-T,9.99634
B01333,AlignedDimension,"Pembina  P/L R/W  2127",F-RW-T,Compass 5 000
B0136D,AlignedDimension,"Pembina  P/L R/W  653 KS  2049",F-RW-T,Compass 5 000
B01CAD,AlignedDimension,"Pembina  P/L R/W  652 KS  1980",F-RW-T,Compass 5 000
B025FC,BlockReference,"*U34",AS-SURFACE IMPACT,0.999634
B02622,AlignedDimension,"Obsidian  P/L R/W  043008",C-RW-T,Compass 5 000
B0265C,AlignedDimension,"Obsidian  Flow Line R/W  2570",C-FLOWLINE-T,Compass 5 000
B02688,MText,"Obsidian 4-36(Surface) ROE 1515",C-WS-T,9.99634
B02689,AlignedDimension,"Obsidian  A/R  1515",C-FLOWLINE-T,Compass 5 000
B03065,MText,"Obsidian 6-36(Surface) ROE 1664",C-WS-T,9.99634
B03066,AlignedDimension,"Obsidian  A/R  1664",C-AR-T,Compass 5 000
B0309F,AlignedDimension,"Bonterra  A/R  2313",F-AR-T,Compass 5 000
B030E1,AlignedDimension,"Obsidian  P/L R/W  5226 KS  4925",C-RW-T,Compass 5 000
B03A21,MText,"Theor. S.W.1/4 Sec. 36-47-9-W.5M.",C-SYMBOL,19.99268
B03A40,BlockReference,"*U41",AS-OWNER,0.999634
B056F8,BlockReference,"GAS",F-WS-S,4.99817
B056F9,BlockReference,"GAS",C-WS-S,4.99817
B05709,BlockReference,"GABD",C-WS-S,4.99817
B0570A,BlockReference,"GAS",C-WS-S,4.99817
B0570B,MText,"F1/8-35 (Abd.)",C-WS-T,9.99634
B05715,BlockReference,"GAS",C-WS-S,4.99817
B05716,BlockReference,"GAS",C-WS-S,4.99817
B05717,BlockReference,"GAS",C-WS-S,4.99817
B05718,BlockReference,"GAS",C-WS-S,4.99817
B05719,BlockReference,"GABD",C-WS-S,4.99817
B0571A,BlockReference,"GAS",C-WS-S,4.99817
B0571B,MText,"F1/6-36 (Abd.)",C-WS-T,9.99634
B0BCE5,MText,"Fortis O/H Power Line",AS-POWER,9.99634
B0E97F,BlockReference,"*U44",P-TEMP-BLOCKS,0.999634
B0FAF9,MText,"Fortis O/H Power Line",AS-POWER,9.99634
B1293C,MText,"SEE DETAIL 'B'",DETAIL-T,15.994144
B15443,BlockReference,"*U46",P-TEMP-BLOCKS,0.999634
