Handle,ObjType,Content,Layer,Extra
A4633E,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999995
A4633F,DBText,"Rge. 9",C-SYMBOL,13.994903580000118
A46340,DBText,"Rge. 8",C-SYMBOL,13.994903580000118
A46341,AlignedDimension,"Obsidian  A/R  2896",C-AR-T,Compass 5 000
A46342,AlignedDimension,"Obsidian  A/R  3158",C-AR-T,Compass 5 000
A46343,AlignedDimension,"Obsidian  A/R  3973",C-AR-T,Compass 5 000
A46345,AlignedDimension,"Obsidian  P/L R/W  5530",C-RW-T,Compass 5 000
A46346,AlignedDimension,"Obsidian  P/L R/W  091441",C-RW-T,Compass 5 000
A46347,AlignedDimension,"Obsidian  P/L R/W  091615  Constructed)  be Amended)",C-RW-T,Compass 5 000
A46348,AlignedDimension,"Altalink  Power Line R/W  6775 MC  1836",F-EZE-T,Compass 5 000
A46349,AlignedDimension,"Fortis  Power Line R/W  100230",F-EZE-T,Compass 5 000
A4634C,AlignedDimension,"Fortis  Vegetation Control R/W  880292",F-EZE-T,Compass 5 000
A48AD1,BlockReference,"*U122",AS-SYMBOL,4.998179850000059
A48ADE,BlockReference,"*U123",AS-SYMBOL,4.998179850000059
A48AEB,BlockReference,"*U124",AS-SYMBOL,4.998179850000059
A48AF8,BlockReference,"*U125",AS-SYMBOL,4.998179850000059
A48B05,BlockReference,"*U126",AS-SYMBOL,4.998179850000059
A48B12,BlockReference,"*U127",AS-SYMBOL,4.998179850000059
A48B1F,BlockReference,"*U128",AS-SYMBOL,4.998179850000059
A48B2C,BlockReference,"*U129",AS-SYMBOL,4.998179850000059
A48B39,BlockReference,"A$C17143D00",0,0.99963597
A48B3A,BlockReference,"A$C17143D00",0,0.99963597
A48B4D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
A48B4E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
A48B4F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
A48B50,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
A48B51,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
A48B52,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
A48B53,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
A48B54,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
A48B55,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
A48B56,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
A48B57,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
A4944A,BlockReference,"PIG",AS-SYMBOL,4.998179850000059
A4944B,BlockReference,"PIG",AS-SYMBOL,4.998179850000059
A4944C,BlockReference,"RISER",AS-SYMBOL,5
A4944D,BlockReference,"RISER",AS-SYMBOL,5
A4944E,BlockReference,"RISER",AS-SYMBOL,5
A4944F,BlockReference,"GAS",C-WS-S,5
A49450,BlockReference,"GAS",C-WS-S,5
A4ACC6,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999995
A4AD05,DBText,"Theor. S.W.1/4 Sec. 18-43-8-W.5M.",C-SYMBOL,19.999999999999947
A4AD06,BlockReference,"L-SECLBL",L-SECLBL,1
A4AD0C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994175680000215
A4AD0E,BlockReference,"*U271",AS-WILDLIFE,0.99963597
A6295F,MText,"Obsidian 4-18 (Surface) MSL 231820",C-WS-T,9.992720725178522
A63C4D,AlignedDimension,"Obsidian  P/L R/W  5530",C-RW-T,Compass 5 000
A64617,AlignedDimension,"Obsidian  A/R  232288",C-AR-T,Compass 5 000
A6DDCC,MText,"SEE DETAIL 'A'",DETAIL-T,15.994175520000207
A8DE68,AlignedDimension,"Bonterra  P/L R/W  110376",F-RW-T,Compass 5 000
A986B6,MText,"Tower",AS-GENERAL,9.996359700000104
A986C0,MText,"5m High Grade  Gravel Road",T-TEXT,9.996359700000104
AAA9F0,MText,"35cm Poplar  & Spruce",T-BUSH-T,9.992720725178522
AAB56B,BlockReference,"*U138",C-WS-S,0.99963597
AAB7B2,MText,"Obsidian Storage Site MLL 230141",C-WS-T,9.999999999999996
AAC187,MText,"40cm Poplar  & Spruce",T-BUSH-T,9.992720725178522
ABA46F,MText,"Mixedwood Swamp",WETLAND-T,9.999999999999996
ABA470,MText,"Mixedwood Swamp",WETLAND-T,9.999999999999996
ABA47A,MText,"Ephemeral Draw",T-WATER-T,9.999999999999996
B43643,AlignedDimension,"Obsidian  A/R  3531",C-WS,Compass 5 000
B43644,AlignedDimension,"Obsidian  A/R  3158",C-AR-T,Compass 5 000
B43645,MText,"Obsidian  Battery Site  MSL 240893",C-AR-T,9.999999999999996
B43646,MText,"Obsidian  12-17 (Surface)  MSL 10629",C-AR-T,9.999999999999996
B43647,AlignedDimension,"Obsidian  P/L R/W  4505 NY  2272",C-RW-T,Compass 5 000
B43648,AlignedDimension,"Obsidian  P/L R/W  780289",C-RW-T,Compass 5 000
B43649,AlignedDimension,"Obsidian  P/L R/W  2219",C-RW-T,Compass 5 000
B4364A,AlignedDimension,"Obsidian  P/L R/W  780287",C-RW-T,Compass 5 000
B4364B,AlignedDimension,"Obsidian  P/L R/W  200558",C-RW-T,Compass 5 000
B4364C,AlignedDimension,"Obsidian  P/L R/W  6560 NY  2802",C-RW-T,Compass 5 000
B4364D,AlignedDimension,"Obsidian  P/L R/W  822 0881  810094",C-RW-T,Compass 5 000
B4364E,AlignedDimension,"Obsidian  P/L R/W  4375",C-RW-T,Compass 5 000
B4364F,AlignedDimension,"Obsidian  P/L R/W  790074",C-RW-T,Compass 5 000
B43650,AlignedDimension,"Obsidian  P/L R/W  3063",C-RW-T,Compass 5 000
B43651,AlignedDimension,"Obsidian  A/R  791166",C-WS-T,Compass 5 000
B43652,AlignedDimension,"Fortis  Powerline R/W  910368",F-EZE-T,Compass 5 000
B43653,AlignedDimension,"Fortis  Vegetation Control R/W  880292",F-RW-T,Compass 5 000
B45683,AlignedDimension,"Obsidian  P/L R/W  2075",C-RW-T,Compass 5 000
B475E0,BlockReference,"*U165",AS-WILDLIFE,0.99963597
B47626,AlignedDimension,"Obsidian  A/R  3974",C-WS-T,Compass 5 000
B4885E,AlignedDimension,"Obsidian  A/R  3975",C-WS,Compass 5 000
B492FA,AlignedDimension,"Obsidian  P/L R/W  210421",C-RW-T,Compass 5 000
B49355,AlignedDimension,"Obsidian  P/L R/W  780288",C-RW,Compass 5 000
B49B58,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999995
B4A311,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994175680000215
B4A325,MText,"Theor. N.E.1/4  Sec. 18-43-8-W.5M.",C-SYMBOL,19.992719400000148
B4CF0B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4CF48,BlockReference,"GAS",AS-SYMBOL,5.00000000000004
B4CF4D,BlockReference,"GAS",AS-SYMBOL,5.00000000000004
B4CF52,BlockReference,"PIG",AS-SYMBOL,5.00000000000004
B4CF5F,BlockReference,"RISER",AS-SYMBOL,5.00000000000004
B4CF98,BlockReference,"RISER",AS-SYMBOL,5.00000000000004
B4D03A,BlockReference,"RISER",AS-SYMBOL,5.00000000000004
B4D04B,BlockReference,"PIG",AS-SYMBOL,5.00000000000004
B4D0B4,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D0DD,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D0E2,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D0E7,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D0EC,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D0F1,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D11B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D120,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D125,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D240,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D245,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D24A,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D24F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B4D254,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B66797,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B66798,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B6679D,AlignedDimension,"Fortis  Power Line R/W  100230",F-EZE-T,Compass 5 000
B6679E,AlignedDimension,"Fortis  Vegetation Control R/W  880292",F-EZE-T,Compass 5 000
B667A9,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B667AE,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B6682C,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B66831,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B66836,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998179850000033
B68C5A,AlignedDimension,"Fortis  Vegetation Control R/W  880292",F-EZE-T,Compass 5 000
B68C79,AlignedDimension,"Obsidian  A/R  3973",C-AR-T,Compass 5 000
B68C9E,AlignedDimension,"Fortis  Vegetation Control R/W  880292",F-EZE-T,Compass 5 000
B69411,MText,"Fd.No Mk. Re-est. Position by PLA 091441",L-MON,9.992720625214888
B69412,DBText,"43°24'00''",L-BD,9.99635970000006
B69415,DBText,"05''",L-BD,9.99635970000006
B69418,DBText,"223°",L-BD,9.99635970000006
B6941B,DBText,"24'",L-BD,9.99635970000006
B6941D,DBText,"00"",L-BD,9.99635970000006
B6942B,DBText,"24'",L-BD,9.99635970000006
B6A269,DBText,"43°25'35''",L-BD,9.99635970000006
B6A26D,DBText,"223°25'35''",L-BD,9.99635970000006
B6A26F,DBText,"268°28'15''",L-BD,9.99635970000006
B74958,MText,"Buried Pipe",AS-PIPE-UG-T,9.996359700000058
B74960,MText,"Buried Pipe",AS-PIPE-UG-T,9.996359700000058
B774E2,AlignedDimension,"Obsidian  P/L R/W  091441",C-RW-T,Compass 5 000
B77506,AlignedDimension,"Obsidian  P/L R/W  892 3292  890473",C-RW-T,Compass 5 000
B7752A,AlignedDimension,"Fortis  Powerline R/W  100230",F-EZE-T,Compass 5 000
B77C95,MText,"224°57'20'' 324.42",L-BD,9.996359700000058
B793B9,MText,"Fortis O/H Power Line",AS-POWER-T,9.992720725178515
B793C1,MText,"Fortis O/H Power Line",AS-POWER-T,9.992720725178515
B7C852,MText,"13.16 133°23'30''",L-BD,9.996359700000058
B7DEAA,MText,"SEE DETAIL 'C'",DETAIL-T,15.994175520000207
B7DEB4,MText,"SEE DETAIL 'B'",DETAIL-T,15.994175520000207
B7DF3E,MText,"DETAIL 'B'",DETAIL-T,19.992719400000208
B7DF40,BlockReference,"*U94",DETAIL-T,0.99963597
B8341D,AlignedDimension,"Fortis  Vegetation Control R/W  880292",F-EZE-T,Compass 5 000
B83BC2,BlockReference,"GAS",C-WS-S,4.99817985000003
B83BC3,MText,"Obsidian 2-18 (Surface) MSL 3973  (Expired)",C-WS-S,9.996359700000058
B83BCB,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999995
B83BD3,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999995
B84349,AlignedDimension,"Obsidian  P/L R/W  2075",C-RW-T,Compass 5 000
B84356,AlignedDimension,"Obsidian  P/L R/W  822 0881  810094",C-RW-T,Compass 5 000
B84363,AlignedDimension,"Obsidian  P/L R/W  4375",C-RW-T,Compass 5 000
B880D8,BlockReference,"*U179",AS-WILDLIFE,0.99963597
B880E7,DBText,"Theor. S.E.1/4 Sec. 18-43-8-W.5M.",C-SYMBOL,19.99271940000012
B88124,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994175680000215
B89949,MText,"Obsidian 5-17 (Surface) MSL 770663",C-WS-S,9.996359700000058
B8994B,BlockReference,"GAS",C-WS-S,4.998179850000029
B8994C,BlockReference,"GAS",C-WS-S,4.998179850000029
B8A925,MText,"Obsidian 16-7 (Surface) MSL 050606",C-WS-S,9.996359700000058
B8A927,BlockReference,"GAS",C-WS-S,4.998179850000028
B8A930,MText,"Obsidian 8-18 (Surface) MSL 791163",C-WS-S,9.996359700000058
B8A93B,AlignedDimension,"Obsidian  P/L R/W  091441",C-RW-T,Compass 5 000
B8B1B8,AlignedDimension,"Obsidian  P/L R/W  053884",C-RW-T,Compass 5 000
B8B1E0,AlignedDimension,"Obsidian  A/R  050405",C-RW-T,Compass 5 000
B904DE,MText,"Fd.I.",L-MON,9.996359700000099
B904E6,MText,"Fd.I. Mp.",L-MON,9.996359700000099
B90D33,MText,"Fd.I.  (Bent) Straightened",L-MON,9.996359700000099
B90D44,MText,"Fd.I.  Mp.",L-MON,9.996359700000099
B90D53,MText,"Fd.I. c.s. (Bent) Straightened",L-MON,9.996359700000099
BCDDE5,MText,"223°25'35'' 382.93",L-BD,9.996359700000076
BCDDE6,MText,"370.49 43°25'35''",L-BD,9.996359700000076
BCE621,MText,"444.48 176°06'20''",L-BD,9.996359700000049
BCE622,MText,"Fd.I.",L-MON,9.996359700000049
BF228D,MText,"Tower",AS-GENERAL,9.996359700000104
C01EE3,AlignedDimension,"Obsidian  P/L R/W  230635  be Cancelled)",C-RW-T,Compass 5 000
C06205,MText,"Buried Pipes",AS-PIPE-UG-T,9.996359700000044
C1B1FA,DBText,"43°25'35''",L-BD,9.99635970000004
C1B205,DBText,"44°57'20''",L-BD,9.99635970000004
C2198C,MText,"373.42 43°25'35''",L-BD,9.996359700000037
C219C0,MText,"24.07 88°28'15''",L-BD,9.99635970000004
C221B9,MText,"113.79 43°24'00''",L-BD,9.99635970000004
C221CC,MText,"313°24'05'' 5.00",L-BD,9.996359700000037
C229A8,MText,"333.30 44°57'20''",L-BD,9.99635970000004
C229AA,MText,"224°57'20'' 324.42",L-BD,9.99635970000006
C628BD,MText,"Grade Gravel Road",T-TEXT,9.996359700000026
C628CE,MText,"5m High Grade Gravel Road",T-TEXT,9.996359700000026
C85750,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
C85761,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
C85DF1,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DF2,BlockReference,"PIG",AS-SYMBOL,4.998179850000016
C85DF3,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DF4,BlockReference,"PIG",AS-SYMBOL,4.998179850000016
C85DF5,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DF6,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DF7,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DF8,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DF9,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DFA,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DFB,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DFC,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DFD,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DFE,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85DFF,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E00,BlockReference,"PIG",AS-SYMBOL,4.998179850000016
C85E01,BlockReference,"PIG",AS-SYMBOL,4.998179850000016
C85E02,BlockReference,"PIG",AS-SYMBOL,4.998179850000016
C85E03,BlockReference,"PIG",AS-SYMBOL,4.998179850000016
C85E04,BlockReference,"PIG",AS-SYMBOL,4.998179850000016
C85E05,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E06,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E07,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E08,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E09,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E0A,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E0B,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E0C,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E0D,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E0E,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E0F,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E10,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E11,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E12,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E13,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E14,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E15,BlockReference,"RISER",AS-SYMBOL,4.998179850000016
C85E16,BlockReference,"FLARE",AS-SYMBOL,4.998179850000016
C85E2B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
C85E2C,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
C85E2D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
C85E2E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
C85E2F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
C85E30,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
C8C582,MText,"Weyerhaeuser CLR080198",F-WS-T,10
CA9963,AlignedDimension,"Obsidian  P/L R/W  780288",C-RW,Compass 5 000
CA996C,MText,"Buried Pipe",AS-PIPE-UG-T,9.996359700000031
CAA0C6,MText,"Buried Pipe",AS-PIPE-UG-T,9.996359700000031
CAA0C7,MText,"Buried Pipe",AS-PIPE-UG-T,9.996359700000031
CAA0C8,MText,"(3) Buried Pipes",AS-PIPE-UG-T,9.996359700000031
CAA0CA,MText,"(3) Buried Pipes",AS-PIPE-UG-T,9.996359700000031
CAA0CC,MText,"(4) Buried Pipes",AS-PIPE-UG-T,9.996359700000031
CAA0CD,MText,"Buried Pipe",AS-PIPE-UG-T,9.996359700000031
CAA0CE,MText,"Buried Pipes",AS-PIPE-UG-T,9.996359700000031
CAA0D5,MText,"Buried Pipe",AS-PIPE-UG-T,9.996359700000031
