Handle,ObjType,Content,Layer,Extra
B03F9C,BlockReference,"L-SECLBL",L-SECLBL,1
B04A67,BlockReference,"L-SECLBL",L-SECLBL,1
B04A6D,BlockReference,"L-SECLBL",L-SECLBL,1
B0A8D8,AlignedDimension,"Obsidian  P/L R/W  102 4042  061296",C-RW-T,Compass 5 000
B0B5A9,AlignedDimension,"Obsidian  P/L R/W  102 4042  061296",C-RW-T,Compass 5 000
B0B5DA,AlignedDimension,"Obsidian  A/R  060393",C-RW-T,Compass 5 000
B0B61D,AlignedDimension,"Obsidian  P/L R/W  094 1745   061206",C-RW-T,Compass 5 000
B0C10C,AlignedDimension,"Obsidian  P/L R/W  094 1745   061206",C-RW-T,Compass 5 000
B0C12C,MText,"Obsidian 9-4 (Surface) MSL 060644",C-WS-T,10.000000000000021
B0C12D,AlignedDimension,"Obsidian  A/R  060644",C-RW-T,Compass 5 000
B0CC0A,AlignedDimension,"Spartan  P/L R/W",F-RW-T,Compass 5 000
B0CC4D,AlignedDimension,"Cenovus  A/R  020235",F-AR-T,Compass 5 000
B0CC75,AlignedDimension,"Westbrick  P/L R/W  130095",F-RW-T,Compass 5 000
B0D788,MText,"Westbrick 16-4 (Surface) MSL 122565",F-RW-T,10.000000000000021
B0D79B,AlignedDimension,"Spartan  P/L R/W  141761",F-RW-T,Compass 5 000
B0E2B7,AlignedDimension,"Westbrick  P/L R/W  130095",F-RW-T,Compass 5 000
B0E2DF,AlignedDimension,"Westbrick  A/R  122485",F-RW-T,Compass 5 000
B0E322,AlignedDimension,"Westbrick  A/R  122485",F-RW-T,Compass 5 000
B0E346,MText,"Westbrick 3-9 (Surface) MSL 122563",F-RW-T,10.000000000000021
B0E359,AlignedDimension,"Westbrick  P/L R/W  130094",F-RW-T,Compass 5 000
B0EE63,AlignedDimension,"Obsidian  P/L R/W  052 3581   031012",C-RW-T,Compass 5 000
B0EEB8,AlignedDimension,"Cenovus  P/L R/W  111659",F-RW,Compass 5 000
B0FB5C,AlignedDimension,"Cenovus  A/R  5986",F-RW-T,Compass 5 000
B0FBB7,MText,"Obsidian 3-9 (Surface) MSL 11437",C-WS-T,10.000000000000021
B121D7,BlockReference,"FDI",L-MON,5.000000000000011
B121DC,BlockReference,"FDI",L-MON,5.000000000000011
B121E1,BlockReference,"fdspike",L-MON,5.000000000000011
B121F0,BlockReference,"fdspike",L-MON,5.000000000000011
B121FA,BlockReference,"fdspike",L-MON,5.000000000000011
B12204,BlockReference,"fdspike",L-MON,5.000000000000011
B1220E,BlockReference,"plspike",L-MON,4.998172200000004
B12213,BlockReference,"plspike",L-MON,4.998172200000004
B12222,BlockReference,"plspike",L-MON,4.998172200000004
B12227,BlockReference,"plspike",L-MON,4.998172200000004
B2F32F,DBText,"Theor. S.W.1/4 Sec. 9-45-9-W.5M.",C-SYMBOL,20.000000000000043
B2FC98,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000021
B30587,DBText,"S.W.1/4 Sec. 3-45-9-W.5M.",C-SYMBOL,20.000000000000043
B30588,DBText,"Area Required = 0.425 ha  1.05 Ac.",L-AREAREQUIRED,11.00000000000001
B30589,DBText,"N.W.1/4 Sec. 3-45-9-W.5M.",C-SYMBOL,20.000000000000043
B3058A,DBText,"Area Required = 1.365 ha  3.37 Ac.",L-AREAREQUIRED,11.00000000000001
