Handle,ObjType,Content,Layer,Extra
BC9365,BlockReference,"L-SECLBL",L-SECLBL,0.99966032
BC936E,BlockReference,"L-SECLBL",L-SECLBL,0.99966032
BC9377,MText,"L.S. 1",L-SECTION-LSD,9.996603200000015
BC9378,MText,"L.S. 2",L-SECTION-LSD,9.996603200000015
BC937A,MText,"L.S. 8",L-SECTION-LSD,9.996603200000015
BC937B,MText,"L.S. 7",L-SECTION-LSD,9.996603200000015
BC937D,MText,"L.S. 3",L-SECTION-LSD,9.996603200000015
BC937F,MText,"L.S. 4",L-SECTION-LSD,9.996603200000015
BC9381,MText,"L.S. 6",L-SECTION-LSD,9.996603200000015
BC9383,MText,"L.S. 5",L-SECTION-LSD,9.996603200000015
BCA010,BlockReference,"GAS",C-WS-S,5.000000000000007
BCA015,BlockReference,"GAS",C-WS-S,5.000000000000007
BCA1A6,BlockReference,"RISER",AS-SYMBOL,5.000000000000007
BCA2D3,BlockReference,"GAS",C-WS-S,5.000000000000007
BCA2E1,BlockReference,"FDI",L-MON,4.998301600000002
BCA2E6,BlockReference,"FDI",L-MON,4.998301600000002
BCA2FC,BlockReference,"FDI",L-MON,4.998301600000002
BCA337,BlockReference,"plspike",L-MON,4.998301600000002
BCA33C,BlockReference,"plspike",L-MON,4.998301600000002
BD5395,DBText,"S.E.1/4 Sec. 21-42-8-W.5M.",C-SYMBOL,19.993206400000023
BD5B79,BlockReference,"TEMP",L-MON,4.998301600000002
BD5B7A,BlockReference,"TEMP",L-MON,4.998301600000002
BD72F6,BlockReference,"L-SECLBL",L-SECLBL,0.99966032
BD8B2C,AlignedDimension,"Fortis  Power Line R/W  120265",F-EZE-T,Compass 5 000
BD9342,AlignedDimension,"Fortis  Power Line R/W  140181",F-EZE-T,Compass 5 000
BD9395,AlignedDimension,"Fortis  Vegetation Control R/W  870543",F-EZE-T,Compass 5 000
BD93C1,AlignedDimension,"Fortis  Power Line R/W  900006",F-EZE-T,Compass 5 000
BD9BE0,DBText,"FGL 920008 Boundary",AS-FMA-T,9.990755187128013
BDA3B5,DBText,"FGL 920008 Boundary",AS-FMA-T,9.990755187128013
BDA3B6,DBText,"FGL 920008 Boundary",AS-FMA-T,9.990755187128013
BDA3B7,DBText,"FGL 920008 Boundary",AS-FMA-T,9.990755187128013
BDA3B8,AlignedDimension,"Obsidian  A/R  003420",C-AR-T,Compass 5 000
BDABB1,AlignedDimension,"Obsidian  A/R  061713",C-AR-T,Compass 5 000
BDABEB,AlignedDimension,"Obsidian  A/R  061713",C-AR-T,Compass 5 000
BDAC16,AlignedDimension,"Obsidian  A/R  140043",C-AR-T,Compass 5 000
BDB457,MText,"Obsidian 2-21 (Surface) MSL 5146 (Expired)",C-WS-T,9.996603200000008
BDB458,AlignedDimension,"Obsidian  A/R  5146",C-AR-T,Compass 5 000
BDB47C,MText,"Obsidian 4-22 (Surface) MSL 5271 (Expired, To be Cancelled)",C-WS-T,9.996603200000008
BDB47D,AlignedDimension,"Obsidian  A/R  5271  To be Cancelled)",C-AR-T,Compass 5 000
BDB4B7,AlignedDimension,"Obsidian  A/R  5271  To be Cancelled)",C-AR-T,Compass 5 000
BDBCBA,MText,"L.S. 9",L-SECTION-LSD,9.996603200000008
