Handle,ObjType,Content,Layer,Extra
AF1CD0,BlockReference,"L-SECLBL",L-SECLBL,0.99967523
AF1CD6,DBText,"Government Road Allowance",L-ROAD-T,9.996752299999976
AF1CD7,DBText,"Government Road Allowance",L-ROAD-T,9.996752299999976
AF1CD8,DBText,"Government Road Allowance",L-ROAD-T,9.996752299999976
AF1CD9,DBText,"N.W.1/4 Sec. 19-42-7-W.5M.",C-SYMBOL,19.99350459999995
AF1CDA,DBText,"Well Site = 0.917 ha  2.27 Ac.",L-AREAREQUIRED,10.996427529999975
AF1CDB,DBText,"Access Road = 0.358 ha  0.89 Ac.",L-AREAWORK,10.996427529999975
AF1CDD,DBText,"Area Required = 0.908 ha  2.24 Ac.",L-AREAREQUIRED,10.996427529999975
AF1D1D,MText,"L.S. 11",L-SECTION-LSD,9.99675229999998
AF1D1F,MText,"L.S. 12",L-SECTION-LSD,9.99675229999998
AF1D21,MText,"L.S. 14",L-SECTION-LSD,9.99675229999998
AF1D22,MText,"L.S. 13",L-SECTION-LSD,9.99675229999998
AF1D24,MText,"L.S. 3",L-SECTION-LSD,9.99675229999998
AF1D26,MText,"L.S. 4",L-SECTION-LSD,9.99675229999998
AF1D28,MText,"L.S. 6",L-SECTION-LSD,9.99675229999998
AF1D2A,MText,"L.S. 5",L-SECTION-LSD,9.99675229999998
AF1D3A,AlignedDimension,"Obsidian  A/R  240047",C-AR-T,Compass 5 000
AF1D3B,AlignedDimension,"Obsidian  A/R  910706",C-AR-T,Compass 5 000
AF1D3D,AlignedDimension,"Obsidian  P/L R/W  080443",C-RW-T,Compass 5 000
AF1D3E,AlignedDimension,"Obsidian  P/L R/W  771 0464  770400",C-RW-T,Compass 5 000
AF1D3F,AlignedDimension,"Obsidian  P/L R/W  002 3978  981385",C-RW-T,Compass 5 000
AF1D40,MText,"Obsidian 12-19 (Surface) MSL 981284 (Expired) (To Be Cancelled)",C-WS-T,9.99675229999998
AF1D42,MText,"Obsidian 6-19 (Surface) MSL 2355",C-WS-T,9.99675229999998
AF1D44,AlignedDimension,"Fortis  Power Line R/W  990032",F-EZE-T,Compass 5 000
AF1D45,AlignedDimension,"Fortis  Power Line R/W  990032",F-EZE-T,Compass 5 000
AF1D46,AlignedDimension,"Fortis  Vegetation Control R/W  880205",F-EZE-T,Compass 5 000
AF1D47,AlignedDimension,"Taqa  P/L R/W  882 2718  870427",F-RW-T,Compass 5 000
AF1D48,AlignedDimension,"PMC  P/L R/W  962 1146  960735",F-RW-T,Compass 5 000
AF1D49,DBText,"(Undeveloped)",T-TEXT,9.996752299999976
AF1D4A,DBText,"(Undeveloped)",T-TEXT,9.996752299999976
AF1D4B,DBText,"(Undeveloped)",T-TEXT,9.996752299999976
AF1D4C,BlockReference,"*U43",AS-OWNER,0.99967523
AF1D5B,BlockReference,"*U41",0,0.99967523
AF1D6A,BlockReference,"*U42",0,0.99967523
AF1D79,BlockReference,"GAS",C-WS-S,4.998376149999991
AF1D7A,BlockReference,"GAS",C-WS-S,4.998376149999991
AF1D7B,BlockReference,"GAS",C-WS-S,4.998376149999991
AF1D7C,MText,"Rge. 8",D-TXT,13.995453219999964
AF1D7D,MText,"Rge. 7",D-TXT,13.995453219999964
AF1D7E,MText,"Rge. 8",D-TXT,13.995453219999964
AF1D7F,MText,"Rge. 7",D-TXT,13.995453219999964
AF2977,BlockReference,"FDI",L-MON,4.999999999999992
AF297C,BlockReference,"FDI",L-MON,4.999999999999992
AF2981,BlockReference,"FDI",L-MON,4.999999999999992
AF2986,BlockReference,"fdspike",L-MON,4.999999999999992
AF298B,BlockReference,"fdspike",L-MON,4.999999999999992
AF2990,BlockReference,"plspike",L-MON,4.999999999999992
AF2995,BlockReference,"plspike",L-MON,4.999999999999992
