Handle,ObjType,Content,Layer,Extra
BD53D9,BlockReference,"GAS",AS-SYMBOL,4.999999999999997
BE4169,BlockReference,"L-SECLBL",L-SECLBL,0.9996109999999994
BE423F,MText,"Rge. 9",D-TXT,13.994553999999999
BE4240,MText,"Rge. 10",D-TXT,13.994553999999999
BE424C,MText,"Buried Telus Cable",AS-TELUS,9.996109999999994
BE424D,MText,"Fortis O/H Power Line",AS-POWER,9.996109999999994
BE424E,MText,"Government Road Allowance",L-ROAD-T,9.996109999999994
BE424F,AlignedDimension,"Obsidian  A/R  980848  To Be Cancelled)",C-AR-T,Compass 5 000
BE4250,AlignedDimension,"Obsidian  A/R  2402",C-AR-T,Compass 5 000
BE4251,AlignedDimension,"Obsidian  A/R  5794",C-AR-T,Compass 5 000
BE4253,AlignedDimension,"Obsidian  Flowline R/W  2402",C-FLOWLINE-T,Compass 5 000
BE425D,AlignedDimension,"Obsidian  P/L R/W  4766",C-RW-T,Compass 5 000
BE425E,AlignedDimension,"Obsidian  P/L R/W  092 9789  980793",C-RW-T,Compass 5 000
BE4262,MText,"Obsidian 7-36 (Surface) MSL 980848 (Expired, To Be Cancelled)",C-WS-T,10.995721
BE4264,MText,"Obsidian 8-36 (Surface) ROE 2402",C-WS-T,10.995721
BE4266,MText,"Weyerhaeuser Irregular A/R DLO 160167",F-AR-T,10.995721
BE4269,MText,"Weyerhaeuser DML 3046",F-AR-T,10.995721
BE426C,MText,"Bonterra Irregular A/R LOC 061175",F-AR-T,10.995721
BE426F,AlignedDimension,"Altalink  Vegetation  R/W  880267",F-EZE-T,Compass 5 000
BE4270,AlignedDimension,"Altalink  Vegetation  R/W  880267",F-EZE-T,Compass 5 000
BE4271,AlignedDimension,"Fortis  Cable R/W  060228",F-EZE-T,Compass 5 000
BE4272,AlignedDimension,"Fortis  Powerline R/W  2479",F-EZE-T,Compass 5 000
BE4273,AlignedDimension,"Altalink  Powerline R/W  1942 NY  2051",F-RW-T,Compass 5 000
BE4274,AlignedDimension,"ATCO  P/L R/W  2795 RS  3560",F-RW-T,Compass 5 000
BE4275,AlignedDimension,"Pembina  P/L R/W  1392 KS  2377",F-RW-T,Compass 5 000
BE4276,AlignedDimension,"Pembina  P/L R/W  1392 KS  2376",F-RW-T,Compass 5 000
BE4277,AlignedDimension,"Pembina  P/L R/W  5116 KS  5841",F-RW-T,Compass 5 000
BE427A,MText,"Weyerhaeuser Storage DML 200001",F-WS-T,10.995721
BE427D,MText,"Brazeau County Transfer Station DML 890165",F-WS-T,10.995721
BE4281,MText,"Brazeau County Tower Site DML 140173",F-WS-T,10.995721
BE4285,MText,"Bonterra 8-36 (Surface) MSL 061462",F-WS-T,10.995721
BE4287,MText,"102/8-36 (Abd.)",F-WS-S,10.995721
BE4289,AlignedDimension,"60.00 Road  912 1553",L-TITLEDB-T,Compass 5 000
BE428A,MText,"Hwy. 620",L-TITLEDB-T,9.996109999999994
BE428B,MText,"Plan 942 4049",L-TITLEDB-T,9.996109999999994
BE428C,MText,"C. of T.",L-TITLEDB-T,9.996109999999994
BE428D,DBText,"(Low Grade Gravel)",T-TEXT,9.996109999999994
BE428E,BlockReference,"*U42",AS-OWNER,0.9996109999999994
BE429D,BlockReference,"res_occ",AS-RESIDENCE,4.9980549999999955
