Handle,ObjType,Content,Layer,Extra
BC4B95,BlockReference,"L-SECLBL",L-SECLBL,0.999593000000001
BC4B9B,DBText,"N.E.1/4 Sec. 27-48-10-W.5M.",C-SYMBOL,19.991860000000006
BC4B9C,DBText,"Riser Site = 0.072 ha  0.18 Ac.",L-AREAREQUIRED,10.995523000000002
BC4B9D,DBText,"Access Road = 0.112 ha  0.28 Ac.",L-AREAWORK,10.995523000000002
BC4B9E,DBText,"S.E.1/4 Sec. 27-48-10-W.5M.",C-SYMBOL,19.991860000000006
BC4B9F,DBText,"Access Road = 0.097 ha  0.24 Ac.",L-AREAREQUIRED,10.995523000000002
BC4BA1,DBText,"Government Road Allowance",L-ROAD-T,9.995930000000003
BC4BA2,DBText,"Government Road Allowance",L-ROAD-T,9.995930000000003
BC4CA3,MText,"L.S. 9",L-SECTION-LSD,9.995930000000003
BC4CA5,MText,"L.S. 10",L-SECTION-LSD,9.995930000000003
BC4CA7,MText,"L.S. 16",L-SECTION-LSD,9.995930000000003
BC4CA9,MText,"L.S. 15",L-SECTION-LSD,9.995930000000003
BC4CAB,MText,"L.S. 1",L-SECTION-LSD,9.995930000000003
BC4CAC,MText,"L.S. 2",L-SECTION-LSD,9.995930000000003
BC4CAE,MText,"L.S. 8",L-SECTION-LSD,9.995930000000003
BC4CAF,MText,"L.S. 7",L-SECTION-LSD,9.995930000000003
BC4CB8,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000016
BC4CBB,MText,"Buried Telus Cable",AS-TELUS,9.99593
BC4CBC,MText,"Buried Telus Cable",AS-TELUS,9.99593
BC4CBD,MText,"Fortis O/H Powerline",AS-POWER,9.99593
BC4CBE,MText,"Fortis O/H Powerline",AS-POWER,9.99593
BC4CC0,AlignedDimension,"Obsidian  A/R  180593  To Be",C-AR-T,Compass 5 000
BC4CC1,AlignedDimension,"Obsidian  P/L R/W  062 7870  042880",C-RW-T,Compass 5 000
BC4CC2,AlignedDimension,"Obsidian  P/L R/W  667",C-RW-T,Compass 5 000
BC4CC3,AlignedDimension,"Obsidian  P/L R/W  667",C-RW-T,Compass 5 000
BC4CC4,AlignedDimension,"Obsidian  P/L R/W  1353",C-RW-T,Compass 5 000
BC4CC5,AlignedDimension,"Obsidian  P/L R/W  4039",C-RW-T,Compass 5 000
BC4CC6,AlignedDimension,"Obsidian  P/L R/W  6083",C-RW-T,Compass 5 000
BC4CC7,AlignedDimension,"Obsidian  P/L R/W  6083",C-RW-T,Compass 5 000
BC4CC8,AlignedDimension,"Obsidian  P/L R/W  6129",C-RW-T,Compass 5 000
BC4CC9,AlignedDimension,"Obsidian  P/L R/W  6129",C-RW-T,Compass 5 000
BC4CCA,AlignedDimension,"Obsidian  P/L R/W  5023 KS  5055",C-RW-T,Compass 5 000
BC4CCB,AlignedDimension,"Obsidian  P/L R/W  5023 KS  4935",C-RW-T,Compass 5 000
BC4CCC,AlignedDimension,"Obsidian  P/L R/W  5040 KS  5911",C-RW-T,Compass 5 000
BC4CCD,AlignedDimension,"Obsidian  P/L R/W  3447 KS  4341",C-RW-T,Compass 5 000
BC4CCE,AlignedDimension,"Obsidian  P/L R/W  5023 KS  5055",C-RW-T,Compass 5 000
BC4CCF,AlignedDimension,"Obsidian  A/R  4158",C-WS-T,Compass 5 000
BC4CD0,MText,"Obsidian 16-27 (Surface) ROE 4158",C-WS-T,9.99593
BC4CD1,MText,"Obsidian 16-27 (Surface) ROE 4158",C-WS-T,9.99593
BC4CD5,MText,"Obsidian 16-27 (Surface) MSL 040126",C-WS-T,9.99593
BC4CD7,MText,"Obsidian 10-27 (Surface) MSL 74",C-WS-T,9.99593
BC4CD8,MText,"Obsidian 2-27 (Surface) MSL 74",C-WS-T,9.99593
BC4CD9,AlignedDimension,"Obsidian  A/R  74",C-WS-T,Compass 5 000
BC4CDA,MText,"Obsidian 8-27 (Surface) MSL 040129",C-WS-T,9.99593
BC4CDC,MText,"Obsidian Battery Site MSL 569",C-WS-T,9.99593
BC4CDE,MText,"Obsidian Riser Site PIL 180196 (Expired, To Be Cancelled)",C-WS-T,9.99593
BC4CE1,MText,"Obsidian Riser Site PIL 180206 (Expired)",C-WS-T,9.99593
BC4CE2,AlignedDimension,"Altalink  Power Line R/W  3574 NY  2095",F-EZE-T,Compass 5 000
BC4CE4,AlignedDimension,"Altalink  Vegetation  R/W  880262",F-EZE-T,Compass 5 000
BC4CE5,AlignedDimension,"Altalink  Vegetation  R/W  880081",F-EZE-T,Compass 5 000
BC4CE6,AlignedDimension,"Fortis  Power Line R/W  050115",F-EZE-T,Compass 5 000
BC4CE7,AlignedDimension,"Gran Tierra  P/L R/W  012 1898  001650",F-RW-T,Compass 5 000
BC4CE8,AlignedDimension,"Tidewater  P/L R/W  982 5942  972603",F-RW-T,Compass 5 000
BC4CE9,AlignedDimension,"Vermillion  P/L R/W  021680",F-RW-T,Compass 5 000
BC4CEA,AlignedDimension,"Pembina  P/L R/W  3445 KS  4344",F-RW-T,Compass 5 000
BC4CEB,AlignedDimension,"50.00 Road  002 0306",L-TITLEDB-T,Compass 5 000
BC4CEC,MText,"Hwy. 753",L-TITLEDB-T,9.99593
BC4CED,DBText,"(Undeveloped)",T-TEXT,9.995930000000003
BC4CEE,DBText,"(Undeveloped)",T-TEXT,9.995930000000003
BC4CEF,DBText,"(Undeveloped)",T-TEXT,10.000000000000016
BC4CF0,BlockReference,"*U35",AS-OWNER,1
BC4CFF,BlockReference,"*U35",AS-OWNER,1
BC4D0E,BlockReference,"GAS",C-WS-S,4.997965
BC4D0F,BlockReference,"GAS",C-WS-S,4.997965
BC4D10,BlockReference,"GAS",C-WS-S,4.997965
BC4D11,BlockReference,"GAS",C-WS-S,4.997965
BC4D12,BlockReference,"GAS",C-WS-S,4.997965
BC4D13,BlockReference,"GAS",C-WS-S,4.997965
