Handle,ObjType,Content,Layer,Extra
BC9BCB,BlockReference,"L-SECLBL",L-SECLBL,0.9996109999999989
BCC77C,BlockReference,"*U61",AS-OWNER,0.9996109999999989
BD1A97,MText,"Weyerhaeuser DML 3046",F-AR-T,10.995721000000001
BD364A,AlignedDimension,"Fortis  Powerline R/W  2479",F-EZE-T,Compass 5 000
BD367E,AlignedDimension,"Fortis  Vegetation  R/W  870463",F-EZE-T,Compass 5 000
BD3FD4,AlignedDimension,"Fortis  Powerline R/W  020263",F-EZE-T,Compass 5 000
BD4965,AlignedDimension,"Fortis  Vegetation  R/W  870463",F-EZE-T,Compass 5 000
BD6DDC,AlignedDimension,"Obsidian  A/R  800929",C-AR-T,Compass 5 000
BD89BD,AlignedDimension,"Obdisidian  P/L R/W  232033",C-RW-T,Compass 5 000
BD8ACC,MText,"JIM F POITRAS Trappers Cabin MLP 020042 (Expired)",F-WS-T,10.995721000000001
BDA5A5,MText,"Obsidian 14-30 (Surface) MSL 176",C-WS-T,10.995721000000001
BDB6C9,AlignedDimension,"Obsidian  Flowline R/W  176",C-FLOWLINE-T,Compass 5 000
BDB735,AlignedDimension,"Obsidian  A/R  176",C-AR-T,Compass 5 000
BDC9F9,MText,"Obsidian 11-30 (Surface) MSL 801368",C-WS-T,10.995721000000001
BDE506,MText,"Obsidian 12-30 (Surface) MSL 180",C-WS-T,10.995721000000001
BDE50A,AlignedDimension,"Obsidian  Flowline R/W  180",C-FLOWLINE-T,Compass 5 000
BDE568,AlignedDimension,"Obsidian  A/R  180",C-AR-T,Compass 5 000
BDEED5,MText,"Obsidian 12-30 (Surface) MSL 015266",C-WS-T,10.995721000000001
BDEEE8,AlignedDimension,"Obsidian  Flowline R/W  176",C-FLOWLINE-T,Compass 5 000
BE2E37,AlignedDimension,"Obsidian  A/R  7623",C-AR-T,Compass 5 000
BE49C1,MText,"Obsidian Riser Site PIL 130411 (Expired, To be Cancelled)",C-WS-T,10.995721000000001
BE7AB3,AlignedDimension,"Obsidian  P/L R/W  032 0199  012125",C-RW-T,Compass 5 000
BE7AFF,AlignedDimension,"Obsidian  P/L R/W  032 2282  021363",C-RW-T,Compass 5 000
BE843C,AlignedDimension,"Obsidian  P/L R/W  832 2633  830330",C-RW-T,Compass 5 000
BE847B,AlignedDimension,"ATCO  P/L R/W  160018",F-RW-T,Compass 5 000
BE8E09,AlignedDimension,"Obsidian  P/L R/W  021389",C-RW-T,Compass 5 000
BF2362,AlignedDimension,"Obsidian  P/L R/W  5517 KS  5895",C-RW-T,Compass 5 000
BFBACD,BlockReference,"GAS",C-WS-S,4.9980797500000005
BFBACE,BlockReference,"GAS",C-WS-S,4.9980797500000005
BFBACF,BlockReference,"GAS",C-WS-S,4.9980797500000005
BFBAD0,BlockReference,"GAS",C-WS-S,4.9980797500000005
BFC3DD,BlockReference,"GAS",C-WS-S,0.99961595
BFC3EB,DBText,"Government Road Allowance",L-ROAD-T,9.99610999999999
BFC3EC,DBText,"(Undeveloped)",T-TEXT,9.99610999999999
BFD62D,MText,"Rge. 10",D-TXT,13.994554000000011
BFD62E,MText,"Rge. 9",D-TXT,13.994554000000011
C04109,MText,"Fortis O/H Power Line",AS-POWER,9.996109999999993
C0C4CA,AlignedDimension,"Obsidian  A/R  61",C-AR-T,Compass 5 000
C1223B,AlignedDimension,"Obsidian  A/R  5794",C-AR-T,Compass 5 000
