Handle,ObjType,Content,Layer,Extra
BC8F55,BlockReference,"L-SECLBL",L-SECLBL,0.9996249999999984
BC8F64,DBText,"Government Road Allowance",L-ROAD-T,9.996249999999936
BC8F66,MText,"Key Wildlife Biodiversity Zone Boundary",AS-WILDLIFE,9.999999999999943
BC8FC7,AlignedDimension,"Obsidian  A/R  2563",C-AR-T,Compass 5 000
BC8FC8,AlignedDimension,"Obsidian  A/R  5876",C-AR-T,Compass 5 000
BC8FC9,AlignedDimension,"Obsidian  A/R  140912",C-AR-T,Compass 5 000
BC8FCB,AlignedDimension,"Obsidian  A/R",C-AR-T,Compass 5 000
BC8FCE,AlignedDimension,"Obsidian  Flow Line R/W  2563",C-FLOWLINE-T,Compass 5 000
BC8FD0,AlignedDimension,"Obsidian  P/L R/W  5519 KS  6182",C-RW-T,Compass 5 000
BC8FD1,AlignedDimension,"Obsidian  P/L R/W  032 0187  012239",C-RW-T,Compass 5 000
BC8FD2,AlignedDimension,"Obsidian  P/L R/W  140682  To   Cancelled",C-RW-T,Compass 5 000
BC8FD3,AlignedDimension,"Obsidian  P/L R/W  982 3571  981367",C-RW-T,Compass 5 000
BC8FD4,AlignedDimension,"Obsidian  P/L R/W  141961",C-RW-T,Compass 5 000
BC8FD8,MText,"Obsidian 6-35 (Surface) ROE 2563",C-WS-T,9.996249999999932
BC8FDA,MText,"Obsidian 4-35 (Surface) MSL 981370",C-WS-T,9.996249999999932
BC8FE1,AlignedDimension,"Fortis  Power Line R/W  150251",F-EZE-T,Compass 5 000
BC8FE2,AlignedDimension,"15.00 P/L R/W  112 3365",F-RW-T,Compass 5 000
BC8FE4,AlignedDimension,"Fortis  Vegetation Control R/W  910049",F-VCE-T,Compass 5 000
BC8FE5,MText,"Gran Tierra 6-35 (Surface) MSL 063482",F-WS-T,9.996249999999932
BC8FE7,MText,"103/6-35 (Abd.)",F-WS-T,9.996249999999932
BC8FE9,MText,"Edmonton Office - Forestry CLR770066",F-WS-T,9.996249999999932
BC8FED,AlignedDimension,"5.18 Road  832 1861",L-TITLEDB-T,Compass 5 000
BC8FEE,MText,"C. of T.",L-TITLEDB-T,9.996249999999936
BC8FF5,DBText,"(Paved)",T-TEXT,9.996249999999936
BC8FFA,BlockReference,"GABD",F-WS-S,4.999999999999972
BC8FFB,BlockReference,"GAS",F-WS-S,4.999999999999972
BC8FFC,BlockReference,"GAS",C-WS-S,4.998191799999997
BC8FFD,BlockReference,"GAS",C-WS-S,4.998191799999997
BC8FFE,BlockReference,"GAS",C-WS-S,4.998191799999997
BC8FFF,BlockReference,"GAS",C-WS-S,4.998191799999997
BC9000,BlockReference,"GAS",C-WS-S,4.998191799999997
BC9B04,BlockReference,"*U41",AS-OWNER,1
BCB611,BlockReference,"FDI",L-MON,4.998191799999997
BCB616,BlockReference,"FDI",L-MON,4.998191799999997
BCB61B,BlockReference,"FDI",L-MON,4.998191799999997
BCB620,BlockReference,"FDI",L-MON,4.998191799999997
BCB634,BlockReference,"FDI",L-MON,4.998191799999997
BCB677,BlockReference,"RISER",AS-SYMBOL,4.998191799999997
BCB67C,BlockReference,"RISER",AS-SYMBOL,4.998191799999997
BCB681,BlockReference,"RISER",AS-SYMBOL,4.998191799999997
