Handle,ObjType,Content,Layer,Extra
BCF66D,BlockReference,"L-SECLBL",L-SECLBL,1
BCF673,DBText,"N.W.1/4 Sec. 31-47-8-W.5M.",C-SYMBOL,20.00000000000007
BCF674,DBText,"Area Required = 0.494 ha  1.22 Ac.",L-AREAREQUIRED,11.000000000000036
BCF68E,MText,"Fortis O/H Power Line",AS-POWER,10.000000000000036
BCF693,AlignedDimension,"Obsidian  A/R  2441",C-AR-T,Compass 5 000
BCF694,AlignedDimension,"Obsidian  A/R  2388",C-AR-T,Compass 5 000
BCF695,AlignedDimension,"Obsidian  Flow Line R/W  2388",C-AR-T,Compass 5 000
BCF696,AlignedDimension,"Obsidian  A/R  8223  To be Cancelled)",C-AR-T,Compass 5 000
BCF697,AlignedDimension,"Obsidian  A/R  2439",C-AR-T,Compass 5 000
BCF699,AlignedDimension,"Obsidian  Flow Line R/W  8170  be Cancelled)",C-AR-T,Compass 5 000
BCF6A3,MText,"Obsidian 12-31 (Surface) ROE 2388",C-WS-T,10.000000000000036
BCF6A5,MText,"Obsidian 14-31 (Surface) ROE 2391",C-WS-T,10.000000000000036
BCF6A6,MText,"Obsidian 11-31 (Surface) MSL 8170 (Expired) (To be Cancelled)",C-WS-T,10.000000000000036
BCF6AA,AlignedDimension,"Barrel  P/L R/W  162 4015  061303",F-AR-T,Compass 5 000
BCF6AC,AlignedDimension,"Fortis  Vegetation Control R/W  870399",F-EZE-T,Compass 5 000
BCF6AE,AlignedDimension,"Pembalta  P/L R/W  5226 KS  5299",F-RW-T,Compass 5 000
BCF6B0,AlignedDimension,"Barrel  P/L R/W  052352",F-RW-T,Compass 5 000
BCF6B1,AlignedDimension,"Barrel  P/L R/W  062013",F-RW-T,Compass 5 000
BCF6B2,AlignedDimension,"Barrel  P/L R/W  052235",F-RW-T,Compass 5 000
BCF6B3,AlignedDimension,"Barrel  A/R  051458",F-RW-T,Compass 5 000
BCF6BA,AlignedDimension,"Pembina  P/L R/W   151249",F-RW-T,Compass 5 000
BCF6BC,MText,"Barrel 14-31 (Surface) MSL 051458",F-WS-T,10.000000000000036
BCF6BD,MText,"Barrel Riser Site PIL 240319",F-WS-T,10.000000000000036
BCF6DC,AlignedDimension,"Pembina  P/L R/W  1639 KS  2477",F-RW-T,Compass 5 000
BCF6DD,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000036
BCF6DE,DBText,"(Undeveloped)",T-TEXT,10.000000000000036
BCF6DF,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000036
BCF6E0,DBText,"(Undeveloped)",T-TEXT,10.000000000000036
BCF6EB,AlignedDimension,"Barrel  P/L R/W  162 4015",F-RW-T,Compass 5 000
BCFA9E,MText,"Twp. 47",D-TXT,13.994998360000068
BCFA9F,MText,"Twp. 48",D-TXT,13.994998360000068
BCFAAD,MText,"Rge. 9",D-TXT,13.994998360000068
BCFAB6,MText,"Rge. 8",D-TXT,13.994998360000068
BD4D93,BlockReference,"GAS",C-WS-S,4.998213700000014
BD4D94,BlockReference,"GAS",C-WS-S,4.998213700000014
BD4D95,BlockReference,"GAS",C-WS-S,4.998213700000014
BD4D96,BlockReference,"GAS",F-WS-S,4.998213700000014
BD4DA0,BlockReference,"GAS",C-WS-S,4.998213700000014
BD95EB,BlockReference,"PLI",L-MON,4.998213700000004
BD9613,BlockReference,"PLI",L-MON,4.998213700000004
