Handle,ObjType,Content,Layer,Extra
BD26CE,BlockReference,"L-SECLBL",L-SECLBL,0.9997069999999932
BD26D4,DBText,"Government Road Allowance",L-ROAD-T,9.997069999999962
BD26D5,DBText,"Government Road Allowance",L-ROAD-T,9.997069999999962
BD2793,MText,"S.E.1/4 Sec. 17-42-6-W.5M.",C-SYMBOL,19.99413999999993
BD27BB,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999485
BD27BC,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999485
BD27BD,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999485
BD27BE,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999485
BD27BF,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999485
BD27C0,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999485
BD27C1,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999485
BD27C2,DBText,"Riser Site = 0.096 ha  0.24 Ac.",L-AREAREQUIRED,10.996830239999921
BD27E3,MText,"Gas Plant Site Plan 1589 NY",F-RW,9.996993099999935
BD27ED,MText,"Plant Site  Addition Plan 912 0402",F-RW,9.996993099999935
BD280B,MText,"Buried Telus Cable",AS-TELUS,9.996993099999944
BD283B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999991
BD283C,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999991
BD28D5,AlignedDimension,"Obsidian  P/L R/W  022 0246  011504",C-RW-T,Compass 5 000
BD28D6,AlignedDimension,"Obsidian  P/L R/W  092 4640  061427",C-RW-T,Compass 5 000
BD28D8,AlignedDimension,"Obsidian  P/L R/W  200249",C-RW-T,Compass 5 000
BD28D9,AlignedDimension,"Obsidian  P/L R/W  240319",C-RW-T,Compass 5 000
BD28DB,MText,"Obsidian Battery Site MSL 240868",C-WS-T,9.997069999999969
BD28E7,AlignedDimension,"Entrada  A/R  790502",F-AR-T,Compass 5 000
BD28EC,AlignedDimension,"Entrada  A/R  2400",F-AR-T,Compass 5 000
BD28ED,AlignedDimension,"Entrada  A/R  935",F-AR-T,Compass 5 000
BD28EE,AlignedDimension,"Fortis  Power Line R/W  180058",F-EZE-T,Compass 5 000
BD28EF,AlignedDimension,"Fortis  Vegetation   R/W  880180",F-EZE-T,Compass 5 000
BD28F4,MText,"Fortis 5.00 Power Line R/W EZE 890090",F-EZE-T,9.997118399999906
BD28F7,AlignedDimension,"Entrada  Flow Line R/W  935",F-FLOWLINE-T,Compass 5 000
BD28F8,AlignedDimension,"Entrada  Flow Line R/W  1626",F-FLOWLINE-T,Compass 5 000
BD28F9,AlignedDimension,"Entrada  Flow Line R/W  1626",F-FLOWLINE-T,Compass 5 000
BD28FA,AlignedDimension,"Entrada  Flow Line R/W  4383",F-FLOWLINE-T,Compass 5 000
BD28FB,AlignedDimension,"Entrada  Flow Line R/W  7890",F-RW-T,Compass 5 000
BD28FC,AlignedDimension,"Pembina  P/L R/W  3290 MC  761",F-RW-T,Compass 5 000
BD28FD,AlignedDimension,"Entrada  P/L R/W  1276 NY  1803",F-RW-T,Compass 5 000
BD28FE,AlignedDimension,"CNRL  P/L R/W  074 0938  062793",F-RW-T,Compass 5 000
