Handle,ObjType,Content,Layer,Extra
BDB4AB,BlockReference,"L-SECLBL",L-SECLBL,0.999549999999995
BDB4B1,BlockReference,"L-SECLBL",L-SECLBL,0.999549999999995
BDB5BB,DBText,"Government Road Allowance",L-ROAD-T,9.995499999999943
BDB615,AlignedDimension,"Obsidian  A/R  2725",C-AR-T,Compass 5 000
BDB618,AlignedDimension,"Obsidian  A/R  7295  To be",C-AR-T,Compass 5 000
BDB61A,AlignedDimension,"Obsidian  A/R  7299  To  Cancelled)",C-AR-T,Compass 5 000
BDB61B,AlignedDimension,"Obsidian  A/R  7299  To   Cancelled)",C-AR-T,Compass 5 000
BDB61D,AlignedDimension,"Obsidian  A/R  7377  To be",C-AR-T,Compass 5 000
BDB61E,AlignedDimension,"Obsidian  P/L R/W  762 0516  5638",C-RW-T,Compass 5 000
BDB620,AlignedDimension,"Obsidian  P/L R/W  100480",C-RW-T,Compass 5 000
BDB622,AlignedDimension,"Obsidian  P/L R/W  100533",C-RW-T,Compass 5 000
BDB624,AlignedDimension,"Obsidian  P/L R/W  100590",C-RW-T,Compass 5 000
BDB626,AlignedDimension,"Obsidian  P/L R/W  100862",C-RW-T,Compass 5 000
BDB62A,AlignedDimension,"Obsidian  P/L R/W  780172",C-RW-T,Compass 5 000
BDB62D,MText,"Obsidian 12-13 (Surface) MSL 7295 (Expired, To be Cancelled)",C-WS-T,9.995499999999943
BDB62F,MText,"Obsidian 10-14 (Surface) MSL 7299 (Expired, To be Cancelled)",C-WS-T,9.995499999999943
BDB635,MText,"Obsidian 14-13 (Surface) MSL 100349",C-WS-T,9.995499999999943
BDB63B,AlignedDimension,"Bonterra  A/R  091099",F-AR-T,Compass 5 000
BDB63C,AlignedDimension,"Bonterra  A/R  091099",F-AR-T,Compass 5 000
BDB641,AlignedDimension,"Fortis  Power Line R/W  100182",F-EZE-T,Compass 5 000
BDB642,AlignedDimension,"Fortis  Power Line R/W  100182",F-EZE-T,Compass 5 000
BDB645,AlignedDimension,"Fortis  Vegetation Control R/W  870403",F-EZE-T,Compass 5 000
BDB64C,AlignedDimension,"Vermillion  P/L R/W  011593",F-RW-T,Compass 5 000
BDB657,AlignedDimension,"Vermillion  P/L R/W PLA 120179",F-RW-T,Compass 5 000
BDB665,MText,"10-14 Abd.",F-WS-T,9.995499999999943
BDB66A,DBText,"(Undeveloped)",T-TEXT,9.995499999999943
BDB672,BlockReference,"GABD",F-WS-S,4.997749999999974
BDB680,BlockReference,"GAS",C-WS-S,4.997749999999974
BDB682,BlockReference,"GAS",C-WS-S,4.997749999999974
BDB686,BlockReference,"GAS",C-WS-S,4.997749999999974
BDBB58,DBText,"N.E.1/4 Sec. 14-50-12-W.5M.",C-SYMBOL,19.999999999999908
