Handle,ObjType,Content,Layer,Extra
BC7226,BlockReference,"L-SECLBL",L-SECLBL,0.99977582
BC722C,DBText,"S.E.1/4 Sec. 31-44-4-W.5M.",C-SYMBOL,19.995516399999904
BC722D,DBText,"Well Site = 1.547 ha  3.82 Ac.",L-AREAREQUIRED,10.997534019999952
BC7235,DBText,"L.S. 7",L-SECTION-LSD,9.997758199999952
BC7236,DBText,"L.S. 8",L-SECTION-LSD,9.997758199999952
BC7237,DBText,"L.S. 2",L-SECTION-LSD,9.997758199999952
BC7238,DBText,"L.S. 1",L-SECTION-LSD,9.997758199999952
BCA6ED,AlignedDimension,"Obsidian  A/R  770543  (To be Amended)",C-AR-T,Compass 5 000
BCC19D,MText,"Obsidian 7-31 (Surface) MSL 9927 (Expired, To be Cancelled)",C-WS-T,9.997758199999963
BCC1F8,AlignedDimension,"Keyera  P/L R/W  001599",F-RW-T,Compass 5 000
BCC232,AlignedDimension,"Mancal  A/R  232064",F-AR-T,Compass 5 000
BCC25A,AlignedDimension,"Mancal  P/L R/W  082 8025  072398",F-RW-T,Compass 5 000
BCCB10,AlignedDimension,"Keyera  P/L R/W  082 6848  052172",F-RW-T,Compass 5 000
BCDCA0,AlignedDimension,"15.24 Access R/W  782 0213",F-RW-T,Compass 5 000
BCE650,DBText,"Government Road Allowance",L-ROAD-T,9.997758199999963
BCE651,DBText,"(Undeveloped)",T-TEXT,9.997758199999963
BCE65F,DBText,"(High Grade Gravel)",T-TEXT,9.99775819999996
BCF8BD,BlockReference,"fdspike",L-MON,4.998879099999995
BCF8C2,BlockReference,"fdspike",L-MON,4.998879099999995
BCF8C7,BlockReference,"fdspike",L-MON,4.998879099999995
BCF8CC,BlockReference,"fdspike",L-MON,4.998879099999995
BCF8D1,BlockReference,"plspike",L-MON,4.998879099999995
BCF8D6,BlockReference,"plspike",L-MON,4.998879099999995
BCF8DB,BlockReference,"GAS",C-WS-S,4.999999999999981
BD5057,DBText,"Government Road Allowance",L-ROAD-T,9.997688099999978
BD5058,MText,"Rge. 5",D-TXT,13.996763339999928
BD5059,MText,"Rge. 4",D-TXT,13.996763339999928
BD5063,DBText,"RP",35,9.997688099999978
BD5066,MText,"Ponoka County",L-33,11.997225719999966
BD5068,MText,"Clearwater County",L-33,11.997225719999966
BD506A,BlockReference,"*U43",DETAIL-T,0.9997688099999977
BD507C,BlockReference,"*U44",DETAIL-T,0.9997688099999977
BD508E,DBText,"(Undeveloped)",T-TEXT,9.997688099999978
BD508F,MText,"Fd.I. c.s. E.1/4 36",L-MON,9.997688099999953
BD5091,MText,"Fd.I. Pit M. N.E. 25",L-MON,9.997688099999953
BD9643,DBText,"358°00'00''",L-BD,9.99775819999999
BD9E6D,AlignedDimension,"Obsidian  A/R  770543  be Amended)",C-AR-T,Compass 5 000
BD9E6E,MText,"Obsidian 7-31 (Surface) MSL 9927 (Expired, To be Cancelled)",C-WS-T,9.997758199999994
BD9E6F,AlignedDimension,"Mancal  A/R  232064",F-AR-T,Compass 5 000
BD9E70,AlignedDimension,"Keyera  P/L R/W  082 6848  052172",F-RW-T,Compass 5 000
BD9E72,AlignedDimension,"15.24 Access R/W  782 0213",F-RW-T,Compass 5 000
BD9E75,BlockReference,"fdspike",L-MON,4.998879099999995
BD9E76,BlockReference,"fdspike",L-MON,4.998879099999995
BD9E77,BlockReference,"fdspike",L-MON,4.998879099999995
BD9E78,BlockReference,"fdspike",L-MON,4.998879099999995
BD9E79,BlockReference,"plspike",L-MON,4.998879099999995
BD9E7A,BlockReference,"plspike",L-MON,4.998879099999995
BD9E7B,BlockReference,"GAS",C-WS-S,4.998879099999995
BD9F37,DBText,"64°53'35''",L-BD1,9.99775819999999
BD9F39,DBText,"154°",L-BD1,9.99775819999999
BD9F3B,DBText,"35''",L-BD1,9.99775819999999
BD9F3D,DBText,"244°53'35''",L-BD1,9.99775819999999
BD9F3F,DBText,"35''",L-BD1,9.99775819999999
BDA9F3,AlignedDimension,"Keyera  P/L R/W  001599",F-RW-T,Compass 5 000
BDBBD2,MText,"DETAIL SCALE 1:1000",DETAIL-T,19.99551639999999
BDBBD4,DBText,"1188.30 (Tie)",L-BD,9.99775819999999
BDBBD5,DBText,"247°05'10''",L-BD,9.99775819999999
BDBBD6,DBText,"1092.74 (Tie)",L-BD,9.99775819999999
BDBBD7,DBText,"102°00'55''",L-BD,9.99775819999999
BDBBD8,MText,"Gate",AS-GENERAL,9.997758199999994
BDBBD9,MText,"W/H 7-31",C-WS-T,9.997758199999994
BDC3CD,DBText,"53'",L-BD1,9.99775819999999
BDC3CF,MText,"5.00 334°",L-BD1,9.99775819999999
BDC3D1,DBText,"53'",L-BD1,9.99775819999999
BE0C50,DBText,"1092.74 (Tie)",L-BD,9.99775819999999
BE0C51,DBText,"102°00'55''",L-BD,9.99775819999999
BE0C52,DBText,"1188.30 (Tie)",L-BD,9.99775819999999
BE0C53,DBText,"247°05'10''",L-BD,9.99775819999999
BE0CED,MText,"SEE DETAIL",DETAIL-T,15.99641312
BE46A1,MText,"30cm Spruce & Polplar",T-BUSH-T,9.997758199999963
BE46A2,MText,"30cm Spruce & Polplar",T-BUSH-T,9.997758199999963
BE46A3,MText,"30cm Spruce & Polplar",T-BUSH-T,9.997758199999963
BE46A4,MText,"30cm Spruce & Polplar",T-BUSH-T,9.997758199999963
BE46A5,MText,"30cm Spruce & Polplar",T-BUSH-T,9.997758199999963
BE46EE,AlignedDimension,"Keyera  P/L R/W  782 0213  770128",F-RW-T,Compass 5 000
BE4E13,BlockReference,"FDI",L-MON,4.999999999999992
BE4E14,BlockReference,"FDI",L-MON,4.999999999999992
BE5329,AlignedDimension,"Mancal  P/L R/W  082 8025  072398",F-RW-T,Compass 5 000
BE5845,DBText,"64°53'35''",L-BD1,9.99775819999999
BE5847,AlignedDimension,"Keyera  P/L R/W  782 0213  770128",F-RW-T,Compass 5 000
BE9D6D,BlockReference,"Disclaimer_Legal",0,0.4
