Handle,ObjType,Content,Layer,Extra
BC8EF1,MText,"L.S. 9",L-SECTION-LSD,10.00000000000004
BC8EF3,MText,"L.S. 10",L-SECTION-LSD,10.00000000000004
BC8EF5,MText,"L.S. 16",L-SECTION-LSD,10.00000000000004
BC8EF7,MText,"L.S. 15",L-SECTION-LSD,10.00000000000004
BC8F02,BlockReference,"L-SECLBL",L-SECLBL,1
BC8F09,MText,"Sharp Tailed Grouse Zone Boundary",AS-WILDLIFE-BLOCK,10.00000000000004
BC8F41,DBText,"N.E.1/4 Sec. 29-48-9-W.5M.",C-SYMBOL,20.000000000000078
BC8F42,DBText,"Area Required = 1.071 ha  2.65 Ac.",L-AREAREQUIRED,11.000000000000039
BC8F43,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000039
BC8F45,MText,"RP",35,10.00000000000004
BC8F51,AlignedDimension,"Obsidian  A/R  052337",C-AR-T,Compass 5 000
BC8F52,AlignedDimension,"Obsidian  A/R  4220",C-AR-T,Compass 5 000
BC8F53,AlignedDimension,"Obsidian  A/R  3430",C-AR-T,Compass 5 000
BC8F54,AlignedDimension,"Obsidian  A/R  3429",C-AR-T,Compass 5 000
BC8F55,AlignedDimension,"Obsidian  A/R  3427",C-AR-T,Compass 5 000
BC8F56,AlignedDimension,"Obsidian  P/L R/W  062 7985  053853",C-RW-T,Compass 5 000
BC8F57,AlignedDimension,"Obsidian  P/L R/W  062 7981  053584",C-RW-T,Compass 5 000
BC8F58,AlignedDimension,"Obsidian  Flowline R/W  211 MC  6818",C-RW-T,Compass 5 000
BC8F59,AlignedDimension,"Obsidian  P/L R/W  932 1897  930278",C-RW-T,Compass 5 000
BC8F5A,AlignedDimension,"Obsidian  P/L R/W  4864 KS  5049",C-RW-T,Compass 5 000
BC8F5B,MText,"Obsidian 10-29(Surface) ROE 4220",C-WS-T,10.00000000000004
BC8F5D,MText,"Obsidian 9-29(Surface) MSL 052338",C-WS-T,10.00000000000004
BC8F5F,MText,"Obsidian 15-29(Surface) MSL 920634 (Expired,  To be Cancelled)",C-WS-T,10.00000000000004
BC8F61,MText,"Obsidian 7-29(Surface) MSL 052337",C-WS-T,10.00000000000004
BC8F64,AlignedDimension,"Sinopec  A/R  050324",F-AR-T,Compass 5 000
BC8F65,AlignedDimension,"Fortis  Power Line R/W  060166",F-EZE-T,Compass 5 000
BC8F66,AlignedDimension,"Fortis  Power Line R/W  870565",F-EZE-T,Compass 5 000
BC8F67,AlignedDimension,"Fortis  Power Line R/W  870565",F-EZE-T,Compass 5 000
BC8F68,AlignedDimension,"Fortis  Power Line R/W  050311",F-EZE-T,Compass 5 000
BC8F69,AlignedDimension,"Sinopec  P/L R/W  051807",F-RW-T,Compass 5 000
BC8F6A,AlignedDimension,"Keyera  P/L R/W  052 5152  034290",F-RW-T,Compass 5 000
BC8F6B,AlignedDimension,"Sinopec  P/L R/W  112 2294  030858",F-RW-T,Compass 5 000
BC8F6C,AlignedDimension,"Sinopec  P/L R/W  042614",F-RW-T,Compass 5 000
BC8F6D,AlignedDimension,"Sinopec  P/L R/W  071818",F-RW-T,Compass 5 000
BC8F6E,AlignedDimension,"Gran Tierra  P/L R/W  021483",F-RW-T,Compass 5 000
BC8F6F,AlignedDimension,"Barrel  P/L R/W  152 3039  061667",F-RW-T,Compass 5 000
BC8F70,AlignedDimension,"Sinopec  P/L R/W  102 0166  051198",F-RW-T,Compass 5 000
BC8F71,AlignedDimension,"Sinopec  P/L R/W  102 3887  042636",F-RW-T,Compass 5 000
BC8F72,AlignedDimension,"Sinopec  P/L R/W  040729",F-RW-T,Compass 5 000
BC8F73,AlignedDimension,"Sinopec  P/L R/W  072 2759  053245",F-RW-T,Compass 5 000
BC8F74,AlignedDimension,"Sinopec  P/L R/W  112 2295  030857",F-RW-T,Compass 5 000
BC8F75,AlignedDimension,"Sinopec  P/L R/W  072 2904  055037",F-RW-T,Compass 5 000
BC8F76,AlignedDimension,"Sinopec  P/L R/W  230953",F-RW-T,Compass 5 000
BC8F77,MText,"Sinopec 16-29(Surface) MSL 023066",F-WS-T,10.00000000000004
BC8F79,MText,"Sinopec Compressor Site MLL 050180",F-WS-T,10.00000000000004
BC8F7B,MText,"Sinopec Compressor Site MLL 200114",F-WS-T,10.00000000000004
BC8F7D,MText,"Barrel 16-29(Surface) MSL 060797",F-WS-T,10.00000000000004
BC8F7F,MText,"CNRL 1-32(Surface) MSL 043137",F-WS-T,10.00000000000004
BC8F81,MText,"Sinopec Riser Site PIL 200254",F-WS-T,10.00000000000004
BC8F84,MText,"Sinopec Riser Site PIL 040275",F-WS-T,10.00000000000004
BC8F87,MText,"Keyera 8.00 Power Line R/W EZE 040151",F-WS-T,10.00000000000004
BC8F8A,MText,"Fortis Power Line R/W EZE 040145",F-WS-T,10.00000000000004
BC8F90,MText,"Sinopec 15.00 P/L R/W PLA 052994",F-WS-T,10.00000000000004
BC8F98,DBText,"(Undeveloped)",T-TEXT,10.000000000000039
BC8F99,MText,"Fortis O/H Power Line",AS-POWER-T,10.00000000000004
BC8F9C,MText,"Fortis O/H Power Line",AS-POWER-T,10.00000000000004
BC8FA2,MText,"Fortis O/H Power Line",AS-POWER-T,10.00000000000004
BC8FA5,AlignedDimension,"Obsidian  A/R  920551",C-AR-T,Compass 5 000
BC8FA6,AlignedDimension,"Sinopec  P/L R/W  042696",F-RW-T,Compass 5 000
BC9621,BlockReference,"FDI",L-MON,5.0000000000000195
BC9626,BlockReference,"FDI",L-MON,5.0000000000000195
BC9654,BlockReference,"FDI",L-MON,5.0000000000000195
BC9875,BlockReference,"GAS",C-WS-S,5.0000000000000195
BCA9D0,BlockReference,"RISER",AS-SYMBOL,4.998103800000016
BCAD86,BlockReference,"fdspike",L-MON,4.998103800000007
BCAD87,BlockReference,"fdspike",L-MON,4.998103800000007
BCAD88,BlockReference,"fdspike",L-MON,4.998103800000007
BCAD89,BlockReference,"plspike",L-MON,4.998103800000016
BCAD8A,BlockReference,"plspike",L-MON,4.998103800000016
BCAD8B,BlockReference,"plspike",L-MON,5.000000000000016
BCAD8C,BlockReference,"fdspike",L-MON,4.998103800000007
BCAD8D,BlockReference,"fdspike",L-MON,4.998103800000007
BCCFF3,MText,"SEE DETAIL",DETAIL-T,16.000000000000068
BCCFF5,MText,"DETAIL SCALE 1:1000",DETAIL-T,20.000000000000068
BD1B70,DBText,"360.49(Tie)",L-BD,9.996207600000025
BD1B71,DBText,"233°16'25"",L-BD,9.996207600000025
BD1CAA,BlockReference,"linebrk",L-SEC,4998.103800000011
BD1CAC,MText,"Fd.I.  Pit. M. Mp. N.E. 30",L-MON,9.996207600000021
BD2980,BlockReference,"FDI",L-MON,5.0000000000000195
BD2998,BlockReference,"linebrk",L-TIE,4998.103800000009
BD2AAD,DBText,"88°37'10"",L-BD,9.996207600000018
BD2AAE,DBText,"989.74(Tie)",L-BD,9.996207600000025
BD2AAF,DBText,"273°52'00"",L-BD,9.996207600000025
BD2DB3,MText,"Berm",T-TEXT,9.99620760000001
BD303E,MText,"Obsidian 15-29(Surface) MSL 920634 (Expired,  To be Cancelled)",C-WS-T,9.996207600000014
BD3045,MText,"Sinopec Compressor Site MLL 050180",F-WS-T,9.996207600000014
BD3047,MText,"Sinopec Riser Site PIL 200254",F-WS-T,9.996207600000014
BD3051,MText,"Fortis O/H Power Line",AS-POWER-T,9.996207600000014
BD3054,BlockReference,"RISER",AS-SYMBOL,4.998103800000005
BD3055,BlockReference,"GAS",C-WS-S,4.998103800000005
BD3056,BlockReference,"FDI",L-MON,4.998103800000007
BD3057,BlockReference,"FDI",L-MON,4.998103800000007
BD3058,BlockReference,"fdspike",L-MON,4.998103800000007
BD3059,BlockReference,"fdspike",L-MON,4.998103800000007
BD305A,BlockReference,"fdspike",L-MON,4.998103800000007
BD305C,BlockReference,"plspike",L-MON,4.998103800000007
BD305D,BlockReference,"fdspike",L-MON,4.998103800000007
BD305E,BlockReference,"plspike",L-MON,4.998103800000007
BD305F,BlockReference,"plspike",L-MON,4.998103800000007
BD3061,BlockReference,"fdspike",L-MON,4.998103800000007
BD3BF7,AlignedDimension,"Obsidian  A/R  920551",C-AR-T,Compass 5 000
BD3C25,AlignedDimension,"Obsidian  P/L R/W  932 1897  930278",C-RW-T,Compass 5 000
BD3C4A,AlignedDimension,"Fortis  Power Line R/W  050311",F-EZE-T,Compass 5 000
BD3C88,MText,"989.74(Tie) 273°52'00"",L-BD,9.996207600000025
BD3E2D,AlignedDimension,"P/L R/W  052994",F-WS-T,Compass 5 000
BD3E62,AlignedDimension,"Sinopec  P/L R/W  102 0166  051198",F-RW-T,Compass 5 000
BD47B8,AlignedDimension,"Sinopec  P/L R/W  071818",F-RW-T,Compass 5 000
BD480A,MText,"Fd.I. Mp.",L-MON,9.996207600000014
BD480B,MText,"Fd.I. Mp.",L-MON,9.996207600000014
BD480C,DBText,"360.49(Tie)",L-BD,9.996207600000023
BD480D,DBText,"233°16'25"",L-BD,9.996207600000023
BD480F,MText,"Texas Gate",T-TEXT,9.996207600000014
BD4810,AlignedDimension,"Sinopec  P/L R/W  042614",F-RW-T,Compass 5 000
BD49DF,AlignedDimension,"Sinopec  A/R  050324",F-RW-T,Compass 5 000
BD4A1D,AlignedDimension,"Sinopec  P/L R/W  051807",F-RW-T,Compass 5 000
BD4BC0,DBText,"266°33'45"",L-BD,9.996207600000014
BD4D2D,DBText,"45''",L-BD,9.996207600000014
BD5800,MText,"356°",L-BD,10.000000000000018
BD5B5F,BlockReference,"*U81",AS-SYMBOL,4.998103799999999
BD5D1C,MText,"Pumpjack",T-TEXT,9.99620760000001
BD5EC0,BlockReference,"as-built legend",CG-NOTES,0.99962076
BD5EC7,DBText,"358°31'20''",L-BD1,9.996207600000009
BD5EC9,MText,"33'",L-BD,9.996207600000014
BD606C,DBText,"358°31'20"",L-BD,9.992416638229786
BD69AF,DBText,"88°32'50"",L-BD1,9.992416638229786
BD69BE,DBText,"178°",L-BD1,9.992416638229786
BD69C0,DBText,"33'",L-BD1,9.992416638229786
BD69C2,DBText,"30"",L-BD1,9.992416638229786
BD6FBA,MText,"20cm Poplar & Spruce",T-BUSH-T,9.996207600000007
BD7155,MText,"Poplar (Overgrown, 15cm dia.)",T-BUSH-T,9.996207600000007
BD72F1,MText,"40cm Poplar  & Spruce 15cm dia.",T-BUSH-T,9.996207600000007
BD72F2,MText,"30cm Poplar",T-BUSH-T,9.996207600000007
BD7E1A,DBText,"266°33'45"",L-BD1,9.992416638229782
BD7E1D,MText,"Gate",T-TEXT,9.996207600000007
BD8000,BlockReference,"*U82",DETAIL-T,1
BD81D4,BlockReference,"*U82",DETAIL-T,1
BD81E6,MText,"Fd.I.  Pit. M. N.E. 29",L-MON,10.000000000000007
BDE3AD,MText,"Gate",T-TEXT,10.99582836
BDE3AE,MText,"Gate",T-TEXT,10.99582836
BE40F3,BlockReference,"Disclaimer_Legal",C-AR,0.2
