Handle,ObjType,Content,Layer,Extra
BC4A6D,BlockReference,"plspike",L-MON,5.000000000000009
BC4B03,BlockReference,"fdspike",L-MON,5.000000000000009
BC4B04,BlockReference,"fdspike",L-MON,5.000000000000009
BC5414,BlockReference,"fdspike",L-MON,5.000000000000009
BC6567,BlockReference,"TEMP",L-MON,4.998371500000007
BC6D32,AlignedDimension,"20.12 A/R",P-TXT,Compass 5 000
BC776C,DBText,"RP",35,9.996679999999971
BC777F,BlockReference,"L-SECLBL",L-SECLBL,0.9996680000000013
BC7785,DBText,"N.W.1/4 Sec. 27-51-8-W.5M.",C-SYMBOL,19.993359999999985
BC7786,MText,"L.S. 11",L-SECTION-LSD,9.996679999999992
BC7788,MText,"L.S. 12",L-SECTION-LSD,9.996679999999992
BC778A,MText,"L.S. 14",L-SECTION-LSD,9.996679999999992
BC778B,MText,"L.S. 13",L-SECTION-LSD,9.996679999999992
BC778D,DBText,"Government Road Allowance",L-ROAD-T,9.996679999999992
BC77A4,MText,"Parkland County",L-33,11.996016000000006
BC77A6,MText,"Yellowhead County",L-33,11.996016000000006
BC77B2,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,9.996680000000014
BC77B6,MText,"Grizzly Bear Support Zone Boundary",AS-WILDLIFE,9.996680000000014
BC77B9,AlignedDimension,"Obsidian  A/R  061284",C-AR-T,Compass 5 000
BC77BA,AlignedDimension,"Obsidian  A/R  1178",C-AR-T,Compass 5 000
BC77BB,MText,"Obsidian 14-27 (Surface) MSL 1178",C-AR-T,9.996679999999992
BC77BC,AlignedDimension,"Obsidian  A/R  9678  To be Canceled)",C-AR-T,Compass 5 000
BC77BD,MText,"Obsidian Water Collection Site MSL 9678 (Expired) (To be Canceled)",C-AR-T,9.996679999999992
BC77BF,MText,"Obsidian 12-27 (Surface) MSL 061623",C-AR-T,9.996679999999992
BC77C2,AlignedDimension,"Obsidian  P/L R/W  062759",C-RW-T,Compass 5 000
BC77C3,AlignedDimension,"Fortis  Power Line R/W  070020",F-EZE-T,Compass 5 000
BC77C4,DBText,"(Undeveloped)",T-TEXT,9.996679999999992
BC77C5,MText,"Pembina River",T-WATER-T,9.996679999999992
BC77C9,BlockReference,"GABD",F-WS-S,4.998339999999999
BC77CA,BlockReference,"GAS",C-WS-S,4.998339999999999
BC77CB,BlockReference,"GAS",C-WS-S,4.998339999999999
BC77CC,BlockReference,"GAS",C-WS-S,4.998339999999999
BC77CD,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,9.996680000000014
BCA1DD,MText,"178°23'10'' 91.41",L-BD,9.996743000000013
BCBAF6,DBText,"88°23'10''",L-BD,9.996743000000011
BCBAF8,BlockReference,"GAS",C-WS-S,4.9983715000000055
BCBB0F,MText,"SEE DETAIL",DETAIL-T,15.994788800000011
BCC344,BlockReference,"plspike",L-MON,4.9983715000000055
BCC345,BlockReference,"fdspike",L-MON,4.9983715000000055
BCCB9D,AlignedDimension,"Obsidian  A/R  9678  To be Canceled)",C-AR-T,Compass 5 000
BCD4DE,MText,"Obsidian Water Collection Site MSL 9678 (Expired) (To be Canceled)",C-AR-T,9.996679999999992
BCD4E9,AlignedDimension,"Obsidian  Water Intake R/W  9678  be Canceled)",C-AR-T,Compass 5 000
BCDD1B,MText,"Pembina River",T-WATER-T,9.996679999999992
BCDD26,AlignedDimension,"Obsidian  Water Intake R/W  ______",C-RW-T,Compass 5 000
BCDD65,AlignedDimension,"20.12 A/R",P-TXT,Compass 5 000
BCEF32,DBText,"341°38'10''",L-BD,9.996743000000011
BCEF38,MText,"119.18 162°16'00''",L-BD,9.996743000000011
BD146A,MText,"Gravel Road",T-TEXT,9.996743000000013
BD146C,MText,"Gravel Road",T-TEXT,9.996743000000013
BD1A5C,MText,"DETAIL SCALE 1:1000",DETAIL-T,19.993486000000022
BD1A66,MText,"Access Road = 0.308 ha  0.76 Ac.",L-AREAREQUIRED,9.996743000000013
BD1FC7,MText,"Top of Bank",T-TEXT,9.996743000000013
BD1FD2,MText,"Parkland County",L-33,11.996016000000006
BD1FD4,MText,"Yellowhead County",L-33,11.996016000000006
BD6DF5,BlockReference,"*U29",DETAIL-T,0.9996743
BD73FF,BlockReference,"*U30",DETAIL-T,0.9996743
BDAC14,MText,"Pembina River",T-WATER-T,9.996679999999989
BDBAF8,MText,"35cm Poplar Some Spruce  & Willow",T-BUSH-T,9.99674300000001
BDBAF9,MText,"35cm Poplar Some Spruce  & Willow",T-BUSH-T,9.99674300000001
BDBAFA,MText,"35cm Poplar Some Spruce  & Willow",T-BUSH-T,9.99674300000001
BE0408,BlockReference,"TEMP",L-MON,4.998371500000002
BE040E,MText,"5.18 71°38'10''",L-BD,9.996743000000011
BE085B,MText,"119.18 162°16'00''",L-BD,9.996743000000011
BE338B,MText,"30.48 A/R",P-TXT,9.996743
BE338E,DBText,"233.42 (Tie)",L-TIE-T,9.996743
BE338F,DBText,"349°43'25''",L-TIE-T,9.996743
BE3390,DBText,"233.42 (Tie)",L-TIE-T,9.996743
BE3391,DBText,"349°43'25''",L-TIE-T,9.996743
BE37DB,AlignedDimension,"A/R",P-TXT,Compass 5 000
BE589A,DBText,"251°38'",L-BD,9.996743000000011
BE9B85,BlockReference,"Disclaimer_Legal",C-AR,0.25
