Handle,ObjType,Content,Layer,Extra
B02D44,BlockReference,"L-SECLBL",L-SECLBL,0.99971059
B02D4A,BlockReference,"L-SECLBL",L-SECLBL,0.99971059
B02D60,DBText,"Government Road Allowance",L-ROAD-T,9.997105900000033
B02D61,DBText,"(Paved)",T-TEXT,9.997105900000033
B02D62,DBText,"Government Road Allowance",L-ROAD-T,9.997105900000033
B02D63,DBText,"(High Grade Gravel)",T-TEXT,9.997105900000033
B0387D,DBText,"S.E.1/4 Sec. 33-49-7-W.5M.",C-SYMBOL,19.994211800000063
B0387E,DBText,"Area Required = 0.317 ha  0.78 Ac.",L-AREAREQUIRED,10.99681649000003
B1EE1C,BlockReference,"*U26",AS-OWNER,0.99971059
B1F6F6,AlignedDimension,"Evergreen  P/L R/W  770587",F-RW,Compass 5 000
B1F91C,AlignedDimension,"Obsidian  A/R  9267",C-AR-T,Compass 5 000
B1F95F,MText,"Obsidian 2-33 (Surface) ROE 9267",C-WS-T,9.997105900000031
B1F960,MText,"Obsidian 8-33 (Surface) ROE 9267",C-WS-T,9.997105900000031
B1F961,AlignedDimension,"10.00 Road  902 1622",L-TITLEDB-T,Compass 5 000
B2023D,MText,"Block 2 Lot 17 Plan 012 6273",L-TITLEDB-T,9.997105900000031
B20B3D,DBText,"N.E.1/4 Sec. 33-49-7-W.5M.",C-SYMBOL,19.994211800000063
B20B3E,DBText,"Area Required = 0.102 ha  0.25 Ac.",L-AREAREQUIRED,10.99681649000003
B20B40,BlockReference,"*U30",AS-OWNER,0.99971059
B20D1C,MText,"Lot E Block 6 Plan 802 0881",L-TITLEDB-T,9.997105900000031
B20D2A,MText,"Twp. 49",D-TXT,13.995948260000047
B20D2B,MText,"Twp. 50",D-TXT,13.995948260000047
B21050,MText,"Block 3 Lot 1 Plan 092 1075",L-TITLEDB-T,9.997105900000031
B211DF,MText,"Lot 1 Plan 982 3390",L-TITLEDB-T,9.997105900000031
B211E0,MText,"Lot 2 Plan 982 3390",L-TITLEDB-T,9.997105900000031
B211F1,DBText,"S.W.1/4 Sec. 34-49-7-W.5M.",C-SYMBOL,19.994211800000063
B211F2,DBText,"Area Required = 0.852 ha  2.11 Ac.",L-AREAREQUIRED,10.99681649000003
B211F3,DBText,"Workspace = 0.432 ha  1.07 Ac.",L-AREAWORK,10.99681649000003
B211F8,BlockReference,"*U31",CG-NOTES,0.99971059
B21246,BlockReference,"*U32",CG-NOTES,0.99971059
B21598,MText,"Lot A Plan 912 0025",L-TITLEDB-T,9.997105900000031
B2159B,MText,"Lot 1 Plan 982 6500",L-TITLEDB-T,9.997105900000031
B2159C,MText,"Lot 2 Plan 982 6500",L-TITLEDB-T,9.997105900000031
B2159D,MText,"Lot 1 Plan 972 3665",L-TITLEDB-T,9.997105900000031
B2159E,MText,"Lot 2 Plan 972 3665",L-TITLEDB-T,9.997105900000031
B2159F,MText,"Lot 3 Plan 972 3665",L-TITLEDB-T,9.997105900000031
B2172E,MText,"Block 1 Lot 5 Plan 052 2850",L-TITLEDB-T,9.997105900000031
B2172F,MText,"Block 1 Lot 2 Plan 982 6578",L-TITLEDB-T,9.997105900000031
