Handle,ObjType,Content,Layer,Extra
AF5103,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999998
AF5104,DBText,"(High Grade Gravel Road)",T-TEXT,9.999999999999998
AF510D,BlockReference,"L-SECLBL",L-SECLBL,1
AF52A1,DBText,"S.W.1/4 Sec. 4-51-8-W.5M.",C-SYMBOL,20
AF52A2,DBText,"Riser Site = 0.418 ha  1.03 Ac.",L-AREAREQUIRED,11.00000000000002
AF52A4,MText,"L.S. 3",L-SECTION-LSD,10
AF52A6,MText,"L.S. 4",L-SECTION-LSD,10
AF52A8,MText,"L.S. 6",L-SECTION-LSD,10
AF52AA,MText,"L.S. 5",L-SECTION-LSD,10
AF5DF8,BlockReference,"*U37",L-SECLBL,1
AF5E5A,AlignedDimension,"Fortis  Power Line R/W  980079",F-EZE-T,Compass 5 000
AF6010,AlignedDimension,"Obsidian  A/R  181323",C-AR-T,Compass 5 000
AF6073,AlignedDimension,"Obsidian  A/R  200993  Be Amended)",C-AR-T,Compass 5 000
AF60B6,MText,"Obsidian Riser Site PIL 000055 (To Be Cancelled)",C-RW-T,10
AF6246,MText,"Tallgrass Riser Site PIL 090475",F-RW-T,10
AF6249,MText,"Obsidian Riser Site PIL 180419 (Expired)",C-WS-T,10
AF624A,MText,"Obsidian Riser Site PIL 200251",C-WS-T,10
AF640E,AlignedDimension,"Obsidian  P/L R/W  012 4957  000987",C-RW-T,Compass 5 000
AF6442,AlignedDimension,"Tallgrass  P/L R/W  091365",F-RW-T,Compass 5 000
AF647C,AlignedDimension,"Obsidian  P/L R/W  982 2344  972140",C-RW-T,Compass 5 000
AF64A8,AlignedDimension,"Tallgrass  P/L R/W  042 6625  981717",F-RW-T,Compass 5 000
B4D578,BlockReference,"*U45",AS-WILDLIFE-BLOCK,1
B4D587,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,10
B4E920,MText,"Fortis O/H Power Line",AS-POWER,10
B4FBFE,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999998
B4FBFF,DBText,"(High Grade Gravel Road)",T-TEXT,9.999999999999998
B6852E,AlignedDimension,"Taiga  P/L R/W  002 2678  000708",F-RW-T,Compass 5 000
B6860D,BlockReference,"RISER",AS-SYMBOL,4.998311350000002
B68642,BlockReference,"RISER",AS-SYMBOL,4.998311350000002
B6864F,BlockReference,"RISER",AS-SYMBOL,4.998311350000002
B68654,BlockReference,"PIG",AS-SYMBOL,4.998311350000002
B68661,BlockReference,"RISER",AS-SYMBOL,4.998311350000002
B6868E,BlockReference,"RISER",AS-SYMBOL,4.998311350000002
B686B0,BlockReference,"FDI",L-MON,4.998311350000002
B686B5,BlockReference,"FDI",L-MON,4.998311350000002
B686BF,BlockReference,"FDI",L-MON,4.998311350000002
B686C4,BlockReference,"FDI",L-MON,4.998311350000002
B686C9,BlockReference,"fdspike",L-MON,4.998311350000002
B686CE,BlockReference,"plspike",L-MON,4.998311350000002
B686D3,BlockReference,"plspike",L-MON,4.998311350000002
B686D8,BlockReference,"fdspike",L-MON,4.998311350000002
B686DD,BlockReference,"plspike",L-MON,4.998311350000002
B686E2,BlockReference,"FDI",L-MON,4.998311350000002
B686E7,BlockReference,"FDI",L-MON,4.998311350000002
B686F1,BlockReference,"FDI",L-MON,4.998311350000002
B686F6,BlockReference,"FDI",L-MON,4.998311350000002
B686FB,BlockReference,"FDI",L-MON,4.998311350000002
B68700,BlockReference,"FDI",L-MON,4.998311350000002
B68705,BlockReference,"plspike",L-MON,4.998311350000002
B6870A,BlockReference,"plspike",L-MON,4.998311350000002
B6870F,BlockReference,"plspike",L-MON,4.998311350000002
B68714,BlockReference,"plspike",L-MON,4.998311350000002
B68719,BlockReference,"plspike",L-MON,4.998311350000002
B6871E,BlockReference,"plspike",L-MON,4.998311350000002
B68723,BlockReference,"plspike",L-MON,4.998311350000002
B6A056,BlockReference,"RISER",AS-SYMBOL,4.998311350000002
B6A057,BlockReference,"RISER",AS-SYMBOL,4.998311350000002
B6A058,BlockReference,"RISER",AS-SYMBOL,4.998311350000002
B6A059,BlockReference,"PIG",AS-SYMBOL,4.998311350000002
B6A05A,BlockReference,"RISER",AS-SYMBOL,4.998311350000002
B6A05B,BlockReference,"RISER",AS-SYMBOL,4.998311350000002
B6A05D,BlockReference,"FDI",L-MON,4.998311350000002
B6A05E,BlockReference,"FDI",L-MON,4.998311350000002
B6A062,BlockReference,"fdspike",L-MON,4.998311350000002
B6A064,BlockReference,"plspike",L-MON,4.998311350000002
B6A065,BlockReference,"fdspike",L-MON,4.998311350000002
B6A066,BlockReference,"plspike",L-MON,4.998311350000002
B6A067,BlockReference,"FDI",L-MON,4.998311350000002
B6A068,BlockReference,"FDI",L-MON,4.998311350000002
B6A06A,BlockReference,"FDI",L-MON,4.998311350000002
B6A06B,BlockReference,"FDI",L-MON,4.998311350000002
B6A06E,BlockReference,"plspike",L-MON,4.998311350000002
B6A06F,BlockReference,"plspike",L-MON,4.998311350000002
B6A070,BlockReference,"plspike",L-MON,4.998311350000002
B6A071,BlockReference,"plspike",L-MON,4.998311350000002
B6A072,BlockReference,"plspike",L-MON,4.998311350000002
B6A073,BlockReference,"plspike",L-MON,4.998311350000002
B6A074,BlockReference,"plspike",L-MON,4.998311350000002
B6A7AD,BlockReference,"FLARE",AS-SYMBOL,4.998311350000006
B6A8A7,MText,"Gate",T-TEXT,9.993643606469131
B6A8BA,MText,"Flare",T-TEXT,9.993643606469131
B6A8C5,MText,"Power Box",T-TEXT,9.996598194615805
