Handle,ObjType,Content,Layer,Extra
AF29E5,BlockReference,"L-SECLBL",L-SECLBL,1
AF29EB,MText,"Rge. 10",D-TXT,14.000000000000277
AF29ED,DBText,"Government Road Allowance",L-ROAD-T,10.00000000000017
AF29EE,DBText,"Government Road Allowance",L-ROAD-T,10.00000000000017
AF2B22,DBText,"N.W.1/4 Sec. 19-48-9-W.5M.",C-SYMBOL,20.000000000000348
AF2B23,DBText,"Area Required = 0.023 ha  0.06 Ac.",L-AREAREQUIRED,11.000000000000174
AF2B6D,MText,"Buried Telus Cable",AS-TELUS,11.000000000000178
AF2B76,MText,"Rge. 9",D-TXT,14.000000000000277
AF2B78,AlignedDimension,"Obsidian  A/R  2794",C-AR-T,Compass 5 000
AF2B79,AlignedDimension,"Obsidian  A/R  3223",C-AR-T,Compass 5 000
AF2B7B,AlignedDimension,"Obsidian  P/L R/W  032 0179  013007",C-RW-T,Compass 5 000
AF2B8B,AlignedDimension,"Obsidian  P/L R/W  032 0179  013007",C-RW-T,Compass 5 000
AF2B8C,AlignedDimension,"Obsidian  P/L R/W  094 0879  033152",C-RW-T,Compass 5 000
AF2B8D,AlignedDimension,"Obsidian  A/R  2405",C-RW-T,Compass 5 000
AF2B8E,AlignedDimension,"Obsidian  P/L R/W  4945",C-RW-T,Compass 5 000
AF2B8F,AlignedDimension,"Obsidian  P/L R/W  5148 KS  4946",C-RW-T,Compass 5 000
AF2B90,AlignedDimension,"Obsidian  P/L R/W  882 1929  870681",C-RW-T,Compass 5 000
AF2B9D,MText,"Obsidian 13-19 (Surface) MSL 034138",C-WS-T,10.000000000000187
AF2B9F,MText,"Obsidian 14-19 (Surface) ROE 2794",C-WS-T,10.000000000000187
AF2BA1,AlignedDimension,"Obsidian  A/R  3083",C-WS-T,Compass 5 000
AF2BA9,AlignedDimension,"Bonterra  A/R  4230",F-AR-T,Compass 5 000
AF2BAE,MText,"Altalink Power Station EZE 1321",F-EZE-T,11.00000000000018
AF2BB0,AlignedDimension,"Fortis  Power Line R/W  110030",F-EZE-T,Compass 5 000
AF2BB2,AlignedDimension,"Altalink  Power Line R/W  880650",F-EZE-T,Compass 5 000
AF2BB3,AlignedDimension,"Altalink  Vegetation Control R/W  880691",F-EZE-T,Compass 5 000
AF2BB4,AlignedDimension,"Altalink  Power Line R/W  902 0123  880650",F-EZE-T,Compass 5 000
AF2BB6,AlignedDimension,"Fortis  Power Line R/W  200089",F-EZE-T,Compass 5 000
AF2BB7,AlignedDimension,"Fortis  Vegetation Control R/W  870564",F-EZE-T,Compass 5 000
AF2BB8,AlignedDimension,"Fortis  Power Line R/W  1394",F-EZE-T,Compass 5 000
AF2BBB,AlignedDimension,"Gran Tierra  P/L R/W  092 3974  022647",F-RW-T,Compass 5 000
AF2BBD,AlignedDimension,"Pembina  P/L R/W  1991 KS  2713",F-RW-T,Compass 5 000
AF2BBE,AlignedDimension,"Pembina  P/L R/W  1880 KS  2752",F-RW-T,Compass 5 000
AF2BC3,MText,"Edmonton Office Forestry Division CLR 760101",F-WS-T,10.000000000000187
AF2BC7,MText,"13-19 (Abd.)",F-WS-T,10.000000000000187
AF2BCC,DBText,"(High Grade Gravel)",T-TEXT,10.00000000000017
AF2BCD,DBText,"(High Grade Gravel)",T-TEXT,10.00000000000017
AF2BFA,BlockReference,"GABD",F-WS-S,5.000000000000087
AF2BFC,BlockReference,"GAS",F-WS-S,5.000000000000087
AF3202,BlockReference,"RISER",AS-SYMBOL,4.998076300000071
AF32A3,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000087
AF32A8,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000087
AF32AD,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000087
AF32B2,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000087
AF32B7,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000087
AF32BC,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000087
AF3326,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000087
AF332B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000087
AF3330,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000087
AF3335,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000087
AF34DF,BlockReference,"FDI",L-MON,5.000000000000087
AF34E9,BlockReference,"FDI",L-MON,5.000000000000087
AF34EE,BlockReference,"FDI",L-MON,5.000000000000087
AF34F3,BlockReference,"FDI",L-MON,5.000000000000087
AF34FD,BlockReference,"FDI",L-MON,5.000000000000087
B05259,MText,"Obsidian 12-19 (Surface) MSL 240724",C-WS-T,10.000000000000187
