Handle,ObjType,Content,Layer,Extra
BCBA58,AlignedDimension,"Obsidian  P/L R/W Plan 4914 KS",C-RW-T,Compass 5 000
BCC243,AlignedDimension,"Ricochet  P/L R/W  902 1832",F-RW-T,Compass 5 000
BCCA2D,AlignedDimension,"Ricochet  P/L R/W  892 2978",F-RW-T,Compass 5 000
BCCA59,AlignedDimension,"Ricochet  P/L R/W Plan 3058 KS",F-RW-T,Compass 5 000
BD0275,AlignedDimension,"Ricochet  P/L R/W Plan 89 KS",F-RW-T,Compass 5 000
BD0A84,AlignedDimension,"Ricochet  P/L R/W Plan 892 2981",F-RW-T,Compass 5 000
BD2210,AlignedDimension,"Ricochet  P/L R/W  822 1673",F-RW-T,Compass 5 000
BD399B,MText,"Lot 1 Plan 962 2327",L-TITLEDB-T,9.999999999999984
BD399D,MText,"Lot 1 Block 1 Plan 932 1401",L-TITLEDB-T,9.999999999999984
BD425A,MText,"C. of T.",L-TITLEDB-T,9.999999999999984
BD8579,MText,"C. of T.",L-TITLEDB-T,9.999999999999984
BD857A,AlignedDimension,"45.72  Road  772 2763",L-TITLEDB-T,Compass 5 000
BD8D90,AlignedDimension,"10.06 Road Widening  3002 JY",L-TITLEDB-T,Compass 5 000
BDC646,AlignedDimension,"Ricochet  P/L R/W Plan 912 1468",F-RW-T,Compass 5 000
BDC665,AlignedDimension,"Ricochet  P/L R/W  902 1826",F-RW-T,Compass 5 000
BDCF56,MText,"Lot 2 Plan 942 1038",L-TITLEDB-T,9.999999999999984
BDE8E1,BlockReference,"L-SECLBL",L-SECLBL,1
BDFAED,BlockReference,"*U42",AS-OWNER,1
BE03F6,DBText,"(High Grade Gravel)",T-TEXT,9.999999999999984
BE03F7,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999984
BE0BDA,BlockReference,"res_occ",AS-RESIDENCE,4.999999999999992
BE1B8B,MText,"Fortis O/H Power Line",AS-POWER-T,9.999999999999984
BE2450,MText,"Fortis O/H Power Line",AS-POWER-T,9.999999999999984
BE2C34,MText,"Buried Telus Cable",AS-TELUS,9.999999999999984
BE2C44,MText,"Buried Telus Cable",AS-TELUS,9.999999999999984
BE5D52,BlockReference,"GABD",F-WS-S,4.999999999999992
BE5D53,MText,"Ricochet 14-17 (Abd.)",F-WS-S,9.999999999999984
BF099F,BlockReference,"FDI",L-MON,4.999999999999992
BF1DB2,BlockReference,"RISER",AS-SYMBOL,4.9982491499999995
BF1DBF,BlockReference,"PIG",AS-SYMBOL,4.9982491499999995
BF1DD8,BlockReference,"PIG",AS-SYMBOL,4.9982491499999995
BF1DE5,BlockReference,"RISER",AS-SYMBOL,4.9982491499999995
BF26B5,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9982491499999995
BF26D2,BlockReference,"RISER",AS-SYMBOL,4.9982491499999995
BF26DF,BlockReference,"RISER",AS-SYMBOL,4.9982491499999995
BF71B0,BlockReference,"FDI",L-MON,4.999999999999995
BF864E,BlockReference,"RISER",AS-SYMBOL,4.9982491499999995
BF865B,BlockReference,"PIG",AS-SYMBOL,4.9982491499999995
BF8674,BlockReference,"PIG",AS-SYMBOL,4.9982491499999995
BF8681,BlockReference,"RISER",AS-SYMBOL,4.9982491499999995
BF8F92,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9982491499999995
BF8FAF,BlockReference,"RISER",AS-SYMBOL,4.9982491499999995
BF8FBC,BlockReference,"RISER",AS-SYMBOL,4.9982491499999995
BF8FC9,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9982491499999995
BFB372,MText,"Cable  Tray",AS-CABLE,9.999999999999984
BFB37E,MText,"Building",T-TEXT,9.999999999999984
BFB380,MText,"Tank",T-TEXT,9.999999999999984
BFB382,MText,"Edge of Berm",T-TEXT,9.999999999999984
BFB386,MText,"Pad",T-TEXT,9.999999999999982
BFB388,MText,"Edge of Pad",T-TEXT,9.999999999999984
BFB38D,MText,"5m Medium Grade Gravel Road",T-TEXT,9.999999999999984
BFB39F,AlignedDimension,"Obsidian  P/L R/W Plan 4914 KS",C-RW-T,Compass 5 000
BFBB4B,AlignedDimension,"Ricochet  P/L R/W Plan 89 KS",F-RW-T,Compass 5 000
BFBB81,AlignedDimension,"Ricochet  P/L R/W Plan 892 2981",F-RW-T,Compass 5 000
BFBBC7,MText,"Texas  Gate",T-TEXT,9.999999999999984
BFBBC9,MText,"Texas  Gate",T-TEXT,9.999999999999984
C03AA4,DBText,"N.W.1/4 Sec. 17-48-8-W.5M.",C-SYMBOL,19.992996599999987
C04F2C,MText,"Guard Rail",T-TEXT,9.999999999999984
C05F72,BlockReference,"*U61",35,0.99964983
C06F3B,BlockReference,"xing2",CG-NOTES,1
C06F42,BlockReference,"xing2",CG-NOTES,1
C07755,BlockReference,"xing2",CG-NOTES,1
C0775C,BlockReference,"xing2",CG-NOTES,1
C082BF,BlockReference,"xing2",CG-NOTES,1
C082CF,MText,"Texas Gate",T-TEXT,9.999999999999995
C082E9,MText,"Fortis O/H Power Line",AS-POWER-T,9.999999999999984
C082EF,MText,"10.0x14.0 Temporary Access",P-TEMP_WORKSPACE,9.999999999999984
C082F5,MText,"5m Medium Grade Gravel Road",T-TEXT,9.999999999999984
C08317,AlignedDimension,"Obsidian  P/L R/W Plan 4914 KS",C-RW-T,Compass 5 000
C08A04,MText,"SEE DETAIL",DETAIL-T,15.999999999999991
C09D48,MText,"Hwy. 620",L-TITLEDB-T,9.999999999999984
C0C665,MText,"Ricochet 12-17",F-WS-T,9.999999999999984
C0CD72,AlignedDimension,"Ricochet  P/L R/W  Plan by",F-RW-T,Compass 5 000
C0CDAC,AlignedDimension,"Ricochet  A/R",F-AR-T,Compass 5 000
C0CDD1,AlignedDimension,"Ricochet  A/R",F-AR-T,Compass 5 000
C0CDF5,AlignedDimension,"Ricochet  A/R",F-AR-T,Compass 5 000
C0D53F,AlignedDimension,"Ricochet  A/R",F-AR-T,Compass 5 000
