Handle,ObjType,Content,Layer,Extra
BCBA3C,AlignedDimension,"Obsidian  P/L R/W Plan 4914 KS",C-RW-T,Compass 5 000
BD0269,AlignedDimension,"Ricochet  P/L R/W Plan 89 KS",F-RW-T,Compass 5 000
BD0A5E,AlignedDimension,"Ricochet  P/L R/W  902 1826",F-RW-T,Compass 5 000
BD425E,AlignedDimension,"Ricochet  P/L R/W  092 2505",F-RW-T,Compass 5 000
BD4A4B,AlignedDimension,"Ricochet  P/L R/W  882 1965",F-RW-T,Compass 5 000
BD4A74,AlignedDimension,"Spartan  P/L R/W  022 0612",F-RW-T,Compass 5 000
BD75B9,MText,"Lot 1 Block 1 Plan 932 0762",L-TITLEDB-T,9.999999999999979
BD75BB,MText,"Lot 1 Block 1 Plan 932 0733",L-TITLEDB-T,9.999999999999979
BD8D74,AlignedDimension,"10.06 Road Widening  3002 JY",L-TITLEDB-T,Compass 5 000
BD958F,AlignedDimension,"5.18 Road Widening  822 0713",L-TITLEDB-T,Compass 5 000
BDAD80,AlignedDimension,"Pembina  P/L R/W Plan 61 KS",F-RW-T,Compass 5 000
BDB599,AlignedDimension,"Ricochet  P/L R/W  3289 RS",F-RW-T,Compass 5 000
BDBDBB,MText,"Lot 2 Block 1 Plan 072 6417",L-TITLEDB-T,9.999999999999979
BDC646,AlignedDimension,"Ricochet  P/L R/W Plan 912 1468",F-RW-T,Compass 5 000
BDE8E1,BlockReference,"L-SECLBL",L-SECLBL,1
BDE8E8,MText,"Lot 1 Plan 802 0011",L-TITLEDB-T,9.999999999999979
BDF292,BlockReference,"*U41",AS-OWNER,1
BE0400,DBText,"(High Grade Gravel)",T-TEXT,9.999999999999979
BE0401,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999979
BE0408,DBText,"(10m High Grade Gravel)",T-TEXT,9.999999999999977
BE0409,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999977
BE0BD9,BlockReference,"res_occ",AS-RESIDENCE,4.999999999999989
BE0BE2,BlockReference,"res_occ",AS-RESIDENCE,4.999999999999989
BE245A,MText,"Fortis O/H Power Line",AS-POWER-T,9.999999999999979
BE2C3C,MText,"Buried Telus Cable",AS-TELUS,9.999999999999979
BE6544,AlignedDimension,"Ricochet  A/R",F-AR-T,Compass 5 000
BE6562,MText,"Ricochet 6-17",F-AR-T,9.999999999999979
BE6D37,BlockReference,"GAS",F-WS-S,4.999999999999989
BE7535,BlockReference,"GAS",C-WS-S,4.999999999999989
BE7536,BlockReference,"GAS",C-WS-S,4.999999999999989
BE7537,BlockReference,"GAS",C-WS-S,4.999999999999989
BE7543,MText,"Ricochet  4-17",F-AR-T,9.999999999999979
BE7544,AlignedDimension,"Ricochet  A/R",F-AR-T,Compass 5 000
BF09FD,BlockReference,"PIG",AS-SYMBOL,4.999999999999997
BF0A0E,BlockReference,"RISER",AS-SYMBOL,4.999999999999997
BF0A13,BlockReference,"RISER",AS-SYMBOL,4.999999999999997
BF71B5,BlockReference,"FDI",L-MON,4.999999999999992
BF720E,BlockReference,"PIG",AS-SYMBOL,4.999999999999997
BF721F,BlockReference,"RISER",AS-SYMBOL,4.999999999999997
BF7224,BlockReference,"RISER",AS-SYMBOL,4.999999999999997
C05F72,BlockReference,"*U44",35,0.99964983
C112F8,MText,"Residence (Typ.)",AS-RESIDENCE,9.999999999999979
C11D0F,BlockReference,"PIG",AS-SYMBOL,4.999999999999997
C11D10,BlockReference,"RISER",AS-SYMBOL,4.999999999999997
C11D11,BlockReference,"RISER",AS-SYMBOL,4.999999999999997
C11D12,BlockReference,"PIG",AS-SYMBOL,4.999999999999997
C11D13,BlockReference,"RISER",AS-SYMBOL,4.999999999999997
C11D14,BlockReference,"RISER",AS-SYMBOL,4.999999999999997
C11D2D,AlignedDimension,"Ricochet  P/L R/W  882 1965",F-AR-T,Compass 5 000
C11D61,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999977
C11D62,DBText,"(10m High Grade Gravel)",T-TEXT,9.999999999999977
C11D91,AlignedDimension,"Spartan  P/L R/W  022 0612",F-RW-T,Compass 5 000
C125D7,MText,"10.0x461.2 Temporary Access",P-TEMP_WORKSPACE,9.999999999999979
C125D9,MText,"30.0x40.0 Workspace",P-TEMP_WORKSPACE,9.999999999999979
C125DB,DBText,"S.W.1/4 Sec. 17-48-8-W.5M.",C-SYMBOL,19.992996599999998
C125DC,DBText,"Workspace  = 0.120 ha  0.30 Ac.",L-AREAREQUIRED,10.99614813
C125DD,DBText,"Temporary Access= 0.461 ha  1.14 Ac.",L-AREAWORK,10.99614813
C136B2,BlockReference,"xing2",P-CROSSINGS,0.99964983
C136B9,BlockReference,"xing2",P-CROSSINGS,0.99964983
C136C0,BlockReference,"xing2",P-CROSSINGS,0.99964983
C13877,MText,"10.0x461.2 Temporary Access",P-TEMP_WORKSPACE,9.999999999999979
C13886,MText,"SEE DETAIL",DETAIL-T,15.99439728
C1465E,MText,"Fd.I.  E.1/4 18",L-MON,9.999999999999984
C16D2D,AlignedDimension,"Ricochet  P/L R/W  242 0811",F-RW-T,Compass 5 000
C17AC9,MText,"20cm Aspen & Poplar",T-BUSH-T,9.996498299999999
C17ACA,MText,"Hay  Field",T-TEXT,9.999999999999979
C18490,BlockReference,"xing2",P-CROSSINGS,0.99964983
C18497,BlockReference,"xing2",P-CROSSINGS,0.99964983
C1849E,BlockReference,"xing2",P-CROSSINGS,0.99964983
C184A5,BlockReference,"xing2",P-CROSSINGS,0.99964983
C184D4,DBText,"Gate",T-TEXT,9.999999999999977
C265A8,BlockReference,"Disclaimer_Legal",T-TEXT,0.09
