Handle,ObjType,Content,Layer,Extra
AF50FF,BlockReference,"L-SECLBL",L-SECLBL,0.99974371
AF529D,DBText,"S.E.1/4 Sec. 11-69-9-W.6M.",C-SYMBOL,19.99487420000003
AF543E,DBText,"(High Grade Gravel)",T-TEXT,9.997437100000015
AF543F,DBText,"Government Road Allowance",L-ROAD-T,9.997437100000015
AF7425,AlignedDimension,"Sinopec  P/L R/W  022 6484",C-RW-T,Compass 5 000
AF7451,AlignedDimension,"Sinopec  P/L R/W  022 6485",C-RW-T,Compass 5 000
AF748A,AlignedDimension,"Sinopec  P/L R/W  142 1422",C-RW-T,Compass 5 000
AF74BE,AlignedDimension,"CNRL  P/L R/W  892 1587",F-RW,Compass 5 000
AF7659,AlignedDimension,"Sinopec  P/L R/W  022 6786",C-RW-T,Compass 5 000
AF7FD0,MText,"L.S. 1",L-SECTION-LSD,9.997437100000012
AF7FD1,MText,"L.S. 2",L-SECTION-LSD,9.997437100000012
AF7FD3,MText,"L.S. 8",L-SECTION-LSD,9.997437100000012
AF7FD4,MText,"L.S. 7",L-SECTION-LSD,9.997437100000012
AF9BA6,BlockReference,"*U43",CG-NOTES,0.99974371
AFA6B1,AlignedDimension,"Sinopec  P/L R/W  212 0646",C-RW-T,Compass 5 000
AFBC9D,AlignedDimension,"CNRL  P/L R/W  212 2057",F-RW,Compass 5 000
AFC0D4,BlockReference,"FDI",L-MON,5.000000000000005
AFC0D9,BlockReference,"fdspike",L-MON,5.000000000000005
AFC0DE,BlockReference,"FDI",L-MON,5.000000000000005
AFC0E3,BlockReference,"FDI",L-MON,5.000000000000005
AFC0E8,BlockReference,"fdspike",L-MON,5.000000000000005
AFC0ED,BlockReference,"fdspike",L-MON,5.000000000000005
AFC0F2,BlockReference,"FDI",L-MON,5.000000000000005
AFC199,BlockReference,"GAS",AS-SYMBOL,5.000000000000005
AFC19E,BlockReference,"GAS",AS-SYMBOL,5.000000000000005
AFC1A3,BlockReference,"GAS",AS-SYMBOL,5.000000000000005
B009DF,BlockReference,"FLARE",AS-SYMBOL,4.998718550000003
B02F08,BlockReference,"FDI",L-MON,4.998718550000003
B02F0D,BlockReference,"fdspike",L-MON,4.998718550000003
B02F12,BlockReference,"FDI",L-MON,4.998718550000003
B02F17,BlockReference,"FDI",L-MON,4.998718550000003
B02FDE,BlockReference,"FLARE",AS-SYMBOL,4.998718550000003
B03014,BlockReference,"TEMP",L-MON,4.998718550000003
B03837,MText,"Flare (26.0m Tall)",T-TEXT,9.997437100000006
B03845,MText,"Buried Pipe",AS-PIPE-UG-T,9.997437100000006
B039DB,BlockReference,"curve",L-BD,4.998718550000003
B04A13,MText,"Gate",T-TEXT,9.997437100000006
B04A27,MText,"Sinopec 1-11",C-WS-T,9.99743710000001
B04A29,MText,"Sinopec 1-11",C-WS-T,9.99743710000001
B04C3B,DBText,"49'",L-BD,9.997437100000006
B04C40,DBText,"20''",L-BD,9.997437100000006
B04D30,MText,"181°",L-BD,9.997437100000006
B0C46A,MText,"Fd.I. Mp.",L-MON-T,9.997437100000017
B0C46E,MText,"Fd.I. Mp.",L-MON-T,9.997437100000017
B0C56E,MText,"Fd.I. N.E. 2",L-MON-T,9.997437100000017
B0C574,MText,"4.03 181°49'20''",L-BD,9.997437100000006
B0E907,DBText,"271°55'55''",L-BD,9.997437100000006
B14548,DBText,"RP",35,9.997437100000004
B15923,MText,"Fd.I. c.s.",L-MON-T,9.997437100000017
B187BF,BlockReference,"plspike",L-MON,4.998718550000002
B187C0,BlockReference,"plspike",L-MON,4.998718550000002
B187C1,BlockReference,"plspike",L-MON,4.998718550000002
B187C2,BlockReference,"plspike",L-MON,4.998718550000002
B187CB,MText,"55' 46.57",L-BD,9.997437100000006
B187D8,MText,"55'' 8.65",L-BD,9.997437100000004
B1BEBF,BlockReference,"*U48",CG-NOTES,0.99974371
B1BF1C,AlignedDimension,"Sinopec  P/L R/W  142 1422",C-RW-T,Compass 5 000
B3937D,DBText,"RP",35,9.997437100000004
B3CC65,DBText,"271°",L-BD,9.997437100000006
B484A4,DBText,"135.94 (Tie)",L-BD,9.997437100000004
B484A5,DBText,"85°35'15"",L-BD,9.997437100000004
B66DDD,BlockReference,"*U50",DETAIL-T,0.9993470716804947
B7223F,MText,"Pad Site = 4.383 ha  10.83 Ac.  Flare Extension = 0.036 ha  0.09 Ac.",L-AREAREQUIRED,10.99386428021127
B72718,DBText,"1°53'15''",L-BD,9.997437100000006
B7271A,DBText,"92°17'45''",L-BD,9.997437100000006
B7288A,DBText,"181°49'20''",L-BD,9.997437100000006
B7288F,MText,"Gate",T-TEXT,9.997437100000006
B72891,MText,"Gate",T-TEXT,9.997437100000006
B7297D,MText,"Gate",T-TEXT,9.997437100000006
B72983,MText,"Well Casing",T-TEXT,9.997437100000006
B72A7C,DBText,"271°55'55''",L-BD,9.997437100000006
B743A2,MText,"Flare Extension",P-TXT,9.994422072919374
B77FC5,BlockReference,"Disclaimer_Legal",L-BD,0.99974371
