Handle,ObjType,Content,Layer,Extra
AF2C49,BlockReference,"L-SECLBL",L-SECLBL,1
AF2C4F,DBText,"Theor. N.W.1/4 Sec. 15-66-5-W.6M.",C-SYMBOL,20.00000000000003
AF2C5B,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000014
AF2C69,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.00000000000003
AF2C6B,MText,"L.S. 11",L-SECTION-LSD,9.996089999999999
AF2C6D,MText,"L.S. 12",L-SECTION-LSD,9.996089999999999
AF2C6F,MText,"L.S. 14",L-SECTION-LSD,9.996089999999999
AF2C70,MText,"L.S. 13",L-SECTION-LSD,9.996089999999999
AF2C7E,BlockReference,"*U50",P-75m DRAINAGE AREA,0.999609
AF30AD,DBText,"Theor. N.E.1/4 Sec. 15-66-5-W.6M.",C-SYMBOL,20.000000000000018
AF30AE,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.00000000000003
AF30B0,MText,"L.S. 9",L-SECTION-LSD,10.000000000000009
AF30B2,MText,"L.S. 10",L-SECTION-LSD,10.000000000000009
AF30B4,MText,"L.S. 16",L-SECTION-LSD,10.000000000000009
AF30B6,MText,"L.S. 15",L-SECTION-LSD,10.000000000000009
AF3398,BlockReference,"*U22",AB_LCON,0.999609
AF33B6,BlockReference,"*U23",AB_LCON,0.999609
AF340E,AlignedDimension,"Paramount  A/R  770009",F-AR-T,Compass 5 000
AF3534,MText,"CNRL Plant Site Plan 792 2649 PIL 790007",C-WS-T,9.996089999999999
AF3535,AlignedDimension,"CNRL  P/L R/W  082 4982  043497",C-RW-T,Compass 5 000
AF3688,AlignedDimension,"CNRL  P/L R/W  972306",C-RW-T,Compass 5 000
AF36B9,AlignedDimension,"CNRL  A/R  810958",C-AR-T,Compass 5 000
AF36FD,AlignedDimension,"CNRL  A/R  980420",C-AR-T,Compass 5 000
AF3747,MText,"CNRL 12-15 (Surface) MSL 980589 (Expired)",C-WS-T,9.996089999999999
AF3842,AlignedDimension,"CNRL  P/L R/W  043497",C-RW-T,Compass 5 000
AF386A,AlignedDimension,"CNRL  P/L R/W  072 7069  052234",C-RW-T,Compass 5 000
AF388E,AlignedDimension,"CNRL  P/L R/W  062 7073  054267",C-RW-T,Compass 5 000
AF38D6,AlignedDimension,"Arc  Width P/L R/W  151128",F-RW-T,Compass 5 000
AF392A,AlignedDimension,"Paramount  P/L R/W  220184",F-RW-T,Compass 5 000
AF3A66,AlignedDimension,"CNRL  P/L R/W  790139",C-RW-T,Compass 5 000
AF3AA2,AlignedDimension,"CNRL  P/L R/W  822 2785  820402",C-RW-T,Compass 5 000
AF3C78,AlignedDimension,"CNRL  P/L R/W  972306",C-RW-T,Compass 5 000
AF3CB9,AlignedDimension,"CNRL  P/L R/W  980065",C-RW-T,Compass 5 000
AF3CDD,AlignedDimension,"CNRL  P/L R/W  980679",C-RW-T,Compass 5 000
AF3E12,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996089999999999
AF47D6,BlockReference,"GAS",C-WS-S,5.0000000000000036
AFBDAB,AlignedDimension,"CNRL  P/L R/W  792 2649   790282",C-RW-T,Compass 5 000
AFBDAC,AlignedDimension,"Paramount  A/R  770009",F-AR-T,Compass 5 000
AFBDAE,AlignedDimension,"CNRL  A/R  810958",C-AR-T,Compass 5 000
AFBDAF,AlignedDimension,"CNRL  P/L R/W  072 7069  052234",C-RW-T,Compass 5 000
AFBDB0,AlignedDimension,"CNRL  P/L R/W  822 2785  820402",C-RW-T,Compass 5 000
AFBFE1,MText,"SEE DETAIL",DETAIL-T,16.000000000000014
AFC05C,BlockReference,"*U44",P-TEMP-BLOCKS,1
AFC295,AlignedDimension,"CNRL  A/R  980420",C-AR-T,Compass 5 000
AFC2A1,AlignedDimension,"CNRL  P/L R/W  980065",C-RW-T,Compass 5 000
AFC2AD,AlignedDimension,"CNRL  P/L R/W  790139",C-RW-T,Compass 5 000
AFC2B9,AlignedDimension,"CNRL  P/L R/W  062 7073  054267",C-RW-T,Compass 5 000
AFC35D,BlockReference,"L-SECLBL",L-SECLBL,1
AFC479,MText,"E.-W.1/4 Line",L-SECQ,9.996089999999999
AFC47A,MText,"N.-S.1/4 Line",L-SECQ,9.996089999999999
AFC895,AlignedDimension,"Arc  Width P/L R/W  151128",F-RW-T,Compass 5 000
AFEF41,AlignedDimension,"CNRL  P/L R/W  792 2649   790282",C-RW-T,Compass 5 000
B028DC,MText,"CNRL Plant Site Plan 792 2649 PIL 790007",C-WS-T,9.996089999999999
B103A2,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,1
B156FB,BlockReference,"*U18",DETAIL-T,0.999609
B15709,MText,"DETAIL",DETAIL-T,19.992179999999998
B1571B,BlockReference,"Disclaimer_Legal",C-SYMBOL,0.2998827
