Handle,ObjType,Content,Layer,Extra
AF3677,BlockReference,"L-SECLBL",L-SECLBL,0.999724
AF3F63,DBText,"N.E.1/4 Sec. 4-85-8-W.6M.",C-SYMBOL,19.99447999999997
AF3F64,DBText,"Fireguard = 0.349 ha  0.86 Ac.",L-AREAREQUIRED,10.996963999999986
AF3F66,MText,"L.S. 9",L-SECTION-LSD,9.997239999999985
AF3F68,MText,"L.S. 10",L-SECTION-LSD,9.997239999999985
AF3F6A,MText,"L.S. 16",L-SECTION-LSD,9.997239999999985
AF3F6C,MText,"L.S. 15",L-SECTION-LSD,9.997239999999985
AF486E,BlockReference,"HRV",CG-NOTES,0.999724
AF487F,DBText,"(High Grade Gravel)",T-TEXT,9.997239999999985
AF4880,DBText,"Government Road Allowance",L-ROAD-T,9.997239999999985
AF6D4B,BlockReference,"*U20",AS-WILDLIFE-BLOCK,0.999724
AF88B4,BlockReference,"*U22",0,0.999724
AFEEF0,AlignedDimension,"Nova  P/L R/W  982 1847  980383",F-RW-T,Compass 5 000
AFEF49,MText,"Nova Meter Station Site Plan 982 1855 DPL 970178 (Expired)",F-WS-T,9.997239999999987
AFEF4A,AlignedDimension,"Nova  P/L R/W  982 1855  972886",F-RW-T,Compass 5 000
AFF7EE,AlignedDimension,"Atco  Power Line R/W  970257",F-EZE-T,Compass 5 000
B000B4,MText,"CNRL Plant Site Plan 972 4265 MLL 970064 (Expired)",C-WS-T,9.997239999999987
B0091D,AlignedDimension,"Atco  Power Line R/W  980026",F-EZE-T,Compass 5 000
B01A30,AlignedDimension,"Atco  Power Line R/W  980061",F-EZE-T,Compass 5 000
B022D4,AlignedDimension,"CNRL  A/R  880021",C-AR-T,Compass 5 000
B03C76,AlignedDimension,"Altair  P/L R/W  032 6222  020753",F-RW-T,Compass 5 000
B04E2F,AlignedDimension,"CNRL  P/L R/W  982 2818  972217",C-AR-T,Compass 5 000
B0570F,AlignedDimension,"CNRL  P/L R/W  982 2823  972063",C-AR-T,Compass 5 000
B060E7,AlignedDimension,"ATCO  Vegetation Control R/W  080003",F-VCE-T,Compass 5 000
B06B0E,BlockReference,"*U33",CG-NOTES,0.999724
B08690,BlockReference,"GABD",F-WS-S,4.998619999999995
B08691,MText,"8-4 (Abd.)",F-WS-T,9.997239999999987
B0990B,MText,"Buried Telus Cable",AS-TELUS,9.997239999999987
B0D262,DBText,"RP",35,9.997239999999993
B10364,BlockReference,"xing2",P-CROSSINGS,0.999724
B1B6FA,AlignedDimension,"Altair  P/L R/W  042954",F-RW-T,Compass 5 000
B2FA39,BlockReference,"*U36",P-TEMP-BLOCKS,0.999724
B37790,BlockReference,"Disclaimer_Legal",0,0.2748750611395534
