Handle,ObjType,Content,Layer,Extra
AF2877,DBText,"RP",35,10.000000000000043
AF2BD3,BlockReference,"L-SECLBL",L-SECLBL,0.999712
AF36A4,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000039
AF36A5,DBText,"(Undeveloped)",T-TEXT,10.000000000000039
AF390A,AlignedDimension,"CNRL  P/L R/W  892 0287  880706",C-RW-T,Compass 5 000
AF3938,AlignedDimension,"CNRL  P/L R/W  062 2774  054173",C-RW-T,Compass 5 000
AF3B48,AlignedDimension,"Sinopec  P/L R/W  062 2878  053800",F-RW-T,Compass 5 000
AF3B83,AlignedDimension,"Sinopec  P/L R/W  082 9268  051869",F-RW-T,Compass 5 000
AF3D8A,AlignedDimension,"CNRL  P/L R/W  054088",C-RW-T,Compass 5 000
AF3DCD,AlignedDimension,"CNRL  P/L R/W  922 3474  920460",C-RW-T,Compass 5 000
AF3DFF,AlignedDimension,"Sinopec  P/L R/W  062328",F-RW-T,Compass 5 000
AF3E2B,AlignedDimension,"Tourmaline  P/L R/W  102 6269  971849",F-RW-T,Compass 5 000
AF4010,AlignedDimension,"Spoke  P/L R/W  942 3921  941223",F-RW-T,Compass 5 000
AF4041,AlignedDimension,"CNRL  P/L R/W  910292",C-RW-T,Compass 5 000
AF40F0,AlignedDimension,"CNRL  P/L R/W  902 2617  900553",C-RW-T,Compass 5 000
AF42B3,AlignedDimension,"Sinopec  P/L R/W  072 6627  062343",F-RW-T,Compass 5 000
AF4BFA,AlignedDimension,"15.00 P/L R/W  082 0455",F-RW-T,Compass 5 000
AF4F91,AlignedDimension,"CNRL  A/R  861300",C-AR-T,Compass 5 000
AF4FC2,AlignedDimension,"CNRL  A/R  861301",C-AR-T,Compass 5 000
AF4FF3,AlignedDimension,"CNRL  A/R  860964",C-AR-T,Compass 5 000
AF5C1B,DBText,"(Undeveloped)",T-TEXT,10.000000000000039
AF6305,AlignedDimension,"ATCO  Power Line R/W  890132",F-EZE-T,Compass 5 000
AF6342,AlignedDimension,"ATCO  Power Line R/W  910091",F-EZE-T,Compass 5 000
AF6372,AlignedDimension,"ATCO  Power Line R/W  900290",F-EZE-T,Compass 5 000
AF6528,AlignedDimension,"ATCO  Power Line R/W  940054",F-EZE-T,Compass 5 000
AF65AA,AlignedDimension,"ATCO  Power Line R/W  880421",F-EZE-T,Compass 5 000
AF7EA2,BlockReference,"GABD",F-WS-S,5.000000000000014
AF7EA3,BlockReference,"GAS",C-WS-S,5.000000000000014
AF7EA4,BlockReference,"GABD",C-WS-S,5.000000000000014
AF7EA5,BlockReference,"GAS",C-WS-S,5.000000000000014
AF7EA6,BlockReference,"GAS",F-WS-S,5.000000000000014
AF81FB,MText,"Sinopec 2-15 (Surface) MSL 071640",F-WS-T,9.997120000000026
AF81FC,MText,"L.S. 1",L-SECTION-LSD,9.997120000000026
AF81FD,MText,"L.S. 2",L-SECTION-LSD,9.997120000000026
AF81FF,MText,"L.S. 8",L-SECTION-LSD,9.997120000000026
AF8200,MText,"L.S. 7",L-SECTION-LSD,9.997120000000026
AF8202,MText,"Logan 8-15 (Surface) MSL 014454",F-WS-T,9.997120000000026
AF8391,AlignedDimension,"CNRL  A/R  870323",C-AR-T,Compass 5 000
AF839E,AlignedDimension,"CNRL  A/R  870233",C-AR-T,Compass 5 000
AF8408,MText,"CNRL 8-15 (Surface) MSL 861130",C-WS-T,9.997120000000026
AF85A3,MText,"CNRL Battery Site Plan 892 0287 MSL 881841",C-WS-T,9.997120000000026
AF8732,MText,"CNRL 6-15 (Surface) MSL 861657",C-WS-T,9.997120000000026
AF8AAE,BlockReference,"GAS",F-WS-S,5.000000000000012
AF8EF9,MText,"Sinopec Riser Site PIL 070563",F-WS-T,9.997120000000026
AF9094,MText,"Spoke Valve Site PIL 060160",F-WS-T,9.997120000000026
AF909F,BlockReference,"*U46",0,0.999712
AF9122,BlockReference,"*U47",AS-WILDLIFE-BLOCK,0.999712
AF9560,MText,"CanFor CLR140089",F-WS-T,9.997120000000026
AF9661,AlignedDimension,"CNRL  P/L R/W  972 0964  950896",C-RW-T,Compass 5 000
AF968D,MText,"CanFor CLR950193",F-WS-T,9.997120000000026
AF968F,MText,"CNRL Battery Site Addition Plan 902 2567 MSL 881841",C-WS-T,9.997120000000026
AFD06E,AlignedDimension,"Sinopec  P/L R/W  092 0529  071913",F-RW-T,Compass 5 000
AFD5F2,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.999712
AFD5F5,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.999712
AFD5FB,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.999712
B07036,DBText,"(Low Grade Gravel)",T-TEXT,9.997120000000008
B07250,MText,"S.E.1/4 Sec. 15-84-8-W.6M.",C-SYMBOL,19.994240000000016
B09F62,BlockReference,"GABD",C-WS-S,4.998560000000004
B1148A,AlignedDimension,"ATCO  Power Line R/W  910091",F-EZE-T,Compass 5 000
B18740,AlignedDimension,"Tourmaline  P/L R/W  102 6269  971849",F-RW-T,Compass 5 000
B18743,MText,"Spoke Valve Site PIL 060160",F-WS-T,9.997120000000004
B18D93,MText,"CNRL Battery Site Addition Plan 902 2567 MSL 881841",C-WS-T,9.997120000000004
B18DC9,AlignedDimension,"ATCO  Power Line R/W  900290",F-EZE-T,Compass 5 000
B18DE8,AlignedDimension,"CNRL  A/R  860964",C-AR-T,Compass 5 000
B1994B,BlockReference,"*U51",P-TEMP-BLOCKS,0.999712
B19960,BlockReference,"*U52",P-TEMP-BLOCKS,0.999712
B19975,BlockReference,"*U50",P-TEMP-BLOCKS,0.999712
B19E5E,BlockReference,"xing2",P-CROSSINGS,0.999712
B1AC1B,BlockReference,"xing2",P-CROSSINGS,0.999712
B1C4FD,AlignedDimension,"Sinopec  P/L R/W  082 9268  051869",F-RW-T,Compass 5 000
B1E6F2,MText,"Fireguard = 1.180 ha  2.92 Ac.",L-AREAWORK,10.996832000000012
B1E84F,MText,"Government Road Allowance",L-ROAD-T,10.000000000000039
B1ECDD,MText,"SEE DETAIL",DETAIL-T,15.995392000000008
B1F263,BlockReference,"xing2",P-CROSSINGS,0.999712
B1F26A,BlockReference,"xing2",P-CROSSINGS,0.999712
B1F486,BlockReference,"xing2",P-CROSSINGS,0.999712
B1F48D,BlockReference,"xing2",P-CROSSINGS,0.999712
B25963,MText,"DETAIL",DETAIL-T,20
B25970,DBText,"metres",0,10.00000000000227
B2597B,MText,"##",0,10
B25980,MText,"##",0,10
B25985,MText,"##",0,10
B2598A,MText,"##",0,10
B25990,DBText,"SCALE 1:1,500",0,10.00000000000227
