Handle,ObjType,Content,Layer,Extra
AF50FF,BlockReference,"L-SECLBL",L-SECLBL,0.99974371
AF52A0,DBText,"S.W.1/4 Sec. 11-69-9-W.6M.",C-SYMBOL,19.99487420000006
AF52A1,DBText,"Flare Stack = 0.001 ha  0.01 Ac.",L-AREAREQUIRED,10.99718081000006
AF5440,DBText,"(High Grade Gravel)",T-TEXT,9.99743710000003
AF5441,DBText,"Government Road Allowance",L-ROAD-T,9.99743710000003
AF5442,DBText,"(Undeveloped)",T-TEXT,9.99743710000003
AF73E2,AlignedDimension,"Sinopec  P/L R/W  022 6786",C-RW-T,Compass 5 000
AF7FC8,MText,"L.S. 3",L-SECTION-LSD,9.997437100000026
AF7FCA,MText,"L.S. 4",L-SECTION-LSD,9.997437100000026
AF7FCC,MText,"L.S. 6",L-SECTION-LSD,9.997437100000026
AF7FCE,MText,"L.S. 5",L-SECTION-LSD,9.997437100000026
AFC0F7,BlockReference,"fdspike",L-MON,5.000000000000012
AFC0FC,BlockReference,"fdspike",L-MON,5.000000000000012
AFC101,BlockReference,"fdspike",L-MON,5.000000000000012
AFC106,BlockReference,"FDI",L-MON,5.000000000000012
AFC10B,BlockReference,"fdspike",L-MON,5.000000000000012
AFC110,BlockReference,"fdspike",L-MON,5.000000000000012
AFC220,BlockReference,"GAS",AS-SYMBOL,5.000000000000012
AFC225,BlockReference,"GAS",AS-SYMBOL,5.000000000000012
AFD45B,AlignedDimension,"CNRL  P/L R/W  892 1587",F-RW,Compass 5 000
AFD47A,AlignedDimension,"Sinopec  P/L R/W  212 0646",C-RW-T,Compass 5 000
B001D6,BlockReference,"FLARE",AS-SYMBOL,4.99871855000001
B16D48,BlockReference,"*U38",CG-NOTES,0.99974371
B16D6A,AlignedDimension,"Sinopec  A/R",C-RW-T,Compass 5 000
B189C9,DBText,"1°53'25''",L-BD,9.997437100000015
B18A67,BlockReference,"GAS",AS-SYMBOL,4.9987185500000075
B18A68,BlockReference,"GAS",AS-SYMBOL,4.9987185500000075
B18A69,BlockReference,"FLARE",AS-SYMBOL,4.9987185500000075
B18A6A,BlockReference,"fdspike",L-MON,4.9987185500000075
B18A6B,BlockReference,"fdspike",L-MON,4.9987185500000075
B18A6C,BlockReference,"fdspike",L-MON,4.9987185500000075
B18A6D,BlockReference,"FDI",L-MON,4.9987185500000075
B18A6E,BlockReference,"fdspike",L-MON,4.9987185500000075
B18A6F,BlockReference,"fdspike",L-MON,4.9987185500000075
B18A77,BlockReference,"TEMP",L-MON,4.9987185500000075
B1CD01,MText,"W/H 2-2 (HZ)",C-WS-T,9.99743710000002
B1CD07,MText,"W/H 5-10 (HZ)",C-WS-T,9.99743710000002
B1CD09,MText,"Sinopec 4-11",C-WS-T,9.997437100000024
B1E042,MText,"Sinopec 4-11",C-WS-T,9.997437100000024
B1E128,MText,"Sinopec 3-11",C-WS-T,9.997437100000024
B1E12A,MText,"Sinopec 3-11",C-WS-T,9.997437100000024
B1E13C,DBText,"05''",L-BD,9.997437100000013
B1E319,DBText,"1°52'05''",L-BD,9.997437100000015
B1E31B,DBText,"95°28'10''",L-BD,9.997437100000015
B1E31D,DBText,"181°52'20''",L-BD,9.997437100000015
B1E31F,DBText,"25''",L-BD,9.997437100000013
B1E321,DBText,"271°",L-BD,9.997437100000013
B1E323,DBText,"52'",L-BD,9.997437100000013
B1E325,AlignedDimension,"Sinopec  P/L R/W  022 6786",C-RW-T,Compass 5 000
B1E440,AlignedDimension,"Sinopec  P/L R/W  212 0646",C-RW-T,Compass 5 000
B1E479,AlignedDimension,"CNRL  P/L R/W  892 1587",F-RW,Compass 5 000
B1F5CC,BlockReference,"*U49",DETAIL-T,0.99974371
B1F5DA,MText,"DETAIL",DETAIL-T,19.99487420000004
B1FAEC,MText,"Fd.I. c.s.",L-MON-T,9.997437100000031
B1FB01,MText,"Flare (26.0m Tall)",T-TEXT,9.99743710000002
B1FB04,MText,"SEE DETAIL",DETAIL-T,15.995899360000042
B1FBEC,MText,"Gate",T-TEXT,9.99743710000002
B1FBEF,MText,"Fd.No Mk. Re-est. by 3-11 Well Site",L-MON-T,9.997437100000031
B229C3,MText,"Gravel Pad",T-TEXT,9.99743710000002
B23A53,BlockReference,"plspike",L-MON,4.998718550000005
B23A54,BlockReference,"plspike",L-MON,4.998718550000005
B23A55,BlockReference,"plspike",L-MON,4.998718550000005
B23A56,BlockReference,"plspike",L-MON,4.998718550000005
B25A3D,DBText,"56'",L-BD,9.997437100000013
B26B1E,BlockReference,"GAS",C-WS-S,4.998718550000005
B26B1F,MText,"W/H 4-11",C-WS-T,9.99743710000002
B26B24,BlockReference,"GAS",C-WS-S,4.998718550000005
B27FE1,BlockReference,"TEMP",L-MON,4.99871855
B29DBF,AlignedDimension,"Sinopec  A/R",C-RW-T,Compass 5 000
B29E02,MText,"91°",L-BD,9.997437100000013
B29E0F,AlignedDimension,"Sinopec  A/R",C-RW-T,Compass 5 000
B2A34A,MText,"Blind Line",L-SEC,9.99743710000002
B31370,MText,"30m Radius",P-BUFFER-PURPLE-T,9.99743710000002
B31BC5,MText,"Fd.No Mk. Re-est. by 3-11 Well Site",L-MON-T,9.997437100000031
B31BC8,BlockReference,"TEMP",L-MON,4.9987185499999995
B31BCA,BlockReference,"TEMP",L-MON,4.9987185499999995
B32E62,DBText,"Tall Grass",T-BUSH-T,9.997437099999999
B3499E,BlockReference,"curve",P-TEMP-T,4.9987185499999995
B360BB,BlockReference,"Disclaimer_Legal",0,0.3
