Handle,ObjType,Content,Layer,Extra
B5A0EB,BlockReference,"L-SECLBL",L-SECLBL,0.9996250468730448
B5A10B,DBText,"Government Road Allowance",L-ROAD-T,9.99625046873043
B5A10C,DBText,"Hwy. 611",L-ROAD-T,9.99625046873043
B5A10D,DBText,"Hwy. 611",L-ROAD-T,9.99625046873043
B5A10F,DBText,"Government Road Allowance",L-ROAD-T,9.996250468730432
B5A110,DBText,"Government Road Allowance",L-ROAD-T,9.996250468730432
B5A126,MText,"Approximate Location of G.L.D.C. Gas Co-op Ltd.",AS-PIPE-UG-T,9.996250468730434
B5A128,MText,"Approximate Location of G.L.D.C. Gas Co-op Ltd.",AS-PIPE-UG-T,9.996250468730434
B5A13A,MText,"Twp. 44",D-TXT,13.994750656222617
B5A13B,MText,"Twp. 45",D-TXT,13.994750656222617
B5A13C,MText,"Twp. 44",D-TXT,13.994750656222617
B5A13D,MText,"Twp. 45",D-TXT,13.994750656222617
B5A149,DBText,"S.E.1/4 Sec. 5-45-2-W.5M.",C-SYMBOL,19.99250093746087
B5A172,MText,"Approximate Location of G.L.D.C. Gas Co-op Ltd.",AS-PIPE-UG-T,9.996250468730434
B5A1AB,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99812523436522
B5A1AC,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99812523436522
B5A1F5,DBText,"RP",35,9.997500156249977
B5A1F8,DBText,"S.W.1/4 Sec. 5-45-2-W.5M.",C-SYMBOL,19.995000312499954
B5A227,DBText,"Government Road Allowance",L-ROAD-T,9.99625046873043
B5A290,AlignedDimension,"Baytex  A/R",C-AR-T,Compass 5 000
B5A292,AlignedDimension,"Baytex  A/R",C-AR-T,Compass 5 000
B5A296,AlignedDimension,"Baytex  P/L R/W Unregistered Plan  Caltech",C-RW-T,Compass 5 000
B5A298,AlignedDimension,"Baytex  P/L R/W Unregistered Plan  by Caltech",C-RW-T,Compass 5 000
B5A29F,MText,"Baytex 7-5 (Surface)",C-WS-T,9.997500156249977
B5A2A3,AlignedDimension,"Tourmaline  A/R",F-AR-T,Compass 5 000
B5A2A4,AlignedDimension,"Tourmaline  A/R",F-AR-T,Compass 5 000
B5A2A5,AlignedDimension,"Silverleaf  A/R",F-AR-T,Compass 5 000
B5A2AD,AlignedDimension,"CNRL  P/L R/W  992 0207",F-RW-T,Compass 5 000
B5A2AE,AlignedDimension,"Lucky Strike  P/L R/W  072 3657",F-RW-T,Compass 5 000
B5A2AF,AlignedDimension,"Tourmaline  P/L R/W  062 4913",F-RW-T,Compass 5 000
B5A2B0,AlignedDimension,"Silverleaf  P/L R/W  042 0422",F-RW-T,Compass 5 000
B5A2B1,AlignedDimension,"Tourmaline  P/L R/W  122 2501",F-RW-T,Compass 5 000
B5A2B2,AlignedDimension,"Tourmaline  P/L R/W Plan 082 1543",F-RW-T,Compass 5 000
B5A2B3,AlignedDimension,"CNRL  P/L R/W Plan 822 1680",F-RW-T,Compass 5 000
B5A2B4,AlignedDimension,"Tourmaline  P/L R/W  062 4913",F-RW-T,Compass 5 000
B5A2B5,AlignedDimension,"Silverleaf  P/L R/W Plan 082 4488",F-RW-T,Compass 5 000
B5A2B8,AlignedDimension,"Silverleaf  P/L R/W  082 4488",F-RW-T,Compass 5 000
B5A2BA,AlignedDimension,"Lucky Strike  P/L R/W  072 3657",F-RW-T,Compass 5 000
B5A2BB,AlignedDimension,"CNRL  P/L R/W  992 0207",F-RW-T,Compass 5 000
B5A2CD,MText,"Tourmaline 7-5 (Surface)",F-WS-T,9.99625046873043
B5A2E7,MText,"C. of T.",L-TITLEDB-T,9.99625046873043
B5A2E8,MText,"C. of T.",L-TITLEDB-T,9.99625046873043
B5A2E9,MText,"C. of T.",L-TITLEDB-T,9.99625046873043
B5A2EC,AlignedDimension,"30.18 Road  5658 RS",L-TITLEDB-T,Compass 5 000
B5A2ED,AlignedDimension,"30.18 Road  5658 RS",L-TITLEDB-T,Compass 5 000
B5A2F0,MText,"Lot 1 Plan 942 2123",L-TITLEDB-T,9.99625046873043
B5A2FA,MText,"C. of T.",L-TITLEDB-T,9.99625046873043
B5A2FD,DBText,"(Paved)",T-TEXT,9.99625046873043
B5A2FE,DBText,"(Paved)",T-TEXT,9.99625046873043
B5A2FF,DBText,"(High Grade Gravel)",T-TEXT,9.996250468730432
B5A300,DBText,"(High Grade Gravel)",T-TEXT,9.996250468730432
B5A301,DBText,"Gate",T-TEXT,9.99625046873043
B5A303,DBText,"Cultivation",T-TEXT,9.99625046873044
B5A305,MText,"6m High Grade Gravel Road",T-TEXT,9.996250468730437
B5A306,DBText,"Pasture",T-TEXT,9.99625046873044
B5A313,MText,"Cultivation",T-TEXT,9.997500156249977
B5A315,MText,"Pasture",T-TEXT,9.997500156249977
B5A31F,MText,"Dugout",T-WATER-T,9.996250468730436
B5A3D1,MText,"Fortis O/H Power Line",AS-POWER-T,9.996250468730434
B5A3D2,MText,"Equs O/H Power Line",AS-POWER-T,9.997500156249977
B5A3D5,MText,"Equs O/H Power Line",AS-POWER-T,9.996250468730434
B5A3EC,MText,"Buried Telus Cable",AS-TELEPHONE-T,9.996250468730434
B5A3ED,MText,"Buried Telus Cable",AS-TELEPHONE-T,9.996250468730434
B5A3F1,MText,"Buried Telus Cable",AS-TELEPHONE-T,9.996250468730434
B5A419,BlockReference,"WAT",F-WS-S,4.9987500781249885
B5A41A,BlockReference,"WAT",F-WS-S,4.9987500781249885
B5A41B,BlockReference,"WAT",F-WS-S,4.9987500781249885
B5A41C,BlockReference,"WAT",F-WS-S,4.9987500781249885
B5A421,BlockReference,"res_occ",AS-RESIDENCE,4.998125234365218
B5A422,BlockReference,"res_occ",AS-RESIDENCE,4.998125234365218
B5A423,BlockReference,"res_occ",AS-RESIDENCE,4.998125234365218
B5A424,BlockReference,"res_occ",AS-RESIDENCE,4.998125234365218
B5A425,MText,"Residence",AS-RESIDENCE,9.996250468730434
B5A427,MText,"Residence",AS-RESIDENCE,9.996250468730434
B5A429,MText,"Residence",AS-RESIDENCE,9.996250468730434
B5A436,MText,"Residence",AS-RESIDENCE,9.996250468730434
B5A43C,BlockReference,"GABD",F-WS-S,4.998125234365218
B5A455,BlockReference,"GAS",F-WS-S,4.9987500781249885
B5A456,BlockReference,"GAS",F-WS-S,4.9987500781249885
B5A457,BlockReference,"GAS",F-WS-S,4.9987500781249885
B5A458,BlockReference,"GAS",F-WS-S,4.9987500781249885
B5A459,BlockReference,"GAS",F-WS-S,4.9987500781249885
B5A45A,BlockReference,"GAS",F-WS-S,4.9987500781249885
B5A461,BlockReference,"GAS",C-WS-S,4.9987500781249885
B5A462,BlockReference,"GAS",C-WS-S,4.9987500781249885
B5A463,BlockReference,"GAS",C-WS-S,4.9987500781249885
B5A464,BlockReference,"GAS",C-WS-S,4.9987500781249885
B5A465,BlockReference,"GAS",C-WS-S,4.9987500781249885
B5A466,BlockReference,"GAS",C-WS-S,4.9987500781249885
B5A5DA,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
B5A5E1,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
B5A5E8,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
B651D8,BlockReference,"*U47",AS-OWNER,0.999750015624999
B66276,BlockReference,"*U48",P-PROPOSED-WL2,0.9996280461230919
B6F74F,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
B6F756,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
B76818,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
BA5212,MText,"50m Buffer",P-BUFFER-T,9.998749999999989
BA6050,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
BA7668,MText,"Approximate C-Ring Location",CG-NOTES,9.997560148750017
BB2116,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.999374999999996
BB2B44,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
BB3233,MText,"Water Well",T-WATER-T,9.997500156249977
BB3235,MText,"Water Well",T-WATER-T,9.997500156249977
BB3237,MText,"Water Well",T-WATER-T,9.997500156249977
BB3239,MText,"Water Well",T-WATER-T,9.997500156249977
BB39FA,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
BB3A01,BlockReference,"*U49",AS-POWER-T,0.9994550983480693
BB3A37,BlockReference,"*U50",AS-POWER-T,0.9994550983480693
BB5E47,MText,"Area Required = 0.457 ha  1.13 Ac.",L-AREAREQUIRED,9.998749999999992
BB73F6,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
BB845D,BlockReference,"*U51",CG-NOTES,0.9987073160586135
BB8492,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
BB8710,MText,"Cultivation",T-TEXT,9.997500156249977
BB8714,DBText,"Pasture",T-TEXT,9.99625046873044
BB8715,DBText,"Pasture",T-TEXT,9.99625046873044
BB8716,DBText,"Pasture",T-TEXT,9.99625046873044
BB8719,MText,"Crop Line",T-TEXT,9.998749999999992
BB903C,BlockReference,"*U52",P-PROPOSED-WL4,0.9993271680774887
BBAA1E,MText,"Fortis Buried  Power Line",AS-POWER-T,9.996250468730434
BC6B4E,AlignedDimension,"Baytex  P/L R/W Unregistered Plan  Caltech",C-RW-T,Compass 5 000
BC7889,MText,"50m Buffer",P-BUFFER-T,9.998749999999989
BC81C7,BlockReference,"*U55",CG-NOTES,0.9997560149109973
BC81D6,BlockReference,"*U54",CG-NOTES,0.9987073160586135
BC8C2C,BlockReference,"*U56",CG-NOTES,0.9997560149109973
BC8C3D,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
BCA665,BlockReference,"GAS",F-WS-S,4.999374999999998
BCA666,MText,"CNRL 7-5 (Re-Entry)",F-WS-T,9.99625046873043
BCAFEF,MText,"Tourmaline 7-5 (Surface)",F-WS-T,9.99625046873043
BD79ED,BlockReference,"*U57",AS-POWER-T,0.9993271680774896
BF0260,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
BF0BBC,BlockReference,"*U58",P-PROPOSED-WL2,0.9996280461230919
BF0BFD,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
BF1F4D,MText,"Baytex Riser Site",C-WS-T,9.99875
BF6F10,AlignedDimension,"Baytex  Temporary   Line",C-AR-T,Compass 5 000
BF76CB,AlignedDimension,"Baytex  Temporary   Line",C-AR-T,Compass 5 000
C009F3,MText,"Dugout",T-WATER-T,9.99875
C010A3,MText,"Newly  Planted Trees",T-BUSH-T,9.99875
C010AE,MText,"Gate",T-TEXT,9.99875
C0173C,MText,"Cultivation",T-TEXT,9.997500156249977
C0173F,MText,"Gate",T-TEXT,9.99875
C01741,BlockReference,"xing2",P-CROSSINGS,0.9996250468730448
C01749,BlockReference,"*U62",CG-NOTES,0.9987073160586135
C037EC,BlockReference,"*U63",CG-NOTES,0.9997560149109973
C122A2,BlockReference,"Disclaimer_Legal",C-CLOSURE,0.25
