Handle,ObjType,Content,Layer,Extra
BCDB12,MText,"ACCESS R/W PLAN 211 0830",F-RW-T,3.9963984280000107
BCDB13,MText,"ROAD PLAN 241 1396",L-TITLEDB-T,3.9963984280000107
BCE6C8,MText,"HIGH PLAINS ROAD",L-TITLEDB-T,3.9963984280000107
BD0473,MText,"HIGH PLAINS ROAD",L-TITLEDB-T,3.9963984280000107
BD07FD,AlignedDimension,"{  ROAD  101 4459}",L-TITLEDB-T,Compass 2 000
BD0839,AlignedDimension,"{  UTILITY R/W  191 1615}",F-RW-T,Compass 2 000
BD086D,AlignedDimension,"{  ROAD  151 0949}",L-TITLEDB-T,Compass 2 000
BD0AA6,MText,"LOT 3 BLOCK 6  PLAN 251 0022",L-TITLEDB-T,3.996398428000009
BD1512,AlignedDimension,"{  UTILITY R/W  241 1399}",F-RW,Compass 2 000
BD153A,AlignedDimension,"{  UTILITY R/W  241 1398}",F-RW,Compass 2 000
BD1734,AlignedDimension,"{  ROAD  211 0831}",F-RW,Compass 2 000
BD1765,AlignedDimension,"2.40 UTILITY R/W  211 0832",F-RW,Compass 2 000
BD3044,AlignedDimension,"5.18 ROAD  071 5761",L-TITLEDB-T,Compass 2 000
BD3AEF,MText,"LOT 6 BLOCK 2 PLAN 211 0828",L-TITLEDB-T,3.996398428000009
BD3B0A,AlignedDimension,"{  UTILITY R/W  251 0026}",F-RW-T,Compass 2 000
BD3CDC,MText,"LOT 2 BLOCK 1 PLAN 051 3574",L-TITLEDB-T,3.9963984280000107
BD3E8C,MText,"LOT 1 BLOCK 2 PLAN 241 1396",L-TITLEDB-T,3.996398428000009
BD3E8F,MText,"LOT 7 BLOCK 2  PLAN 251 0022",L-TITLEDB-T,3.996398428000009
BD4CB7,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,1.998199214000003
BD4CB8,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,1.998199214000003
BD4E73,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD4E74,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD4E75,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD4E76,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD4E77,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD4E78,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD4E79,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD4E7A,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD5B00,BlockReference,"FH",0,0.999099607
BD5B01,BlockReference,"FH",0,0.999099607
BD5CB4,BlockReference,"MH",0,0.999099607
BD5CB5,BlockReference,"MH",0,0.999099607
BD5CB9,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD5CBA,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD5CBB,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD5CBC,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD5CBD,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD5CBE,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD5CBF,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD5CC0,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD5CC1,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD5CC2,BlockReference,"MH",0,0.999099607
BD5CC3,BlockReference,"MH",0,0.999099607
BD5CC4,BlockReference,"MH",0,0.999099607
BD5CC5,BlockReference,"MH",0,0.999099607
BD5E5A,BlockReference,"FH",0,0.999099607
BD5E5B,BlockReference,"FH",0,0.999099607
BD5E5C,BlockReference,"FH",0,0.999099607
BD670D,AlignedDimension,"{  P/L R/W  241 1397}",F-RW,Compass 2 000
BD6D94,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,1.998199214000003
BD78F7,BlockReference,"WAT VALVE",AS-SEISMIC,0.3996398428000008
BD7C24,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,1.998199214000003
BD7C25,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,1.998199214000003
BD866C,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,1.998199214000003
BD9FB1,BlockReference,"dyn_CAP",AS-GENERAL,1.9981992140000022
BD9FB2,BlockReference,"*U35",AS-POWER-EXISTING-ANC,1.9981992140000022
BDA023,BlockReference,"*U36",AS-POWER-EXISTING-ANC,1.9981992140000022
BDA1DC,BlockReference,"black conduit with cables",0,0.3996398428000006
BDA37F,BlockReference,"white conduit empty",0,1.9981992140000022
BDAC2A,BlockReference,"yellow conduit with tracing wire",0,1.9981992140000022
BDADCC,BlockReference,"red conduit",0,0.999099607
BDB149,BlockReference,"red conduit",0,0.999099607
