Handle,ObjType,Content,Layer,Extra
BD6FF9,DBText,"S.E.1/4 Sec. 20-41-3-W.5M.",C-SYMBOL,19.999999999999574
BD7000,MText,"Buried Telus Cable",AS-TELEPHONE-T,9.999999999999787
BD7001,MText,"Fortis O/H Power Line",AS-POWER-T,9.999999999999787
BD7002,MText,"Approximate Location of G.L.D.C. Gas Co-op Ltd.",AS-PIPE-UG-T,9.999999999999787
BD7003,MText,"Approximate Location of G.L.D.C. Gas Co-op Ltd.",AS-PIPE-UG-T,9.999999999999787
BD7005,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999787
BD7006,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999787
BD7007,MText,"Buried  Pipes",AS-PIPE-UG-T,9.999999999999787
BD700E,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999787
BD700F,BlockReference,"L-SECLBL",L-SECLBL,1
BD701C,DBText,"Government Road Allowance",L-ROAD-T,9.998339999999791
BD701D,MText,"Buried Telus Cable",AS-TELEPHONE-T,9.998339999999791
BD7037,BlockReference,"L-SECLBL",L-SECLBL,1
BD703D,BlockReference,"L-SECLBL",L-SECLBL,1
BD7043,BlockReference,"L-SECLBL",L-SECLBL,1
BD7049,BlockReference,"L-SECLBL",L-SECLBL,1
BD704F,BlockReference,"L-SECLBL",L-SECLBL,1
BD7082,BlockReference,"GAS",ABADATA-DRILL-T,4.999145249999888
BD7098,DBText,"N.W.1/4 Sec. 10-41-3-W.5M.",C-SYMBOL,19.999999999999588
BD7099,DBText,"S.W.1/4 Sec. 15-41-3-W.5M.",C-SYMBOL,19.999999999999588
BD709A,DBText,"S.E.1/4 Sec. 16-41-3-W.5M.",C-SYMBOL,19.999999999999588
BD709B,DBText,"N.E.1/4 Sec. 9-41-3-W.5M.",C-SYMBOL,19.999999999999588
BD709C,DBText,"S.W.1/4 Sec. 16-41-3-W.5M.",C-SYMBOL,19.999999999999588
BD709D,DBText,"S.E.1/4 Sec. 17-41-3-W.5M.",C-SYMBOL,19.999999999999588
BD709E,DBText,"N.E.1/4 Sec. 17-41-3-W.5M.",C-SYMBOL,19.999999999999588
BD7101,DBText,"Government Road Allowance",L-ROAD-T,9.998809999999866
BD7102,DBText,"Government Road Allowance",L-ROAD-T,9.998809999999866
BD7103,DBText,"Government Road Allowance",L-ROAD-T,9.998809999999866
BD7104,DBText,"Government Road Allowance",L-ROAD-T,9.998809999999866
BD7105,DBText,"Government Road Allowance",L-ROAD-T,9.998809999999866
BD7106,MText,"Approximate Location of G.L.D.C. Gas Co-op Ltd.",AS-PIPE-UG-T,9.999999999999787
BD7107,MText,"Approximate Location of G.L.D.C. Gas Co-op Ltd.",AS-PIPE-UG-T,9.999999999999787
BD7108,MText,"Approximate Location of G.L.D.C. Gas Co-op Ltd.",AS-PIPE-UG-T,9.999999999999787
BD7109,MText,"Approximate Location of G.L.D.C. Gas Co-op Ltd.",AS-PIPE-UG-T,9.999999999999787
BD7116,DBText,"Government Road Allowance",L-ROAD-T,9.998809999999866
BD7117,DBText,"Government Road Allowance",L-ROAD-T,9.998809999999866
BD7155,MText,"Fortis O/H Power Line",AS-POWER-T,10.000070008961007
BD7157,MText,"Fortis O/H Power Line",AS-POWER-T,10.000070008961007
BD7159,MText,"Fortis O/H Power Line",AS-POWER-T,10.000070008961007
BD715B,MText,"Fortis O/H Power Line",AS-POWER-T,10.000070008961007
BD715F,MText,"Buried Telus Cable",AS-TELEPHONE-T,10.000070008961007
BD7161,MText,"Buried Telus Cable",AS-TELEPHONE-T,10.000070008961007
BD7163,MText,"Buried Telus Cable",AS-TELEPHONE-T,10.000070008961007
BD7165,MText,"Buried Telus Cable",AS-TELEPHONE-T,10.000070008961007
BD7167,MText,"Buried Telus Cable",AS-TELEPHONE-T,10.000070008961007
BD7169,MText,"Fortis O/H Power Line",AS-POWER-T,10.000070008961007
BD7184,MText,"Fortis O/H Power Line",AS-POWER-T,10.000070008961007
BD7186,MText,"Buried Telus Cable",AS-TELEPHONE-T,10.000070008961007
BD71A8,MText,"Medium Grade Gravel Road",AS-GENERAL,9.99829049999977
BD71D9,BlockReference,"HRV",CG-NOTES,1
BD71DD,BlockReference,"HRV",CG-NOTES,1
BD71E1,BlockReference,"HRV",CG-NOTES,1
BD71E5,BlockReference,"HRV",CG-NOTES,1
BD71E9,BlockReference,"HRV",CG-NOTES,1
BD735B,MText,"Baytex 15.00 P/L R/W Plan by Compass",C-AR-T,9.998809999999866
BD735C,AlignedDimension,"Baytex  P/L R/W  by Compass",C-AR-T,Compass 5 000
BD735E,MText,"Baytex 10.00 A/R",C-AR-T,9.999999999999787
BD7362,AlignedDimension,"Baytex  A/R",C-AR-T,Compass 5 000
BD7363,MText,"Baytex 10-20",C-WS-T,9.999999999999789
BD7365,MText,"Baytex Riser Site",C-WS-T,10.00046958027461
BD7367,AlignedDimension,"Taqa  A/R",F-AR-T,Compass 5 000
BD7368,AlignedDimension,"Gran Tierra  A/R",F-AR-T,Compass 5 000
BD7369,AlignedDimension,"Canlin  A/R",F-AR-T,Compass 5 000
BD736A,AlignedDimension,"Canlin  A/R",F-AR-T,Compass 5 000
BD736B,AlignedDimension,"Taqa  A/R",F-AR-T,Compass 5 000
BD736C,AlignedDimension,"Manitok  A/R",F-AR-T,Compass 5 000
BD736D,AlignedDimension,"Gran Tierra  A/R",F-AR-T,Compass 5 000
BD736E,AlignedDimension,"Canlin  A/R",F-AR-T,Compass 5 000
BD736F,AlignedDimension,"Keyera  A/R",F-AR-T,Compass 5 000
BD7370,AlignedDimension,"Taqa  P/L R/W  032 4707",F-RW-T,Compass 5 000
BD7371,AlignedDimension,"Canlin  P/L R/W  179 NY",F-RW-T,Compass 5 000
BD7372,AlignedDimension,"Keyera  P/L R/W  162 0890",F-RW-T,Compass 5 000
BD7373,AlignedDimension,"New North  P/L R/W  102 3708",F-RW-T,Compass 5 000
BD7374,AlignedDimension,"Canlin  P/L R/W  1157 RS",F-RW-T,Compass 5 000
BD7375,AlignedDimension,"Taqa  P/L R/W  032 4709",F-RW-T,Compass 5 000
