Handle,ObjType,Content,Layer,Extra
BC4A9D,BlockReference,"FDI",L-MON,5
BC4B46,BlockReference,"Hybrid_EC",L-MON,5
BC4B47,BlockReference,"Hybrid_EC",L-MON,5
BC4B48,BlockReference,"Hybrid_EC",L-MON,5
BC4B49,BlockReference,"Hybrid_EC",L-MON,5
BC4B4A,BlockReference,"Hybrid_EC",L-MON,5
BC4B4B,BlockReference,"Hybrid_EC",L-MON,5
BC4B4C,BlockReference,"Hybrid_EC",L-MON,5
BC4B4D,BlockReference,"Hybrid_EC",L-MON,5
BC4B4E,BlockReference,"Hybrid_EC",L-MON,5
BC4B4F,BlockReference,"Hybrid_EC",L-MON,5
BC4B50,BlockReference,"Hybrid_EC",L-MON,5
BC4B51,BlockReference,"Hybrid_EC",L-MON,5
BC4B52,BlockReference,"Hybrid_EC",L-MON,5
BC4B53,BlockReference,"Hybrid_EC",L-MON,5
BC4B54,BlockReference,"Hybrid_EC",L-MON,5
BC4B55,BlockReference,"Hybrid_EC",L-MON,5
BC4B56,BlockReference,"Hybrid_EC",L-MON,5
BC4B57,BlockReference,"Hybrid_EC",L-MON,5
BC4B58,BlockReference,"Hybrid_EC",L-MON,5
BC4B59,BlockReference,"Hybrid_EC",L-MON,5
BC5385,BlockReference,"Hybrid_RC",L-MON,5
BC54DA,BlockReference,"FDI",L-MON,5
BC54DB,BlockReference,"FDI",L-MON,5
BC5DF0,BlockReference,"fdspike",L-MON,5
BC5DF1,BlockReference,"fdspike",L-MON,5
BC5DF2,BlockReference,"fdspike",L-MON,5
BC5DF3,BlockReference,"fdspike",L-MON,5
BC5DF4,BlockReference,"fdspike",L-MON,5
BC7330,BlockReference,"A$C13A22376",AS-ROADS,1
BC736D,BlockReference,"L-SECLBL",L-SECLBL,0.9996419999999939
BC738F,MText,"Wooded  Coniferous Fen",WETLAND-T,9.996329999999947
BC7391,MText,"Wooded  Coniferous Fen",WETLAND-T,9.996329999999947
BC7393,MText,"Wooded  Marsh Swamp",WETLAND-T,9.996329999999947
BC7395,DBText,"N.E.1/4 Sec. 25-76-18-W.4M.",C-SYMBOL,19.992839999999877
BC7396,DBText,"Existing Area Acquired = 0.704 ha  1.74 Ac.",L-AREAWORK,10.996061999999938
BC7397,DBText,"Government Road Allowance",L-ROAD-T,9.996419999999937
BC7398,DBText,"Government Road Allowance",L-ROAD-T,9.996419999999938
BC7399,DBText,"N.W.1/4 Sec. 25-76-18-W.4M.",C-SYMBOL,19.992839999999877
BC739A,DBText,"Existing Area Acquired = 0.500  1.24 Ac.",L-AREAREQUIRED,10.996061999999938
BC73B2,MText,"IPC Workspace RTF2313964",T-EXISTING TFA-T,9.996329999999906
BC73B9,AlignedDimension,"Inter Pipeline  2314567",T-EXISTING TFA-T,Compass 5 000
BC73BB,MText,"Inter Pipeline Workspace RTF 2314568",T-EXISTING TFA-T,9.99641999999993
BC73BE,AlignedDimension,"IPC",T-EXISTING TFA-T,Compass 5 000
BC73CB,MText,"IPC Sewage Disposal RTF 242013",T-EXISTING TFA-T,9.999999999999972
BC73CD,MText,"IPC Waste Water RTF 242012",T-EXISTING TFA-T,9.996398269999977
BC73D8,MText,"IPC Workspace RTF 243509",T-EXISTING TFA-T,9.999999999999972
BC73DC,MText,"IPC Temp. Access RTF 243757",T-EXISTING TFA-T,9.999999999999972
BC73E8,MText,"Transcanada Workspace RTF 243288",T-EXISTING TFA-T,10.000000000000002
BC73EB,MText,"Transcanada Workspace RTF 243288",T-EXISTING TFA-T,10.000000000000002
BC73F5,MText,"Transcanada Workspace RTF 243263",T-EXISTING TFA-T,10.000000000000002
BC75D5,BlockReference,"HRV",CG-NOTES,0.9996419999999939
BC75D9,MText,"Rge. 18",D-TXT,13.994957577999982
BC75DA,MText,"Rge. 17",D-TXT,13.994957577999982
BC75DB,MText,"SEE DETAIL",DETAIL-T,15.994237231999978
BC75E2,AlignedDimension,"IPC  A/R  091364",C-AR-T,Compass 5 000
BC75E3,AlignedDimension,"IPC  A/R  091363",C-AR-T,Compass 5 000
BC75E4,AlignedDimension,"IPC  A/R MSL 120977",C-AR-T,Compass 5 000
BC75E5,AlignedDimension,"IPC  A/R  231931",C-AR-T,Compass 5 000
BC75E6,AlignedDimension,"IPC  A/R  241267",C-AR-T,Compass 5 000
BC75E7,AlignedDimension,"IPC  A/R  090344",C-AR-T,Compass 5 000
BC75E8,AlignedDimension,"IPC  A/R  090344",C-AR-T,Compass 5 000
BC75E9,AlignedDimension,"IPC  A/R  240057",C-AR-T,Compass 5 000
BC75EF,AlignedDimension,"IPC  A/R  091362",C-AR-T,Compass 5 000
BC75F0,AlignedDimension,"IPC  A/R  090345",C-AR-T,Compass 5 000
BC75F1,MText,"IPC 25.00 A/R LOC 240215",C-AR-T,9.996386099999972
BC75F2,AlignedDimension,"IPC  A/R  241119",C-AR-T,Compass 5 000
BC75F3,AlignedDimension,"IPC  P/L R/W  091428",C-RW-T,Compass 5 000
BC75F4,AlignedDimension,"IPC  P/L R/W  230909",C-RW-T,Compass 5 000
BC75F5,AlignedDimension,"IPC  P/L R/W  231194",C-RW-T,Compass 5 000
BC75F6,AlignedDimension,"IPC  P/L R/W  231194",C-RW-T,Compass 5 000
BC75F7,AlignedDimension,"IPC  P/L R/W  091463",C-RW-T,Compass 5 000
BC75F9,AlignedDimension,"IPC  P/L R/W  982 5882  972577",C-RW-T,Compass 5 000
BC75FA,AlignedDimension,"IPC  A/G R/W  240688",C-RW-T,Compass 5 000
BC75FB,MText,"IPC 13-25 (Surface) MSL 240992",C-WS-T,9.996419999999905
BC75FC,MText,"IPC Central Processing Facility MSL 231295",C-WS-T,9.996419999999905
BC75FD,MText,"IPC 13-25 (Surface) MSL 091739",C-WS-T,9.996419999999905
BC75FE,MText,"IPC 4-36 (Surface) MSL 231340",C-WS-T,9.996419999999905
BC75FF,MText,"12-25 (Abd.)",C-WS-T,9.996419999999905
BC7600,MText,"IPC 15-25(Surface) MSL 120431",C-WS-T,9.996329999999935
BC7602,MText,"IPC 10-25 (Surface) MSL 974642",C-WS-T,9.999829937587014
BC7604,MText,"IPC 2-36 (Surface) MSL120977",C-WS-T,9.996419999999905
BC7605,MText,"IPC 16-25 (Surface) MSL 231366",C-WS-T,9.996329999999935
BC7607,MText,"IPC 10-25 (Surface) MSL 231421",C-WS-T,9.996329999999935
BC7609,MText,"IPC Central Processing Facility MSL 231295",C-WS-T,9.996419999999905
BC760A,MText,"IPC 12-25 (Surface) MSL 090384",C-WS-T,9.99976391491486
BC760C,MText,"IPC 6-25 (Surface) MSL 240954",C-WS-T,9.99976391491486
BC760E,MText,"IPC Riser Site PIL 230321",C-WS-T,9.999763914914867
BC7610,MText,"IPC Riser Site PIL 230320",C-WS-T,9.999763914914867
BC7612,MText,"IPC 14-25 (Surface) MSL 091738",C-WS-T,9.99641999999989
BC7616,MText,"IPC 9-25 (Surface) MSL 240046",C-WS-T,9.996398269999967
BC7618,MText,"10-25 (Abd.)",C-WS-T,9.99275131385997
BC761A,MText,"IPC Storage Site MLL 240154",C-WS-T,10.003600495890455
BC761C,MText,"IPC Sump Site  MSL 083216 (To be Amended)",C-WS-T,9.996329999999935
BC7622,AlignedDimension,"Inter Pipeline  P/L R/W  230977",F-RW-T,Compass 5 000
BC7623,AlignedDimension,"White Spruce  P/L R/W  240239",F-RW-T,Compass 5 000
BC7624,AlignedDimension,"White Spruce  P/L R/W  240246",F-RW-T,Compass 5 000
BC7625,DBText,"(Undeveloped)",T-TEXT,9.996419999999937
BC7626,DBText,"(Undeveloped)",T-TEXT,9.996419999999938
BC7627,MText,"6m Trail",T-TEXT,9.996414299999952
BC7628,MText,"4m Trail",T-TEXT,9.99638609999995
BC7629,BlockReference,"xing2",P-CROSSINGS,0.999639827
BC7630,BlockReference,"xing2",P-CROSSINGS,0.999639827
BC763E,BlockReference,"xing2",P-CROSSINGS,0.999639827
BC7645,BlockReference,"GAS",C-WS-S,4.998209999999956
BC7646,BlockReference,"GABD",C-WS-S,4.999999999999955
BC7647,BlockReference,"GAS",C-WS-S,4.998209999999956
BC7648,BlockReference,"GAS",C-WS-S,4.998209999999956
BC7649,BlockReference,"GAS",C-WS-S,4.998209999999956
BC764A,BlockReference,"GAS",C-WS-S,4.998209999999956
BC764B,BlockReference,"GAS",C-WS-S,4.998209999999956
BC764C,BlockReference,"GAS",C-WS-S,4.998209999999956
BC764D,BlockReference,"GAS",C-WS-S,4.998209999999956
BC764E,BlockReference,"GAS",C-WS-S,4.998209999999956
BC764F,BlockReference,"GAS",C-WS-S,4.998209999999956
BC7650,BlockReference,"GAS",C-WS-S,4.998209999999956
BC7651,BlockReference,"GAS",C-WS-S,4.998209999999956
BC7652,BlockReference,"GAS",C-WS-S,4.998209999999961
