Handle,ObjType,Content,Layer,Extra
AF1E7B,BlockReference,"L-SECLBL",L-SECLBL,0.9994629999999977
AF1E84,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99462999999994
AF1EEB,AlignedDimension,"Pieridae  P/L R/W  022120",F-RW-T,Compass 5 000
AF1EED,AlignedDimension,"Pieridae  P/L R/W  022120",F-RW-T,Compass 5 000
AF1EF1,AlignedDimension,"Pieridae  A/R  020781",F-AR-T,Compass 5 000
AF1EF4,MText,"Highway #11",L-TITLEDB-T,9.990722099669958
AF1EF6,AlignedDimension,"Fortis  Power Line R/W  19",F-EZE-T,Compass 5 000
AF1EFC,MText,"Murphy Industrial Campsite MLP 030045",C-WS-T,9.994629999999946
AF1F01,BlockReference,"*U34",L-SECLBL,0.9994629999999977
AF1F10,BlockReference,"*U35",AS-WILDLIFE-BLOCK,0.9994629999999977
AF1F1F,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99140799999991
AF1F52,BlockReference,"HRV",CG-NOTES,0.9994629999999977
AF1F5A,BlockReference,"HRV",CG-NOTES,0.9994629999999977
AF1F79,MText,"Key Wildlife Biodiversity Zone",AS-WILDLIFE,9.999999999999952
AF1F83,MText,"Sundre CLR980535",F-WS-T,9.994629999999946
AF1F8F,MText,"Theor. N.E.1/4 Sec. 2-41-14-W.5M.",C-SYMBOL,19.98925999999989
AF1F92,MText,"L.S. 9",L-SECTION-LSD,9.999999999999968
AF1F94,MText,"L.S. 10",L-SECTION-LSD,9.999999999999968
AF1F96,MText,"L.S. 16",L-SECTION-LSD,9.999999999999968
AF1F98,MText,"L.S. 15",L-SECTION-LSD,9.999999999999968
AF2259,BlockReference,"FDI",L-MON,4.999999999999987
AF225E,BlockReference,"FDI",L-MON,4.999999999999987
AF2263,BlockReference,"FDI",L-MON,4.999999999999987
AF2268,BlockReference,"FDI",L-MON,4.999999999999987
AF226D,BlockReference,"FDI",L-MON,4.999999999999987
AF2277,BlockReference,"FDI",L-MON,4.999999999999987
AF227C,BlockReference,"PLI",L-MON,4.999999999999987
AF2281,BlockReference,"PLI",L-MON,4.999999999999987
