Handle,ObjType,Content,Layer,Extra
AF4AAE,BlockReference,"L-SECLBL",L-SECLBL,0.99959622
AF4AB4,MText,"L.S. 1",L-SECTION-LSD,9.995962199999948
AF4AB5,MText,"L.S. 2",L-SECTION-LSD,9.995962199999948
AF4AB7,MText,"L.S. 8",L-SECTION-LSD,9.995962199999948
AF4AB8,MText,"L.S. 7",L-SECTION-LSD,9.995962199999948
AF4AC3,AlignedDimension,"CNRL  P/L R/W  831 0563",F-RW-T,Compass 5 000
AF53E3,AlignedDimension,"Torxen  P/L R/W  041 3507",C-RW-T,Compass 5 000
AF5412,AlignedDimension,"CNRL  P/L R/W  951 1603",F-RW-T,Compass 5 000
AF543C,AlignedDimension,"Torxen  P/L R/W  7227 JK",C-RW-T,Compass 5 000
AF5D0A,AlignedDimension,"Torxen  P/L R/W  021 1947",C-RW-T,Compass 5 000
AF65D8,AlignedDimension,"Torxen  P/L R/W  951 0718",C-RW-T,Compass 5 000
AF6E98,DBText,"S.E.1/4 Sec. 31-26-18-W.4M.",C-SYMBOL,19.991924399999895
AF77C1,BlockReference,"*U25",AS-OWNER,0.9999463110474885
AF8149,BlockReference,"*U27",AS-WILDLIFE-BLOCK,0.99959622
AF824E,BlockReference,"HRV",CG-NOTES,0.99959622
AF92E3,BlockReference,"HRV",CG-NOTES,0.99959622
AFBE8D,AlignedDimension,"Torxen  P/L R/W  211 1865",C-RW-T,Compass 5 000
AFD1D8,BlockReference,"GAS",C-WS-S,4.9979810999999765
AFD1D9,BlockReference,"GAS",C-WS-S,4.9979810999999765
AFD1F2,MText,"Torxen 1-31",C-RW-T,9.995962199999953
AFD1F3,MText,"Torxen 14-29",C-RW-T,9.995962199999953
AFD1F4,AlignedDimension,"Torxen  A/R",C-AR-T,Compass 5 000
AFDADA,AlignedDimension,"Torxen  A/R",C-AR-T,Compass 5 000
B019A2,BlockReference,"RISER",AS-SYMBOL,4.999999999999976
B019CB,BlockReference,"RISER",AS-SYMBOL,4.999999999999976
B019E4,BlockReference,"RISER",AS-SYMBOL,4.999999999999976
B081B6,DBText,"Government Road Allowance",L-ROAD-T,9.995962199999973
B081B7,DBText,"(Undeveloped)",T-TEXT,9.995962199999973
B0AC26,AlignedDimension,"Torxen  A/R",C-AR-T,Compass 5 000
B1E754,DBText,"Workspace = 0.100 ha  0.25 Ac.",L-AREAWORK,10.995558419999947
B21D14,MText,"20.0 x 50.0 Workspace",P-TEMP-T,9.995962199999987
B22868,BlockReference,"*U33",CG-NOTES,1
B2FA3D,MText,"Torxen Riser Site",C-RW-T,9.995962199999953
B3C918,MText,"(4) Buried Pipes & (3) Risers",AS-PIPE-UG-T,9.995962199999987
B3ED47,BlockReference,"Disclaimer_Legal",0,0.299878866
