Handle,ObjType,Content,Layer,Extra
AF24D2,BlockReference,"L-SECLBL",L-SECLBL,0.9998882500000024
AF2513,MText,"Buried Telus Cable (2)",AS-TELUS,9.998882500000006
AF252A,BlockReference,"*U20",CG-NOTES,1
AF2565,MText,"EQUS O/H Power Line",AS-POWER,9.998882500000006
AF2567,MText,"EQUS O/H  Power Line",AS-POWER,9.998882500000006
AF258E,DBText,"Government Road Allowance",L-ROAD-T,9.998882499999997
AF2593,DBText,"S.E.1/4 Sec. 21-43-2-W.5M.",C-SYMBOL,19.997764999999998
AF2596,MText,"Area Required = 0.619 ha  1.53 Ac.",L-AREAREQUIRED,10.998770749999998
AF2602,MText,"Approximate Location of Gull Lake Deer Creek Gas Co-op Ltd.",AS-PIPE-UG-T,9.99999999999998
AF2688,MText,"I3 6-21",C-WS-T,9.998882500000006
AF268B,AlignedDimension,"I3  P/L R/W  922 2191",F-RW-T,Compass 5 000
AF268D,AlignedDimension,"Bonavista  P/L R/W  822 0978",F-RW-T,Compass 5 000
AF268E,AlignedDimension,"I3  P/L R/W  132 0454",F-RW-T,Compass 5 000
AF2690,MText,"4-22 (Abd.)",F-WS-T,9.998882500000006
AF2693,AlignedDimension,"5.03 Road  2944 NY",L-TITLEDB-T,Compass 5 000
AF26A4,AlignedDimension,"Baytex  A/R",C-AR-T,Compass 5 000
AF26A8,DBText,"(High Grade Gravel)",T-TEXT,9.998882499999997
AF26AB,DBText,"Cultivation",T-TEXT,10.000000000000009
AF26AC,DBText,"Cultivation",T-TEXT,10.000000000000009
AF26AD,DBText,"Cultivation",T-TEXT,10.000000000000009
AF26AE,DBText,"Cultivation",T-TEXT,10.000000000000009
AF26B1,DBText,"Cultivation",T-TEXT,10.000000000000009
AF26B2,DBText,"Crop Line",T-TEXT,10.000000000000009
AF26B3,MText,"Farm Yard",T-TEXT,10.00000000000002
AF26B6,DBText,"Cultivation",T-TEXT,10.000000000000009
AF26C4,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000001
AF26C5,MText,"Residence",AS-RESIDENCE,10.00000000000002
AF26D5,BlockReference,"GABD",F-WS-S,4.99999999999999
AF26D7,BlockReference,"GAS",C-WS-S,4.99999999999999
AF6F5A,AlignedDimension,"Baytex  A/R",C-AR-T,Compass 5 000
AFC7E0,MText,"L.S. 1",L-SECTION-LSD,9.998860000000006
AFC7E1,MText,"L.S. 2",L-SECTION-LSD,9.998860000000006
AFC7E3,MText,"L.S. 8",L-SECTION-LSD,9.998860000000006
AFC7E4,MText,"L.S. 7",L-SECTION-LSD,9.998860000000006
AFCE3F,AlignedDimension,"15.00 Offset",P-TXT,Compass 5 000
B061CA,DBText,"357°48'",L-BD1,9.99886
B06927,AlignedDimension,"5.03 Road  2944 NY",L-TITLEDB-T,Compass 5 000
B0A000,MText,"Baytex Water Reservoir",C-WS-T,9.99886
B0A003,MText,"Telus Pedestal",AS-TELUS,9.998882500000006
B0CD5E,BlockReference,"TEMP",L-MON,4.99943
B0CD5F,BlockReference,"TEMP",L-MON,4.99943
B0CD65,MText,"267°48'",L-BD1,9.99886
B0DE20,MText,"267°48' 127.8",L-BD1,9.99886
B0DEFC,BlockReference,"TEMP",L-MON,4.99943
B0DEFE,BlockReference,"TEMP",L-MON,4.99943
B116D3,BlockReference,"Disclaimer_Legal",0,0.27903084369053716
