Handle,ObjType,Content,Layer,Extra
BD80A7,BlockReference,"513059",Parcel Mapping,1
BDB4E0,BlockReference,"512059",Parcel Mapping,1
BDBD49,MText,"Lot 4 Plan 902 2025",L-TITLEDB-T,10.000000000000021
BDC583,MText,"Lot 3 Plan 902 2025",L-TITLEDB-T,10.000000000000021
BDC58D,MText,"Lot 2 Plan 902 2025",L-TITLEDB-T,10.000000000000021
BDC597,MText,"Lot 1 Plan 902 2025",L-TITLEDB-T,10.000000000000021
BDC5A1,MText,"Lot 5 Plan 952 3464",L-TITLEDB-T,10.000000000000021
BDC5A3,MText,"Lot 3A Block 2 Plan 032 0460",L-TITLEDB-T,10.000000000000021
BDCDDD,AlignedDimension,"Outlier  P/L R/W Plan 872 2075",C-RW-T,Compass 5 000
BDDF79,BlockReference,"GABD",F-WS-S,5.000000000000011
BDE8B6,AlignedDimension,"10.00 Road  942 1282",L-TITLEDB-T,Compass 5 000
BDF962,BlockReference,"L-SECLBL",L-SECLBL,1
BE3828,DBText,"Lease Area = 1.358 ha  3.36 Ac.",L-AREAREQUIRED,11.000000000000021
BE3829,DBText,"A/R Area = 0.157 ha  0.39 Ac.",L-AREAREQUIRED,11.000000000000021
BE3831,DBText,"A/R Area  = 0.450 ha  1.11 Ac.",L-AREAREQUIRED-1,11.000000000000021
BE3839,DBText,"Lease Area To be Reclaimed = 0.082 ha  0.20 Ac.",L-AREAREQUIRED-2,11.000000000000021
BE3841,DBText,"A/R Area To be Reclaimed = 0.444 ha  1.10 Ac.",L-AREAREQUIRED-2,11.000000000000021
BE5173,BlockReference,"*U427",AS-OWNER,0.999553
BE5212,BlockReference,"*U428",AS-OWNER-2,0.999553
BE5B5B,MText,"Lot 3 Plan 902 2025",C-SYMBOL,20.000000000000043
BE5B67,MText,"Lot 3A Block 2 Plan 032 0460",C-SYMBOL-2,20.000000000000043
BE638E,MText,"Lot 4 Plan 902 2025",C-SYMBOL-3,20.000000000000043
BE7579,MText,"Approximate Location of TRL Gas Co-op Ltd. (Abd.)",AS-PIPE-UG-T,9.995530000000016
BE86D6,MText,"Fortis O/H Power Line",AS-POWER-T,9.995530000000011
BE86D8,MText,"Buried Telus Cable",AS-TELUS,9.995530000000011
BE9869,DBText,"A/R Area To be Reclaimed = 0.106 ha  0.26 Ac.",L-AREAREQUIRED,11.000000000000021
BEB281,BlockReference,"*U430",AS-OWNER-3,0.999553
BED9F3,DBText,"(High Grade Gravel)",T-TEXT,9.995530000000011
BED9F4,DBText,"Government Road Allowance",L-ROAD-T,9.995530000000011
BED9F5,BlockReference,"res_occ",AS-RESIDENCE,4.997765000000006
BED9F6,BlockReference,"res_occ",AS-RESIDENCE,4.997765000000006
BED9F7,BlockReference,"res_occ",AS-RESIDENCE,4.997765000000006
BED9F9,BlockReference,"res_occ",AS-RESIDENCE,4.997765000000006
BED9FA,BlockReference,"res_occ",AS-RESIDENCE,4.997765000000006
BED9FB,BlockReference,"res_occ",AS-RESIDENCE,4.997765000000006
BED9FC,BlockReference,"res_occ",AS-RESIDENCE,4.997765000000006
BF0AC9,MText,"Residence (Typ.)",AS-RESIDENCE,9.995530000000011
BF0ACA,MText,"Outlier 16-25",C-WS-T,9.995530000000011
BF0ACB,AlignedDimension,"15.00 A/R",P-TXT,Compass 5 000
BF0AFC,AlignedDimension,"Outlier  A/R (To be Reclaimed)",C-WS-T,Compass 5 000
BF87DB,BlockReference,"TEMP",L-MON,4.997765000000003
BF87DC,BlockReference,"TEMP",L-MON,4.997765000000003
BF87DD,BlockReference,"TEMP",L-MON,4.997765000000003
BF87DE,BlockReference,"TEMP",L-MON,4.997765000000003
BF87DF,BlockReference,"TEMP",L-MON,4.997765000000003
BF87E0,BlockReference,"TEMP",L-MON,4.997765000000003
BF87E1,BlockReference,"TEMP",L-MON,4.997765000000003
BF87E2,BlockReference,"TEMP",L-MON,4.997765000000003
BF87E3,BlockReference,"TEMP",L-MON,4.997765000000003
BF87E4,BlockReference,"TEMP",L-MON,4.997765000000003
BF87E5,BlockReference,"TEMP",L-MON,4.997765000000003
BF87E6,BlockReference,"TEMP",L-MON,4.997765000000003
BF87EC,DBText,"110°09'45''",L-BD,9.995530000000006
BF87F3,DBText,"45''",L-BD,9.995530000000006
BF87FA,DBText,"89°",L-BD,9.995530000000006
BF87FC,DBText,"40''",L-BD,9.995530000000006
BF87FE,DBText,"45''",L-BD,9.995530000000006
BF8D0D,MText,"60.00 45''",L-BD,9.995530000000006
BF8D0E,MText,"09'",L-BD,9.995530000000006
BF9389,MText,"110°09'45'' 29.48",L-BD,9.995530000000006
BF938A,MText,"13°03'40'' 31.18",L-BD,9.995530000000006
BF9394,DBText,"09'",L-BD,9.995530000000006
BF9395,MText,"20°09'45'' 120.00",L-BD,9.995530000000006
BF98A2,DBText,"09'",L-BD,9.995530000000006
BF98A3,MText,"54.75 290°",L-BD,9.995530000000006
BF98A4,MText,"25.14 200°",L-BD,9.995530000000006
C01C04,BlockReference,"TEMP",L-MON,4.997765
C01C1B,DBText,"09'",L-BD,9.995530000000006
C01C1C,MText,"110° 90.48",L-BD,9.995530000000006
C01C22,MText,"269°05'30" 69.93",L-MON,9.99553
C0AF03,BlockReference,"Disclaimer_Legal",L-MON,0.4
