Handle,ObjType,Content,Layer,Extra
BD7987,DBText,"(High Grade Gravel)",T-TEXT,10
BD7988,DBText,"Government Road Allowance",L-ROAD-T,10
BD798B,BlockReference,"L-SECLBL",L-SECLBL,1
BD7996,DBText,"S.E.1/4 Sec. 27-32-27-W.4M.",C-SYMBOL,20
BD7997,DBText,"Existing Well Site = 0.800 ha  1.98 Ac.",L-AREAREQUIRED,11
BD7998,DBText,"Existing Access Road = 0.086 ha  0.21 Ac.",L-AREAWORK,11
BD7999,MText,"L.S. 1",L-SECTION-LSD,10
BD799A,MText,"L.S. 2",L-SECTION-LSD,10
BD799C,MText,"L.S. 8",L-SECTION-LSD,10
BD799D,MText,"L.S. 7",L-SECTION-LSD,10
BD9274,BlockReference,"HRV",CG-NOTES,1
BD9421,BlockReference,"GAS",AS-DRILL-T,5
BD942C,BlockReference,"GABD",AS-DRILL-T,5
BD942D,BlockReference,"GABD",AS-DRILL-T,5
BD942E,DBText,"Twp. Rd. 324",L-ROAD-T,10
BD95DD,AlignedDimension,"Ember  P/L R/W  061 2746",C-RW-T,Compass 5 000
BD9600,AlignedDimension,"Canstone  P/L R/W  061 0226",F-RW-T,Compass 5 000
BD963A,AlignedDimension,"Ember  P/L R/W  061 3009",C-RW-T,Compass 5 000
BD966B,AlignedDimension,"Ember  P/L R/W  061 3012",C-RW-T,Compass 5 000
BD96A5,AlignedDimension,"20.12 Road  6318 BM",L-TITLEDB-T,Compass 5 000
BD96DF,AlignedDimension,"20.12 Road  6383 BM",L-TITLEDB-T,Compass 5 000
BD972A,MText,"Mountain View County",L-33,12
BD972C,MText,"Kneehill County",L-33,12
BDA4C8,BlockReference,"*U28",CG-NOTES,1
BDAF9B,MText,"Spruce Creek",T-WATER-T,10
BDB352,MText,"Ember 8-27",C-WS-T,10
BDB353,AlignedDimension,"Ember  A/R",C-AR-T,Compass 5 000
BDB52B,MText,"Canstone 1-27 (Abd.)",F-WS-T,10
BDB880,MText,"Ember 102/1-27",C-WS-T,10
BDBF53,BlockReference,"TEMP",L-MON,5
BDBF54,BlockReference,"TEMP",L-MON,5
BDBF55,BlockReference,"TEMP",L-MON,5
BDBF56,BlockReference,"TEMP",L-MON,5
BDBF57,BlockReference,"TEMP",L-MON,5
BDBF58,BlockReference,"TEMP",L-MON,5
BDBF59,BlockReference,"TEMP",L-MON,5
BDBF5A,BlockReference,"TEMP",L-MON,5
BDBF5B,BlockReference,"TEMP",L-MON,5
BDBF5C,MText,"E.1/4 27",L-MON-T,10
BDC051,MText,"N.E. 22",L-MON-T,10
BDC055,DBText,"92°09'",L-BD1,10
BDC05E,BlockReference,"GABD",AS-DRILL-T,5
BDC066,BlockReference,"TEMP",L-MON,5
BDC067,BlockReference,"TEMP",L-MON,5
BDC068,BlockReference,"TEMP",L-MON,5
BDC069,BlockReference,"TEMP",L-MON,5
BDC06A,BlockReference,"TEMP",L-MON,5
BDC06B,BlockReference,"TEMP",L-MON,5
BDC1AA,MText,"Canstone 1-27 (Abd.)",F-WS-T,10
BDC1AB,AlignedDimension,"Canstone  A/R",F-AR-T,Compass 5 000
BDC1DB,AlignedDimension,"Ember  P/L R/W  061 3012",C-RW-T,Compass 5 000
BDC219,AlignedDimension,"Ember  P/L R/W  061 3009",C-RW-T,Compass 5 000
BDC341,DBText,"92°09'",L-BD1,10
BDC347,DBText,"09'",L-BD,10
BDC349,DBText,"182°",L-BD,10
BDC34C,DBText,"263°19'",L-BD1,10
BDC444,DBText,"353°19'",L-BD1,10
BDC449,MText,"32.3 19'",L-BD1,10
BDC44A,MText,"47.7 83°",L-BD1,10
BDC44C,DBText,"173°19'",L-BD1,10
BDC44E,DBText,"2°09'",L-BD1,10
BDC72B,MText,"1-27 (Abd.)",AS-DRILL-T,10
BDC72C,DBText,"Access Road 100/1-27 = 0.473 ha  1.17 Ac.",L-AREAWORK,11
BDC72D,AlignedDimension,"15.0 A/R",P-TXT,Compass 5 000
BDC7C1,AlignedDimension,"15.0 A/R",P-TXT,Compass 5 000
BDC7E5,AlignedDimension,"15.0 A/R",P-TXT,Compass 5 000
BDD578,BlockReference,"see_detail",CG-NOTES,1
BDF434,DBText,"(Dirt Trail)",T-TEXT,10
BDF435,DBText,"Government Road Allowance",L-ROAD-T,10
BDF436,MText,"Ember 102/1-27",C-WS-T,10
BDF521,BlockReference,"HRV",CG-NOTES,1
BDF526,DBText,"Total = 1.359 ha  3.36 Ac.",L-AREAWORK,11
BDF527,AlignedDimension,"Canstone  A/R",F-AR-T,Compass 5 000
BE1DD4,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.3
