Handle,ObjType,Content,Layer,Extra
BD64C7,BlockReference,"L-SECLBL",L-SECLBL,0.9997299999999999
BD64DA,DBText,"(High Grade Gravel)",T-TEXT,9.997299999999978
BD64DB,DBText,"Government Road Allowance",L-ROAD-T,9.997299999999978
BD78B3,BlockReference,"GAS",C-WS-S,4.999999999999989
BD78B4,BlockReference,"GAS",F-WS-S,4.999999999999989
BD78B6,DBText,"S.W.1/4 Sec. 11-34-23-W.4M.",C-SYMBOL,19.994599999999977
BD7A5F,BlockReference,"res_occ",AS-RESIDENCE,4.998649999999997
BD7A63,MText,"Residence",AS-RESIDENCE,9.997299999999994
BD7A64,MText,"Approximate Location of Crossroads Gas Co-op Ltd.",AS-PIPE-UG-T,9.997299999999994
BD7DB6,AlignedDimension,"Trident  A/R",F-AR-T,Compass 5 000
BD7DF0,MText,"Trident 6-11",F-WS-T,9.997299999999994
BD7DF1,MText,"Ember 102/6-11",C-WS-T,9.997299999999994
BD7DF2,AlignedDimension,"Ember  A/R",C-AR-T,Compass 5 000
BD8117,AlignedDimension,"Ember  P/L R/W  041 2725",C-RW-T,Compass 5 000
BD8148,AlignedDimension,"Ember  P/L R/W  091 1075",C-RW-T,Compass 5 000
BD8174,AlignedDimension,"Ember  P/L R/W  081 4818",C-RW-T,Compass 5 000
BD82B8,AlignedDimension,"Trident  P/L R/W  021 1387",F-RW-T,Compass 5 000
BD82F2,AlignedDimension,"Ember  P/L R/W  041 2730",C-RW-T,Compass 5 000
BD8308,AlignedDimension,"840586 Alberta  P/L R/W  021 0147",F-RW-T,Compass 5 000
BD87DB,BlockReference,"*U29",CG-NOTES,0.9997299999999999
BD881D,BlockReference,"TEMP",L-MON,4.99865
BD881E,BlockReference,"TEMP",L-MON,4.99865
BD881F,BlockReference,"TEMP",L-MON,4.99865
BD8914,MText,"E.1/4 10",L-MON,9.9973
BD8915,MText,"N.E. 3",L-MON,9.9973
BD8A3C,DBText,"91%%d46'",L-BD,9.9973
BD8A3D,AlignedDimension,"15.00 A/R",P-TXT,Compass 5 000
BD8A66,DBText,"181%%d41'",L-BD,9.9973
BDC0EB,BlockReference,"TEMP",L-MON,4.99865
BDC0EC,BlockReference,"TEMP",L-MON,4.99865
BDC0ED,BlockReference,"TEMP",L-MON,4.99865
BDC0EE,BlockReference,"TEMP",L-MON,4.99865
BDC0F0,BlockReference,"TEMP",L-MON,4.99865
BDC0F5,DBText,"04'",L-BD,9.9973
BDC0F9,DBText,"268%%d04'",L-BD,9.997299999999997
BDC0FB,DBText,"358%%d04'",L-BD,9.9973
BDC0FD,DBText,"88%%D",L-BD,9.9973
BDC228,MText,"SEE DETAIL",DETAIL-T,15.995679999999998
BE1370,MText,"DETAIL SCALE 1:1000",CG-NOTES,19.9946
BE1384,BlockReference,"GAS",C-WS-S,4.99865
BE1386,BlockReference,"TEMP",L-MON,4.99865
BE1387,BlockReference,"TEMP",L-MON,4.99865
BE1388,BlockReference,"TEMP",L-MON,4.99865
BE1389,BlockReference,"TEMP",L-MON,4.99865
BE138B,BlockReference,"TEMP",L-MON,4.99865
BE151A,DBText,"358%%d04'",L-BD,9.9973
BE151C,DBText,"268%%d04'",L-BD,9.997299999999997
BE151E,DBText,"178%%d04'",L-BD,9.997299999999997
BE1711,AlignedDimension,"Ember  P/L R/W  091 1075",C-RW-T,Compass 5 000
BE175D,AlignedDimension,"15.00 A/R",P-TXT,Compass 5 000
BE1781,AlignedDimension,"Ember  P/L R/W  041 2725",C-RW-T,Compass 5 000
BE17C8,DBText,"181%%d44'",L-BD,9.9973
BE18FE,MText,"20.12 calc.",L-BD,9.9973
BE1902,DBText,"Existing Well Site = 0.990 ha  2.45 Ac.",L-AREAREQUIRED,10.997029999999999
BE1903,DBText,"Existing Access Road = 0.192 ha  0.47 Ac.",L-AREAWORK,10.997029999999999
BE1904,DBText,"Access Road 100/6-11 = 0.717 ha  1.77 Ac.",L-AREAWORK,10.997029999999999
BE20FE,MText,"W/H 102/6-11",C-WS-T,9.997299999999994
BE2314,DBText,"178%%d04'",L-BD,9.997299999999997
BE2316,DBText,"181%%d44'",L-BD,9.9973
BE2453,MText,"Ember 102/6-11",C-WS-T,9.997299999999994
BE25E1,DBText,"Total = 1.899 ha  4.69 Ac.",L-AREAWORK,10.997029999999999
BE4B14,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.2
