Handle,ObjType,Content,Layer,Extra
B00D77,BlockReference,"L-SECLBL",L-SECLBL,0.999541
B02816,MText,"L.S. 11",L-SECTION-LSD,9.99541
B02818,MText,"L.S. 12",L-SECTION-LSD,9.99541
B0281A,MText,"L.S. 14",L-SECTION-LSD,9.99541
B0281B,MText,"L.S. 13",L-SECTION-LSD,9.99541
B02828,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99541
B03023,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992656
B0376D,BlockReference,"GAS",C-WS-S,4.997705
B0376E,BlockReference,"GAS",C-WS-S,4.997705
B0462A,MText,"Theor. N.W.1/4  Sec. 5-81-13-W.5M.",C-SYMBOL,19.99082
B04632,AlignedDimension,"Islander  A/R  Plan   Long Horn Geomatics",C-WS-S,Compass 5 000
B04674,MText,"Islander 12-5 (Surface)  Unregistered Plan  By Long Horn Geomatics",C-WS-S,9.99541
B10E55,BlockReference,"*U37",AS-OWNER,0.9990974636864284
B1DB39,BlockReference,"fdspike",L-MON,5
B1DB3E,BlockReference,"fdspike",L-MON,5
B1DB5C,BlockReference,"fdspike",L-MON,5
B1DB61,BlockReference,"fdspike",L-MON,5
B1DB6B,BlockReference,"fdspike",L-MON,5
B1DB70,BlockReference,"fdspike",L-MON,5
B1DB7A,BlockReference,"fdspike",L-MON,5
B1DB7F,BlockReference,"fdspike",L-MON,5
B1DB89,BlockReference,"fdspike",L-MON,5
B200EB,MText,"40.0x70.0 Log Deck",P-TEMP-T,9.99541
B226DF,DBText,"269°",L-BD,9.99541
B226E9,DBText,"50''",L-BD,9.99541
B226EE,MText,"2-15.0x15.0 Corner Cuts",L-BD,9.99541
B2352D,BlockReference,"*U39",L-BD,0.999541
B2358A,BlockReference,"*U40",L-BD,0.999541
B235B5,MText,"40.0x70.0 Log Deck",P-TEMP-T,9.99541
B235BF,MText,"40.0x70.0 Log Deck",P-TEMP-T,9.99541
B235C9,MText,"40.0x70.0 Log Deck",P-TEMP-T,9.99541
B235D3,MText,"100.0x100.0 Borrow Pit",P-TEMP-T,9.99541
B235DD,MText,"100.0x100.0 Borrow Pit",P-TEMP-T,9.99541
B235E0,DBText,"359°00'50''",L-BD,9.99541
B235E2,DBText,"89°00'50''",L-BD,9.99541
B235E3,DBText,"179°00'50''",L-BD,9.99541
B23BD8,MText,"224°00'50'' 21.21",L-BD,9.99541
B242E7,DBText,"359°00'",L-BD,9.99541
B2495A,AlignedDimension,"Islander  A/R  _______ (Not-Built)",C-AR-T,Compass 5 000
B250D1,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99541
B3D1F6,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992656
B3D1F8,MText,"Theor. N.E.1/4  Sec. 5-81-13-W.5M.",C-SYMBOL,19.99082
B3D1F9,BlockReference,"*U37",AS-OWNER,0.9990974636864284
B3D8FB,MText,"L.S. 9",L-SECTION-LSD,9.99541
B3D8FD,MText,"L.S. 10",L-SECTION-LSD,9.99541
B3D8FF,MText,"L.S. 16",L-SECTION-LSD,9.99541
B3D901,MText,"L.S. 15",L-SECTION-LSD,9.99541
B3E83D,MText,"Islander  8-5 (Surface)",C-WS-T,9.99541
B40800,MText,"00' 100.00",L-BD,9.99541
B425CC,DBText,"RP",35,9.99541
B46DA3,DBText,"0+100",T-TIE-T,9.99541
B46DA5,DBText,"0+200",T-TIE-T,9.99541
B46DA7,DBText,"0+300",T-TIE-T,9.99541
B46DA9,DBText,"0+400",T-TIE-T,9.99541
B46DAB,DBText,"0+500",T-TIE-T,9.99541
B46DAD,DBText,"0+600",T-TIE-T,9.99541
B46DAF,DBText,"0+700",T-TIE-T,9.99541
B46DB1,DBText,"0+800",T-TIE-T,9.99541
B46DB3,DBText,"0+900",T-TIE-T,9.99541
B46DB5,DBText,"0+1000",T-TIE-T,9.99541
B4B6FF,DBText,"359°00'50''",L-BD,9.99541
B4B702,DBText,"179°00'50''",L-BD,9.99541
B4B707,DBText,"89°00'50''",L-BD,9.99541
B4BDD6,MText,"85.00 179°00'50''",L-BD,9.99541
B4BDD7,MText,"359°00'50'' 100.00",L-BD,9.99541
B4BDD8,BlockReference,"TEMP",L-MON,4.997705
B4BDD9,BlockReference,"TEMP",L-MON,4.997705
B4BDDA,BlockReference,"TEMP",L-MON,4.997705
B4BDDB,BlockReference,"TEMP",L-MON,4.997705
B4BDDC,BlockReference,"TEMP",L-MON,4.997705
B4BDDD,BlockReference,"TEMP",L-MON,4.997705
B4BDDE,BlockReference,"TEMP",L-MON,4.997705
B4C4DC,BlockReference,"linebrk",L-TIE,4997.705
B4CBF9,BlockReference,"FDI",L-MON,5
B4CC0A,MText,"Twp. 80",D-TXT,13.993574
B4CC0B,MText,"Twp. 81",D-TXT,13.993574
B4CC1E,DBText,"Government Road Allowance",L-ROAD-T,9.99541
B4CC1F,DBText,"(Undeveloped)",T-TEXT,9.99541
B4CC21,MText,"Fd. I. Pit M. N.E. 32",L-MON,9.99541
B4D504,MText,"89°00'50'' 100.00",L-BD,9.99541
B4DC5A,BlockReference,"TEMP",L-MON,5
B4DC61,MText,"15.00 359°00'50"",L-BD,9.99541
B4DC68,MText,"15.00 89°00'50"",L-BD,9.99541
B51B19,MText,"1629.40 (Tie) 126°18'00"",L-TIE-T,10
B5428F,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.5
