Handle,ObjType,Content,Layer,Extra
AF47C3,BlockReference,"L-SECLBL",L-SECLBL,0.99972168
AF583F,BlockReference,"*U28",AS-OWNER,1.0002760761970324
AF584E,DBText,"N.E.1/4 Sec. 7-52-6-W.5M.",C-SYMBOL,20.000000000000036
AF5871,BlockReference,"*U30",C-SYMBOL,1
AF6098,MText,"Sun Gro Commercial Development DML 860120",C-WS-T,10.002760761970265
AF60C9,AlignedDimension,"Brixton  A/R  910149",F-AR-T,Compass 5 000
AF6903,MText,"Sun Gro PLS 130005",C-WS-T,10.002760761970265
AF71EC,AlignedDimension,"30.48 Road  782 0199",L-TITLEDB-T,Compass 5 000
AF7225,AlignedDimension,"40.00 Road  932 2505",L-TITLEDB-T,Compass 5 000
AF7251,MText,"Sun Gro Surface Materials - Peat SML 780114 (To be Amended)",C-AR-T,9.999976793595044
AF7AF4,BlockReference,"FDI",L-MON,4.998608400000004
AF7AFE,BlockReference,"FDI",L-MON,5.000000000000007
AF7B21,BlockReference,"FDI",L-MON,5.000000000000007
AF7B80,BlockReference,"FDI",L-MON,5.000000000000007
AF7BFD,BlockReference,"FDI",L-MON,5.000000000000007
B030BE,BlockReference,"L-SECLBL",L-SECLBL,0.99972168
B030C4,DBText,"S.E.1/4 Sec. 18-52-6-W.5M.",C-SYMBOL,19.994433600000015
B04148,BlockReference,"*U34",C-SYMBOL,1
B041B0,AlignedDimension,"Adanac  A/R  890486",F-AR-T,Compass 5 000
B049F5,MText,"Adanac 7-18 (Surface) MSL 891156",F-AR-T,9.997216800000004
B049F6,AlignedDimension,"Adanac  A/R  891156",F-AR-T,Compass 5 000
B04A5A,AlignedDimension,"Adanac  P/L R/W  912 0473  900656",F-RW-T,Compass 5 000
B05288,AlignedDimension,"Cenovus  P/L R/W  952 1509  941168",F-RW-T,Compass 5 000
B07B23,AlignedDimension,"Equs  Vegetation Control R/W  060016",F-VCE-T,Compass 5 000
B07B4B,AlignedDimension,"Equs  Power Line R/W  060002",F-EZE-T,Compass 5 000
B0837C,BlockReference,"TEMP",L-MON,4.998608400000002
B0837D,BlockReference,"TEMP",L-MON,4.998608400000002
B0837E,BlockReference,"TEMP",L-MON,4.998608400000002
B0837F,BlockReference,"TEMP",L-MON,4.998608400000002
B08380,BlockReference,"TEMP",L-MON,4.998608400000002
B08385,BlockReference,"TEMP",L-MON,4.998608400000002
B08386,BlockReference,"TEMP",L-MON,4.998608400000002
B08387,BlockReference,"TEMP",L-MON,4.998608400000002
B08388,BlockReference,"TEMP",L-MON,4.998608400000002
B08B9C,AlignedDimension,"{  Gro  P/L R/W  762 2087  5898  to be Deleted)}",C-RW-T,Compass 5 000
B08BC1,BlockReference,"TEMP",L-MON,4.998608400000002
B09BD8,AlignedDimension,"Sun Gro  P/L R/W  762 2087  5898  be Amended)",C-RW-T,Compass 5 000
B09C06,BlockReference,"FDI",L-MON,4.998608400000002
B09C08,BlockReference,"FDI",L-MON,4.998608400000002
B09C52,BlockReference,"TEMP",L-MON,4.998608400000002
B09C53,BlockReference,"TEMP",L-MON,4.998608400000002
B09C54,BlockReference,"TEMP",L-MON,4.998608400000002
B09C55,BlockReference,"TEMP",L-MON,4.998608400000002
B09C56,BlockReference,"TEMP",L-MON,4.998608400000002
B09C58,BlockReference,"TEMP",L-MON,4.998608400000002
B09C5A,BlockReference,"TEMP",L-MON,4.998608400000002
B0AC9F,BlockReference,"TEMP",L-MON,4.998608400000002
B0ACA0,BlockReference,"TEMP",L-MON,4.998608400000002
B0ACA1,BlockReference,"TEMP",L-MON,4.998608400000002
B0ACA2,BlockReference,"TEMP",L-MON,4.998608400000002
B0BCCB,DBText,"35''",L-BD,9.997216800000004
B0BCCD,DBText,"268°",L-BD,9.997216800000004
B0BCCE,DBText,"20'",L-BD,9.997216800000004
B0BCD4,DBText,"358°17'40''",L-BD,9.997216800000004
B0CCFE,DBText,"45''",L-BD,9.997216800000004
B0CD08,DBText,"180°51'45''",L-BD,9.997216800000004
B0CD0A,DBText,"51'",L-BD,9.997216800000004
B0D514,DBText,"180°",L-BD,9.997216800000004
B0DD22,DBText,"131°25'40''",L-BD,9.997216800000004
B0DD24,DBText,"107°25'00''",L-BD,9.997216800000004
B0DD26,DBText,"86°36'30''",L-BD,9.997216800000004
B0DD28,DBText,"102°50'30''",L-BD,9.997216800000004
B0DD2A,DBText,"134°57'10''",L-BD,9.997216800000004
B0DD2C,DBText,"178°17'50''",L-BD,9.997216800000004
B0DD2E,DBText,"178°17'50''",L-BD,9.997216800000004
B0DD30,DBText,"268°18'00''",L-BD,9.997216800000004
B0DD32,DBText,"178°17'50''",L-BD,9.997216800000004
B0E543,DBText,"389.50 (Tie)",L-BD,9.997216800000004
B0E544,DBText,"162°28'25''",L-BD,9.997216800000004
B0E546,DBText,"35''",L-BD,9.997216800000004
B0ED4E,DBText,"268°",L-BD,9.997216800000004
B0ED4F,DBText,"20'",L-BD,9.997216800000004
B0ED51,DBText,"358°17'40''",L-BD,9.997216800000004
B0ED7E,AlignedDimension,"Equs  Power Line R/W  060002",F-EZE-T,Compass 5 000
B0ED9C,AlignedDimension,"Equs  Vegetation Control R/W  060016",F-VCE-T,Compass 5 000
B0EE42,AlignedDimension,"40.00 Road  932 2505",L-TITLEDB-T,Compass 5 000
B0EE67,AlignedDimension,"30.48 Road  782 0199",L-TITLEDB-T,Compass 5 000
B0EEC1,DBText,"Government Road Allowance",L-ROAD-T,9.997216800000004
B0EEC2,DBText,"(Undeveloped)",T-TEXT,9.997216800000004
B0EEF8,DBText,"(High Grade Gravel)",T-TEXT,9.997216800000004
B0EEF9,DBText,"Government Road Allowance",L-ROAD-T,9.997216800000004
B0EEFB,DBText,"(High Grade Gravel)",T-TEXT,9.997216800000002
B0EEFC,DBText,"Government Road Allowance",L-ROAD-T,9.997216800000002
B0EEFD,DBText,"(High Grade Gravel)",T-TEXT,9.997216800000002
B0EEFE,DBText,"Government Road Allowance",L-ROAD-T,9.997216800000002
B0F705,DBText,"(High Grade Gravel)",T-TEXT,9.997216800000004
B0F706,DBText,"Government Road Allowance",L-ROAD-T,9.997216800000004
B0F707,MText,"Sun Gro PLS 130005",C-WS-T,10.002760761970265
B0F708,MText,"Sun Gro Surface Materials - Peat SML 780114 (To be Amended)",C-AR-T,9.999976793595044
B0F767,BlockReference,"*U47",AS-WILDLIFE-BLOCK,0.99972168
B0F776,BlockReference,"GAS",F-WS-S,4.998608400000002
B11078,MText,"Fortis 3-Wire  O/H Power Line",AS-POWER,9.99668979163289
B1107A,MText,"Fortis 3-Wire  O/H Power Line",AS-POWER,9.99668979163289
B1107C,MText,"Fortis 3-Wire  O/H Power Line",AS-POWER,9.99668979163289
B1189E,MText,"Area To be Deleted from N.E.1/4 = 0.813 ha  2.01 Ac.",L-AREAREQUIRED,10.99785972999999
B1753B,MText,"Area To be Deleted from S.E.1/4 = 0.012 ha  0.03 Ac. Total Remaining Area within S.E.1/4 = 1.036 ha  2.56 Ac.",L-AREAREQUIRED,10.99785972999999
B1E869,DBText,"PLA 5898",CG-NOTES,50.000000000000014
B1E86A,DBText,"PLA 5898",CG-NOTES,50.000000000000014
B1E86B,DBText,"PLA 5898",CG-NOTES,50.000000000000014
B1E86C,DBText,"PLA 5898",CG-NOTES,50.000000000000014
B1E878,BlockReference,"*U48",CG-NOTES,4.000000000000002
B20494,BlockReference,"*U49",L-2,1.0000010605584373
B204A2,MText,"SEE DETAIL",L-DETAIL-T,16.00001696893499
B204A4,MText,"DETAIL",DETAIL-T,20.00002121116875
B215CA,BlockReference,"*U50",0,1
B22F2F,MText,"Fd.I. Mp. R13",L-MON,10.000000000000004
B22F31,MText,"Fd.I. Mp. R5",L-MON,10.000000000000004
B22F33,MText,"Fd.I. Mp. R6",L-MON,10.000000000000004
B22F39,MText,"Fd.I.",L-MON,10.000000000000004
B22F3B,MText,"Fd.I. Mp. E.1/4 7",L-MON,10.000000000000004
B2377D,BlockReference,"*U51",DETAIL-T,1
B237CF,BlockReference,"*U51",DETAIL-T,1
B2800B,AlignedDimension,"{  Gro  P/L R/W  762 2087  5898  to be Deleted)}",C-RW-T,Compass 5 000
B28032,AlignedDimension,"Sun Gro  P/L R/W  762 2087  5898  be Amended)",C-RW-T,Compass 5 000
B2804E,AlignedDimension,"{  (Area to be Deleted)}",C-RW-T,Compass 5 000
B2ACCA,MText,"Fd.I. Mp. R13",L-MON,10.000000000000004
B2ACCF,DBText,"(High Grade Gravel)",T-TEXT,9.997216800000002
B37CB0,BlockReference,"*U57",0,1
B3972D,BlockReference,"L-SECLBL",L-SECLBL,0.99972168
B39735,BlockReference,"L-SECLBL",L-SECLBL,0.99972168
B3973D,BlockReference,"L-SECLBL",L-SECLBL,0.99972168
B39745,BlockReference,"L-SECLBL",L-SECLBL,0.99972168
B3974C,BlockReference,"L-SECLBL",L-SECLBL,0.99972168
B3A031,BlockReference,"Disclaimer_Legal",0,1
