Handle,ObjType,Content,Layer,Extra
BDFDE7,MText,"L.S. 12",L-SECTION-LSD,9.995619999999803
BDFDEB,MText,"L.S. 11",L-SECTION-LSD,9.995619999999803
BE2E73,BlockReference,"L-SECLBL",L-SECLBL,0.9995621799999991
BE2E79,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9956199999998
BE2E93,MText,"Theor. N.W.1/4 Sec. 4-65-3-W.6M.",C-SYMBOL,19.9912399999996
BE2E94,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99299199999972
BE2E98,DBText,"RP",35,9.99999999999999
BE5762,BlockReference,"HRV",CG-NOTES,0.9999979991276013
BE5803,AlignedDimension,"Veren  P/L R/W  180881",C-RW-T,Compass 5 000
BE5804,AlignedDimension,"Veren  P/L R/W  151374",C-RW-T,Compass 5 000
BE580A,DBText,"CNRL",F-AR-T,9.995689999999994
BE580B,DBText,"10.00 A/R",F-AR-T,9.995689999999994
BE580C,DBText,"LOC 052800",F-AR-T,9.995689999999994
BE580E,AlignedDimension,"CNRL  P/L R/W  082 7986  060875",F-RW-T,Compass 5 000
BE5810,MText,"CNRL 13-4 (Surface) MSL 054183",F-WS-T,9.995619999999803
BE5812,MText,"CanFor CLR970229",F-WS-T,9.99563999999982
BE5814,MText,"Ephemeral Draw",T-WATER-T,9.995639999999826
BE5966,BlockReference,"GAS",C-WS-S,4.997809999999902
BE596F,BlockReference,"TEMP",L-MON,4.999999999999997
BE5A6F,DBText,"L.S. 14",L-SECTION-LSD,9.995619999999803
BE5A70,DBText,"L.S. 13",L-SECTION-LSD,9.995619999999803
BE5A80,BlockReference,"TEMP",L-MON,4.999999999999997
BE5A81,BlockReference,"TEMP",L-MON,4.999999999999997
BE5A82,BlockReference,"TEMP",L-MON,4.999999999999997
BE7DFD,AlignedDimension,"Veren  P/L R/W  151374",C-RW-T,Compass 5 000
BE7DFF,BlockReference,"TEMP",L-MON,4.999999999999997
BE7E00,BlockReference,"TEMP",L-MON,4.999999999999997
BE7E01,BlockReference,"TEMP",L-MON,4.999999999999997
BE7E02,BlockReference,"TEMP",L-MON,4.999999999999997
BE7E07,DBText,"52°55'",L-BD,9.99569
BE7E09,DBText,"142°55'",L-BD,9.99569
BE7E0B,DBText,"232°55'",L-BD,9.99569
BE7E0D,DBText,"322°55'",L-BD,9.99569
BE7E75,AlignedDimension,"Veren  P/L R/W  ______",C-RW-T,Compass 5 000
BE7EA5,MText,"Veren 15-4 (Surface) MSL ______",C-WS-T,9.995619999999803
BE7EA7,MText,"Veren 15-4 (Surface) MSL ______",C-WS-T,9.995619999999803
BE7EE1,AlignedDimension,"Veren  A/R  ______",C-RW-T,Compass 5 000
BEB898,MText,"Wooded Coniferous Swamp",WETLAND-T,9.991381857609898
BEB8F9,BlockReference,"GAS",C-WS-S,4.997844999999997
BEB8FA,BlockReference,"GAS",C-WS-S,4.997844999999997
BEB8FB,BlockReference,"GAS",C-WS-S,4.997844999999997
BEB8FC,BlockReference,"GAS",C-WS-S,4.997844999999997
BEB8FD,BlockReference,"GAS",C-WS-S,4.997844999999997
BEB8FE,BlockReference,"GAS",C-WS-S,4.997844999999997
BEB8FF,BlockReference,"GAS",C-WS-S,4.997844999999997
BEB900,BlockReference,"GAS",C-WS-S,4.997844999999997
BECB58,DBText,"829.4(Tie)",L-BD,9.99138185761
BECB59,DBText,"114°48'",L-BD,9.99138185761
BECB7B,DBText,"829.4(Tie)",L-BD,9.99138185761
BECB7C,DBText,"114°48'",L-BD,9.99138185761
BEF0E5,MText,"CNRL 15.00 P/L R/W Plan 082 7986 PLA 060875",F-RW-T,9.99569
BEF0E6,AlignedDimension,"Veren  A/R  ______",C-AR-T,Compass 5 000
BFCDB9,MText,"Veren 15.00 P/L R/W PLA 231083",C-RW-T,10
BFCDBF,MText,"Veren 15.00 P/L R/W PLA 231083",C-RW-T,10
