Handle,ObjType,Content,Layer,Extra
BCD54B,BlockReference,"RISER",AS-SYMBOL,4.999999999999995
BCD550,BlockReference,"RISER",AS-SYMBOL,4.999999999999995
BCD555,BlockReference,"RISER",AS-SYMBOL,4.999999999999995
BCD55A,BlockReference,"RISER",AS-SYMBOL,4.999999999999995
BCE008,BlockReference,"L-SECLBL",L-SECLBL,0.9994789999999989
BCE00E,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994789999999977
BCE00F,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994789999999977
BCE06D,MText,"Wooded Mixedwood Swamp",WETLAND-T,9.999999999999787
BCE06F,MText,"Wooded Mixedwood Swamp",WETLAND-T,9.994788599999755
BCE082,MText,"Wooded Mixedwood Swamp",WETLAND-T,9.994788599999755
BCE089,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999945
BCE08B,MText,"Theor. S.W.1/4 Sec. 16-64-21-W.5M.",C-SYMBOL,19.999999999999943
BCE099,MText,"Whitecap 15.00 A/R LOC 250173",C-AR-T,9.999999999999972
BCE09B,AlignedDimension,"Whitecap  P/L R/W  094 1536  071598",C-RW-T,Compass 5 000
BCE09C,AlignedDimension,"Whitecap  P/L R/W  140001",C-RW-T,Compass 5 000
BCE09D,AlignedDimension,"Whitecap  P/L R/W  220223",C-RW-T,Compass 5 000
BCE09E,AlignedDimension,"Whitecap  P/L R/W  071761",C-RW-T,Compass 5 000
BCE09F,AlignedDimension,"Whitecap  P/L R/W  230753",C-RW-T,Compass 5 000
BCE0A0,AlignedDimension,"Whitecap  P/L R/W  121253",C-RW-T,Compass 5 000
BCE0A1,AlignedDimension,"Whitecap  P/L R/W  072 1780  070611",C-RW-T,Compass 5 000
BCE0A2,AlignedDimension,"Whitecap  P/L R/W  250342",C-RW-T,Compass 5 000
BCE0A3,MText,"Whitecap FC716 5-16 (Surface) MSL 250117",C-WS-T,9.994788599999591
BCE0A5,MText,"Whitecap Gas Processing Plant MLL 070071",C-WS-T,9.994810499999563
BCE0A7,AlignedDimension,"ATCO  Power Line R/W  080124",F-EZE-T,Compass 5 000
BCE0A8,AlignedDimension,"CNRL  A/R  780150",F-EZE-T,Compass 5 000
BCE0A9,AlignedDimension,"ATCO  Power Line R/W  190046",F-EZE-T,Compass 5 000
BCE0AA,AlignedDimension,"CNRL  P/L R/W  802 3164  840255",F-RW-T,Compass 5 000
BCE0AB,AlignedDimension,"CNRL  P/L R/W  802 3164  952 0841  941611",F-RW-T,Compass 5 000
BCE0AC,MText,"CNRL Plant Site Plan 802 3164 MLL 800061",F-WS-T,9.994788599999591
BCE0AE,MText,"Ephemeral Draw",T-WATER-T,9.999999999999787
BCE0B1,MText,"Intermittent Creek",T-WATER-T,9.999999999999787
BCE0B4,MText,"Ephemeral Draw",T-WATER-T,9.999999999999787
BCE0B6,MText,"Intermittent Creek",T-WATER-T,9.999999999999787
BCE0B9,MText,"35cm Poplar & 25cm Spruce",T-BUSH-T,9.994810499999414
BCE0BB,MText,"35cm Poplar & 25cm Spruce",T-BUSH-T,9.994810499999414
BCE0C1,BlockReference,"lightpole",AS-SYMBOL,4.997405250000016
BCE0C2,BlockReference,"WC2",C-WS-S,4.99739499999999
BCE0C3,BlockReference,"WC2",C-WS-S,4.99739499999999
BCE0C4,BlockReference,"WC2",C-WS-S,4.99739499999999
BCE0C5,BlockReference,"WC2",C-WS-S,4.99739499999999
BCE0D3,MText,"6m High Grade Gravel Road",T-TEXT,9.994810499999884
BD2221,MText,"Buried  Pipes (x3)",AS-PIPE-UG-T,9.994813
BD222C,MText,"Buried  Pipe",AS-PIPE-UG-T,9.994813
BD222E,MText,"Buried  Pipe",AS-PIPE-UG-T,9.994813
BD2231,MText,"(4)Risers",T-TEXT,9.994810499999884
BD7D96,BlockReference,"Disclaimer_Legal",0,0.2
