Handle,ObjType,Content,Layer,Extra
AF2C6A,BlockReference,"L-SECLBL",L-SECLBL,1
AF2C70,BlockReference,"L-SECLBL",L-SECLBL,1
AF2FBA,MText,"L.S. 3",L-SECTION-LSD,9.9979
AF2FBC,MText,"L.S. 4",L-SECTION-LSD,9.9979
AF2FBE,MText,"L.S. 6",L-SECTION-LSD,9.9979
AF2FC0,MText,"L.S. 5",L-SECTION-LSD,9.9979
AF2FC2,MText,"L.S. 1",L-SECTION-LSD,9.9979
AF2FC3,MText,"L.S. 2",L-SECTION-LSD,9.9979
AF2FC5,MText,"L.S. 8",L-SECTION-LSD,9.9979
AF2FC6,MText,"L.S. 7",L-SECTION-LSD,9.9979
AF2FC8,MText,"L.S. 3",L-SECTION-LSD,9.9979
AF2FCA,MText,"L.S. 4",L-SECTION-LSD,9.9979
AF2FCC,MText,"L.S. 6",L-SECTION-LSD,9.9979
AF2FCE,MText,"L.S. 5",L-SECTION-LSD,9.9979
AF2FD0,MText,"L.S. 1",L-SECTION-LSD,9.9979
AF2FD1,MText,"L.S. 2",L-SECTION-LSD,9.9979
AF2FD3,MText,"L.S. 8",L-SECTION-LSD,9.9979
AF2FD4,MText,"L.S. 7",L-SECTION-LSD,9.9979
AF34B7,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
AF34B8,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
AF34B9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
AF5083,BlockReference,"*U49",AS-WILDLIFE-BLOCK,0.99979
AF5092,BlockReference,"*U20",C-SYMBOL,1
AF50A0,BlockReference,"*U49",AS-WILDLIFE-BLOCK,0.99979
AF50AF,BlockReference,"*U20",C-SYMBOL,1
AF50BD,BlockReference,"*U48",AS-WILDLIFE-BLOCK,0.99979
AF50CC,BlockReference,"*U20",C-SYMBOL,1
AF50DA,BlockReference,"*U50",AS-WILDLIFE-BLOCK,0.99979
AF50E9,BlockReference,"*U20",C-SYMBOL,1
AF543B,AlignedDimension,"CNRL  A/R  890345  be Cancelled)",C-AR-T,Compass 5 000
AF549A,AlignedDimension,"Quattro  P/L R/W  030032",F-RW-T,Compass 5 000
AF5654,AlignedDimension,"CNRL  A/R  022929",C-RW-T,Compass 5 000
AF5688,AlignedDimension,"CNRL  A/R  890345  be Cancelled)",C-AR-T,Compass 5 000
AF56B9,AlignedDimension,"CNRL  A/R  890345  be Cancelled)",C-AR-T,Compass 5 000
AF5893,AlignedDimension,"CNRL  P/L R/W  042 2650  022989",C-RW-T,Compass 5 000
AF58BF,AlignedDimension,"CNRL  P/L R/W  042 4912  040078",C-AR-T,Compass 5 000
AF591B,AlignedDimension,"CNRL  A/R  891027",C-AR-T,Compass 5 000
AF593F,AlignedDimension,"Conoco  A/R  951965",F-AR-T,Compass 5 000
AF5CA8,AlignedDimension,"CNRL  A/R  962268",C-AR-T,Compass 5 000
AF5E70,AlignedDimension,"CNRL  A/R  962268",C-AR-T,Compass 5 000
AF5EAA,AlignedDimension,"CNRL  A/R  962268",C-AR-T,Compass 5 000
AF6138,DBText,"Theor. S.W.1/4 Sec. 21-99-11-W.6M.",C-SYMBOL,19.9958
