Handle,ObjType,Content,Layer,Extra
AF3AA2,BlockReference,"L-SECLBL",L-SECLBL,0.9995596
AF3AA8,BlockReference,"L-SECLBL",L-SECLBL,0.9995596
AF3AAE,BlockReference,"L-SECLBL",L-SECLBL,0.9995596
AF3AB4,BlockReference,"L-SECLBL",L-SECLBL,0.9995596
AF3C66,MText,"L.S. 3",L-SECTION-LSD,9.995595999999946
AF3C68,MText,"L.S. 4",L-SECTION-LSD,9.995595999999946
AF3C6A,MText,"L.S. 6",L-SECTION-LSD,9.995595999999946
AF3C6C,MText,"L.S. 5",L-SECTION-LSD,9.995595999999946
AF3C6E,MText,"L.S. 1",L-SECTION-LSD,9.995595999999946
AF3C6F,MText,"L.S. 2",L-SECTION-LSD,9.995595999999946
AF3C71,MText,"L.S. 8",L-SECTION-LSD,9.995595999999946
AF3C72,MText,"L.S. 7",L-SECTION-LSD,9.995595999999946
AF3C74,MText,"L.S. 3",L-SECTION-LSD,9.995595999999946
AF3C76,MText,"L.S. 4",L-SECTION-LSD,9.995595999999946
AF3C78,MText,"L.S. 6",L-SECTION-LSD,9.995595999999946
AF3C7A,MText,"L.S. 5",L-SECTION-LSD,9.995595999999946
AF3C7C,MText,"L.S. 11",L-SECTION-LSD,9.995595999999946
AF3C7E,MText,"L.S. 12",L-SECTION-LSD,9.995595999999946
AF3C80,MText,"L.S. 14",L-SECTION-LSD,9.995595999999946
AF3C81,MText,"L.S. 13",L-SECTION-LSD,9.995595999999946
AF3C83,MText,"L.S. 9",L-SECTION-LSD,9.995595999999946
AF3C85,MText,"L.S. 10",L-SECTION-LSD,9.995595999999946
AF3C87,MText,"L.S. 16",L-SECTION-LSD,9.995595999999946
AF3C89,MText,"L.S. 15",L-SECTION-LSD,9.995595999999946
AF3C8B,MText,"L.S. 11",L-SECTION-LSD,9.995595999999946
AF3C8D,MText,"L.S. 12",L-SECTION-LSD,9.995595999999946
AF3C8F,MText,"L.S. 14",L-SECTION-LSD,9.995595999999946
AF3C90,MText,"L.S. 13",L-SECTION-LSD,9.995595999999946
AF3C92,MText,"L.S. 3",L-SECTION-LSD,9.995595999999946
AF3C94,MText,"L.S. 4",L-SECTION-LSD,9.995595999999946
AF3C96,MText,"L.S. 6",L-SECTION-LSD,9.995595999999946
AF3C98,MText,"L.S. 5",L-SECTION-LSD,9.995595999999946
AF3CA5,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995595999999944
AF3CA6,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995595999999944
AF3CA7,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995595999999944
AF3CA8,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995595999999944
AF3CA9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995595999999944
AF3E43,DBText,"Government Road Allowance",L-ROAD-T,9.995595999999944
AF3E44,DBText,"(Undeveloped)",T-TEXT,9.995595999999944
AF3E50,MText,"CanFor CLR970218",F-WS-T,9.995595999999946
AF44D6,BlockReference,"GAS",F-WS-S,4.999999999999976
AF44D7,BlockReference,"GAS",F-WS-S,4.999999999999976
AF44D8,MText,"CNRL 6-2 (Surface)  MSL 811671",F-WS-T,9.995595999999955
AF44D9,MText,"CNRL 13-4 (Surface)  MSL 054183",F-WS-T,9.995595999999955
AF5959,AlignedDimension,"Hammerhead  P/L R/W  180881",F-RW-T,Compass 5 000
AF5B36,AlignedDimension,"CNRL  P/L R/W  082 7986  060875",F-RW-T,Compass 5 000
AF5BA7,AlignedDimension,"CNRL  A/R  052800",F-AR-T,Compass 5 000
AF5C84,AlignedDimension,"CPEC   P/L R/W  231083",C-RW-T,Compass 5 000
AF5E4C,AlignedDimension,"CNRL  A/R  052800",F-AR-T,Compass 5 000
AF609E,BlockReference,"*U39",0,1
AF60E2,BlockReference,"*U72",AS-WILDLIFE-BLOCK,1
AF614F,AlignedDimension,"PGI  P/L R/W  190496",F-AR-T,Compass 5 000
AF6ACC,AlignedDimension,"CPEC   P/L R/W  231083",C-RW-T,Compass 5 000
AF6AEB,AlignedDimension,"CNRL  A/R  003036  Be Amended)",F-AR-T,Compass 5 000
AF6B51,AlignedDimension,"PGI  P/L R/W  151374",F-AR-T,Compass 5 000
AF6B79,AlignedDimension,"PGI  P/L R/W  151374",F-AR-T,Compass 5 000
AF6BA1,AlignedDimension,"CNRL  A/R  042223",F-AR-T,Compass 5 000
AF6D5B,AlignedDimension,"CNRL  P/L R/W  082 1312  043242",F-AR-T,Compass 5 000
AF6D8C,AlignedDimension,"CNRL  P/L R/W  082 1312  043242",F-AR-T,Compass 5 000
AF6E23,AlignedDimension,"CPEC  A/R  170133  Be Amended)",C-AR-T,Compass 5 000
AF6E61,AlignedDimension,"PGI  P/L R/W  190496",F-AR-T,Compass 5 000
AF6E81,AlignedDimension,"PGI  P/L R/W  151381",F-RW-T,Compass 5 000
AF7049,AlignedDimension,"CNRL  A/R  930167",F-AR-T,Compass 5 000
AF7999,AlignedDimension,"CNRL  A/R  872 1331  870185",F-AR-T,Compass 5 000
AF7B7A,AlignedDimension,"CNRL  P/L R/W  872 1331  870185",F-AR-T,Compass 5 000
AF7D39,AlignedDimension,"CNRL  P/L R/W  082 4896  052605",F-RW-T,Compass 5 000
AF7F04,BlockReference,"*U39",0,1
AF8109,AlignedDimension,"CNRL  P/L R/W  082 1312  043242",F-AR-T,Compass 5 000
AF8131,AlignedDimension,"CNRL  P/L R/W  082 1312  043242",F-AR-T,Compass 5 000
AF94AA,BlockReference,"*U39",0,1
AF94C2,BlockReference,"*U39",0,1
AF94D8,BlockReference,"*U57",0,1
AF9F86,BlockReference,"*U39",0,1
AFA65A,BlockReference,"*U39",0,1
AFC7EB,BlockReference,"FDI",L-MON,4.9999999999999885
AFC7F0,BlockReference,"FDI",L-MON,4.9999999999999885
B0058B,AlignedDimension,"CPEC  A/R  ______",C-AR-T,Compass 5 000
B0805C,MText,"Fd.I.",L-MON,9.995595999999985
B08066,MText,"Fd.I.  Mp.",L-MON,9.995595999999985
B090CF,BlockReference,"*U59",DETAIL-T,1
B092AC,BlockReference,"*U60",L-BD,1
B09320,BlockReference,"*U61",DETAIL-T,1
B0C9DE,MText,"Theor. S.W.1/4  Sec. 2-65-3-W.6M.",C-SYMBOL,19.991191999999973
B0CB7C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992953599999971
B13395,MText,"Winter Access",T-TEXT,9.995595999999987
B13396,MText,"Winter Access",T-TEXT,9.995595999999987
B13397,MText,"Winter Access",T-TEXT,9.995595999999987
B1339C,MText,"Winter Access",T-TEXT,9.995595999999987
B19DB3,AlignedDimension,"CNRL  A/R  003036  Be Amended)",F-AR-T,Compass 5 000
B1FD8A,AlignedDimension,"8.00 A/R",P-TXT,Compass 5 000
B1FDA9,AlignedDimension,"8.00 A/R",P-TXT,Compass 5 000
B1FDC8,AlignedDimension,"8.00 A/R",P-TXT,Compass 5 000
B1FDE7,AlignedDimension,"8.00 A/R",P-TXT,Compass 5 000
B1FE06,AlignedDimension,"8.00 A/R",P-TXT,Compass 5 000
B271E7,MText,"(2) Buried Pipes",AS-PIPE-UG,9.99559599999999
B271E9,BlockReference,"xing2",P-CROSSINGS,0.9995596
B2A24C,AlignedDimension,"8.00 A/R",P-TXT,Compass 5 000
B2CF77,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992953599999986
B2CF79,MText,"Theor. S.W.1/4  Sec. 9-65-3-W.6M.",C-SYMBOL,19.991191999999984
