Handle,ObjType,Content,Layer,Extra
AF2755,DBText,"20.12 Government Road Allowance",L-ROAD-T,10.000000000000034
AF2756,DBText,"(Undeveloped)",T-TEXT,10.000000000000034
AF2757,DBText,"20.12 Government Road Allowance",L-ROAD-T,10.000000000000032
AF2758,DBText,"(Undeveloped)",T-TEXT,10.000000000000032
AF2759,DBText,"20.12 Government Road Allowance",L-ROAD-T,10.000000000000032
AF275A,DBText,"(Undeveloped)",T-TEXT,10.000000000000032
AF275B,BlockReference,"L-SECLBL",L-SECLBL,1
AF27A9,DBText,"N.W.1/4 Sec. 34-43-5-W.5M.",C-SYMBOL,20.000000000000068
AF27AA,DBText,"S.W.1/4 Sec. 34-43-5-W.5M.",C-SYMBOL,20.000000000000068
AF27AB,MText,"L.S. 11",L-SECTION-LSD,10.000000000000034
AF27AD,MText,"L.S. 12",L-SECTION-LSD,10.000000000000034
AF27AF,MText,"L.S. 14",L-SECTION-LSD,10.000000000000034
AF27B0,MText,"L.S. 13",L-SECTION-LSD,10.000000000000034
AF27B2,MText,"L.S. 3",L-SECTION-LSD,10.000000000000034
AF27B4,MText,"L.S. 4",L-SECTION-LSD,10.000000000000034
AF27B6,MText,"L.S. 6",L-SECTION-LSD,10.000000000000034
AF27B8,MText,"L.S. 5",L-SECTION-LSD,10.000000000000034
AF27BA,BlockReference,"*U55",C-SYMBOL,1
AF27CA,MText,"Texas 14-34 (Surface) MSL 980487 (Expired)",F-WS-T,10.000000000000034
AF27CB,AlignedDimension,"Tamarack  A/R  030598",C-AR-T,Compass 5 000
AF27CC,AlignedDimension,"Jayhawk  P/L R/W  092 9934  051380",F-RW-T,Compass 5 000
AF27CD,AlignedDimension,"Tamarack  A/R  980343  be Cancelled)",C-AR-T,Compass 5 000
AF27CE,BlockReference,"*U32",C-SYMBOL,1
AF27DD,AlignedDimension,"Jayhawk  P/L R/W  092 9934  073289",F-RW-T,Compass 5 000
AF27F3,MText,"Weyerhaeuser CLR980024",F-WS-T,10.000000000000034
AF27F7,BlockReference,"*U30",AS-WILDLIFE-BLOCK,1
AF2806,BlockReference,"*U31",AS-WILDLIFE-BLOCK,1
AF2815,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,10.000000000000034
AF2817,BlockReference,"GABD",F-WS-S,5.000000000000017
AF2818,MText,"14-34 (Abd.)",F-WS-T,10.000000000000034
AF281A,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,10.000000000000034
AF3333,MText,"Twp. 44",D-TXT,13.996461360000032
AF3338,MText,"Twp. 43",D-TXT,13.996461360000032
AF3E30,MText,"Sharp Tailed Grouse Range Boundary",AS-WILDLIFE,10.000000000000032
AF3E32,AlignedDimension,"30.48 Road  2639 PX",L-TITLEDB-T,Compass 5 000
AF791D,BlockReference,"FDI",L-MON,5.000000000000013
AF7922,BlockReference,"FDI",L-MON,5.000000000000013
AF7927,BlockReference,"FDI",L-MON,5.000000000000013
AFA424,DBText,"10m High Grade Gravel Road",T-TEXT,9.9974724
AFDBD8,BlockReference,"TEMP",L-MON,4.9987362
AFDBD9,BlockReference,"TEMP",L-MON,4.9987362
AFDBDA,BlockReference,"TEMP",L-MON,4.9987362
AFDBDB,BlockReference,"TEMP",L-MON,4.9987362
AFDBDC,BlockReference,"TEMP",L-MON,4.9987362
AFDBDD,BlockReference,"TEMP",L-MON,4.9987362
AFDBDE,BlockReference,"TEMP",L-MON,4.9987362
AFDBDF,BlockReference,"TEMP",L-MON,4.9987362
AFE918,BlockReference,"TEMP",L-MON,4.9987362
AFE919,BlockReference,"TEMP",L-MON,4.9987362
AFE91A,BlockReference,"TEMP",L-MON,4.9987362
AFE91B,BlockReference,"TEMP",L-MON,4.9987362
AFE91D,BlockReference,"TEMP",L-MON,4.9987362
AFF134,DBText,"17°00'20''",L-BD1,9.9974724
AFF136,DBText,"18°21'00''",L-BD1,9.9974724
AFF145,MText,"40.11 37°19'10''",L-BD1,9.9974724
AFF146,MText,"32.82 39°24'15''",L-BD1,9.9974724
AFF233,DBText,"53°14'25''",L-BD1,9.9974724
AFF3E6,BlockReference,"TEMP",L-MON,4.9987362
B00821,DBText,"59°31'55''",L-BD1,9.9974724
B00928,AlignedDimension,"Tamarack  A/R  980343  be Cancelled)",C-AR-T,Compass 5 000
B00954,MText,"Texas 14-34 (Surface) MSL 980487 (Expired)",F-WS-T,10.000000000000034
B00955,AlignedDimension,"Tamarack  A/R  030598",C-AR-T,Compass 5 000
B0097C,AlignedDimension,"Jayhawk  P/L R/W  092 9934  051380",F-RW-T,Compass 5 000
B009C2,DBText,"5m Medium Grade Gravel Road",T-TEXT,9.9974724
B00AE1,AlignedDimension,"Tamarack  A/R  980343  be Cancelled)",C-AR-T,Compass 5 000
B00B50,MText,"54.20 59°31'55''",L-BD1,9.9974724
B00C35,BlockReference,"*U27",DETAIL-T,0.99974724
B00C43,MText,"DETAIL 'A'",DETAIL-T,19.9949448
B00C5B,MText,"SEE DETAIL 'A'",DETAIL-T,15.995955840000043
B00E3E,BlockReference,"TEMP",L-MON,4.9987362
B00E49,MText,"20.13 calc.",L-BD,9.9974724
B00E4B,BlockReference,"TEMP",L-MON,4.9987362
B00E4C,BlockReference,"TEMP",L-MON,4.9987362
B00E50,DBText,"354°30'25''",L-BD1,9.9974724
B00F53,MText,"17.70 337°28'35''",L-BD1,9.9974724
B00F56,MText,"337°28'35'' 143.67",L-BD1,9.9974724
B01043,DBText,"333°49'25''",L-BD1,9.9974724
B0104E,DBText,"341°14'00''",L-BD1,9.9974724
B01051,DBText,"352°33'30''",L-BD1,9.9974724
B01055,MText,"2°14'10'' 62.59",L-BD1,9.9974724
B0105A,DBText,"177°",L-BD,9.9974724
B0105C,DBText,"30''",L-BD,9.9974724
B010C5,BlockReference,"FDI",L-MON,4.9987362
B010C6,BlockReference,"TEMP",L-MON,4.9987362
B010C7,BlockReference,"TEMP",L-MON,4.9987362
B010C8,BlockReference,"TEMP",L-MON,4.9987362
B01764,MText,"20.13 calc.",L-BD,9.9974724
B01CAB,MText,"Fd.I. Mp.(0.3S) E.1/4 33",L-MON,10.000091223889692
B01CC7,AlignedDimension,"Tamarack  A/R  980343  be Cancelled)",C-AR-T,Compass 5 000
B01D00,AlignedDimension,"Jayhawk  P/L R/W  092 9934  051380",F-RW-T,Compass 5 000
B01D30,AlignedDimension,"15.00 A/R",P-TXT,Compass 5 000
B01D57,AlignedDimension,"15.00 A/R",P-TXT,Compass 5 000
B01E6A,DBText,"19°35'35''",L-BD1,9.9974724
B01E6B,MText,"88°40'20'' 4.99",L-BD1,9.9974724
B01E6E,DBText,"354°30'25''",L-BD1,9.9974724
B01E6F,MText,"E.-W. 1/4 Line",L-QSEC,9.9974724
B01E70,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,10.000000000000034
B01E87,DBText,"177°",L-BD,9.9974724
B01E89,DBText,"20'",L-BD,9.9974724
B01F7C,MText,"177°20'30''",L-BD,9.9974724
B039A3,DBText,"(Undeveloped)",T-TEXT,10.000000000000032
B039A4,DBText,"20'",L-BD,9.9974724
B039A5,MText,"Fd.I. c.s. 0.1 R19",L-MON,10.000091223889692
B03FCC,MText,"Fd.I. Mp.(0.3E) N.E. 28",L-MON,10.000091223889692
B055A8,AlignedDimension,"Variable Width",P-TXT,Compass 5 000
B055E4,BlockReference,"*U27",DETAIL-T,0.99974724
B055F2,MText,"DETAIL 'B'",DETAIL-T,19.9949448
B05617,MText,"SEE DETAIL 'B'",DETAIL-T,15.995955840000043
B058E3,DBText,"88°40'20''",L-BD1,9.9974724
B05AEE,BlockReference,"L-SECLBL",L-SECLBL,0.99974724
B05AF7,DBText,"N.E.1/4 Sec. 33-43-5-W.5M.",C-SYMBOL,19.9949448
B05AF8,DBText,"Access Road = 0.050 ha  0.12 Ac.",L-AREAREQUIRED,10.99721964000002
B05AFA,DBText,"S.E.1/4 Sec. 33-43-5-W.5M.",C-SYMBOL,19.9949448
B05AFB,DBText,"Access Road = 0.170 ha  0.42 Ac.",L-AREAREQUIRED,10.99721964000002
B05AFD,DBText,"Access Road = 1.472 ha  3.64 Ac.",L-AREAREQUIRED,10.99721964000002
B05AFF,DBText,"Access Road = 0.638 ha  1.58 Ac.",L-AREAREQUIRED,10.99721964000002
B05B06,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,10.000000000000034
B05B08,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,10.000000000000034
B05C32,AlignedDimension,"30.48 Road  2639 PX",L-TITLEDB-T,Compass 5 000
B05C59,AlignedDimension,"Jayhawk  P/L R/W  092 9934  073289",F-RW-T,Compass 5 000
B06335,MText,"Sharp Tailed Grouse Range Boundary",AS-WILDLIFE,10.000000000000034
B06596,MText,"L.S. 1",L-SECTION-LSD,9.9974724
B06597,MText,"L.S. 2",L-SECTION-LSD,9.9974724
B06599,MText,"L.S. 8",L-SECTION-LSD,9.9974724
B0659A,MText,"L.S. 7",L-SECTION-LSD,9.9974724
B0659C,MText,"L.S. 9",L-SECTION-LSD,9.9974724
B0659E,MText,"L.S. 10",L-SECTION-LSD,9.9974724
B065A0,MText,"L.S. 16",L-SECTION-LSD,9.9974724
B065A2,MText,"L.S. 15",L-SECTION-LSD,9.9974724
B065A5,DBText,"20.12 Government Road Allowance",L-ROAD-T,10.000000000000034
B065A6,DBText,"(Undeveloped)",T-TEXT,10.000000000000034
