Handle,ObjType,Content,Layer,Extra
AF29C3,BlockReference,"L-SECLBL",L-SECLBL,0.9995660000000133
AF29CD,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995660000000107
AF29DE,MText,"Theor. S.W.1/4  Sec. 23-65-3-W.6M.",C-SYMBOL,20.000000000000213
AF29DF,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.00000000000019
AF29E8,MText,"7m High Grade Gravel Road",AS-GENERAL,9.995660000000107
AF29EA,MText,"Pad",AS-GENERAL,9.995660000000107
AF29EB,MText,"Trapper Cabin",AS-GENERAL,9.995660000000107
AF2A3E,AlignedDimension,"Veren  A/R  190011",C-AR-T,Compass 5 000
AF2A3F,MText,"Veren Work Camp  DML 190004",C-WS-T,9.995660000000116
AF2A42,AlignedDimension,"CNRL  P/L R/W  812 0880  800695",F-RW-T,Compass 5 000
AF2A43,AlignedDimension,"CNRL  P/L R/W  902 1996  890733",F-RW-T,Compass 5 000
AF2A44,AlignedDimension,"Pembina  P/L R/W  150672",F-RW-T,Compass 5 000
AF2A54,BlockReference,"*U29",0,1
AF8DEC,AlignedDimension,"Veren  A/R  781379  II)",C-AR-T,Compass 5 000
B0B742,MText,"SEE DETAIL",DETAIL-T,15.993096000000191
B0E1CC,MText,"Fd.I. Mp.",L-MON-T,9.995660000000116
B0E1CE,MText,"Fd.I. Mp.",L-MON-T,9.995660000000116
B196EF,DBText,"322.75 (Tie)",L-BD,9.995685000000089
B196F0,DBText,"157°29'50''",L-BD,9.995685000000089
B2D6EA,MText,"30m FNC Buffer",P-BUFFER-T,9.995660000000107
B3AFE0,BlockReference,"xing2",P-CROSSINGS,0.9995685
B3AFE7,BlockReference,"xing2",P-CROSSINGS,0.9995685
B3AFEE,BlockReference,"xing2",P-CROSSINGS,0.9995685
B3AFFC,MText,"Wooded Coniferous Swamp",WETLAND-T,9.995685000000096
B3AFFD,BlockReference,"xing2",P-CROSSINGS,0.9995685
B4A3E2,MText,"Wooded Coniferous Swamp",WETLAND-T,9.995685000000096
B4A3E3,AlignedDimension,"CNRL  A/R  781106  II)",F-AR-T,Compass 5 000
B4A45E,MText,"Shrubby Swamp",WETLAND-T,9.995685000000096
B4AC5D,MText,"Shrubby Swamp",WETLAND-T,9.995685000000096
B53DBB,AlignedDimension,"CNR  Railway  792 0886",L-TITLEDB-T,Compass 5 000
B57144,BlockReference,"Temp_Area",P-TEMP-BLOCKS,0.9995685
B57C7E,BlockReference,"FDI",L-MON,5.000000000000032
B59953,BlockReference,"FDI",L-MON,4.99784250000003
B5AA70,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995660000000107
B5AA73,MText,"Wooded Coniferous Swamp",WETLAND-T,9.995685000000096
B5AA80,MText,"Shrubby Swamp",WETLAND-T,9.995685000000096
B5AA82,MText,"Wooded Coniferous Swamp",WETLAND-T,9.995685000000096
B5AA83,MText,"Shrubby Swamp",WETLAND-T,9.995685000000096
B5AA8B,MText,"0.9m Culvert",AS-GENERAL,9.995685000000096
B5AA8C,MText,"1.2m Culvert",AS-GENERAL,9.995685000000096
B5AA8E,MText,"6m High Grade Gravel Road",AS-GENERAL,9.995660000000107
B5AA8F,MText,"0.5m Culvert",AS-GENERAL,9.995685000000096
B5AA91,MText,"Low Area",AS-GENERAL,9.995685000000096
B5AA92,MText,"Low Area",AS-GENERAL,9.995685000000096
B5AB13,DBText,"35''",L-BD,9.995685000000089
B5AB16,AlignedDimension,"Veren  A/R  781379  II)",C-AR-T,Compass 5 000
B5AB17,MText,"Veren Riser Site PIL 240313",C-WS-T,9.99137186192259
B5AB19,MText,"Veren Riser Site PIL 240314",C-WS-T,9.99137186192259
B5AB1D,AlignedDimension,"CNRL  A/R  781106  II)",F-AR-T,Compass 5 000
B5AB21,MText,"Ephemeral Draw",T-WATER-T,9.995685000000096
B5AB23,MText,"Ephemeral Draw",T-WATER-T,9.995685000000096
B5AB51,BlockReference,"xing2",P-CROSSINGS,0.9995685
B5AB58,BlockReference,"xing2",P-CROSSINGS,0.9995685
B5AB5F,BlockReference,"xing2",P-CROSSINGS,0.9995685
B5AB66,BlockReference,"xing2",P-CROSSINGS,0.9995685
B5D292,BlockReference,"TEMP",L-MON,4.99784250000003
B5D293,BlockReference,"TEMP",L-MON,4.99784250000003
B5D294,BlockReference,"TEMP",L-MON,4.99784250000003
B5D2A5,DBText,"59°",L-BD,9.99568500000006
B5D2A7,DBText,"35''",L-BD,9.99568500000006
B5D2A8,DBText,"55'",L-BD,9.99568500000006
B5DAC4,DBText,"322.75 (Tie)",L-BD,9.995685000000089
B5DAC5,DBText,"157°29'50''",L-BD,9.995685000000089
B5FD20,BlockReference,"*U35",P-TEMP-BLOCKS,0.9995685
B5FD43,BlockReference,"TEMP",L-MON,4.99784250000003
B5FD44,BlockReference,"TEMP",L-MON,4.99784250000003
B5FD4D,DBText,"149°",L-BD,9.995685000000089
B5FD4E,MText,"55'",L-BD,9.995685000000089
B617C7,BlockReference,"RP",L-MON,0.9995685
B76073,MText,"149°",L-BD,9.995685000000089
B76074,MText,"55'",L-BD,9.995685000000089
B76075,MText,"35''",L-BD,9.995685000000089
B76076,MText,"325.87 (Tie)",L-BD,9.995685000000089
B76077,MText,"171°42'20''",L-BD,9.995685000000089
B8282C,MText,"20cm Spruce, Poplar, Birch",T-BUSH,10.00384848051052
B88B85,BlockReference,"TEMP",L-MON,4.997842500000012
B8A755,MText,"54.9 calc.",P-TXT,9.99568500000006
B8AFB1,MText,"325.87 (Tie)",L-BD,9.995685000000089
B8AFB2,MText,"171°42'20''",L-BD,9.995685000000089
B8B8FD,MText,"Signs",AS-GENERAL,9.995685000000096
B8C137,MText,"Concrete Barriers",AS-GENERAL,9.995685000000096
BC3BC2,AlignedDimension,"CNR  Width Railway  792 0886",L-TITLEDB-T,Compass 5 000
BDBA5F,BlockReference,"res_other",AS-RESIDENCE,4.997842500000011
BFBE6D,MText,"Railway Mile Marker 178",AS-GENERAL,9.995685000000096
C063E9,MText,"20cm Spruce, Poplar, Birch",T-BUSH,10.00384848051052
C10240,AlignedDimension,"Veren  A/R  241736",C-AR-T,Compass 5 000
C108F6,AlignedDimension,"Veren  A/R  241737",C-AR-T,Compass 5 000
C10F7D,BlockReference,"*U46",AS-WILDLIFE-BLOCK,0.9995685
C1853B,BlockReference,"*U35",P-TEMP-BLOCKS,0.9995685
C18601,BlockReference,"Temp_Area",P-TEMP-BLOCKS,0.9995685
C1C8E8,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.5
