Handle,ObjType,Content,Layer,Extra
BC6AAA,BlockReference,"L-SECLBL",L-SECLBL,1
BC8549,BlockReference,"*U36",AS-OWNER,1
BC8599,BlockReference,"GABD",F-WS-S,5.000000000000009
BC8DA7,MText,"Canlin (6-25 Surface) MSL 6227 (Expired, To be Cancelled)",C-WS-T,10.005030929752738
BC8DB2,AlignedDimension,"Canlin  P/L R/W  841 0885  830429",C-RW-T,Compass 5 000
BC8DBE,AlignedDimension,"Canlin  P/L R/W  6940 JK  3525",C-RW-T,Compass 5 000
BC8DCB,AlignedDimension,"Canlin  P/L R/W  741 1069  5261",C-RW-T,Compass 5 000
BC9653,AlignedDimension,"Canlin  P/L R/W  781 0551",C-RW-T,Compass 5 000
BCAEDC,BlockReference,"FDI",L-MON,5.000000000000007
BCAEE6,BlockReference,"FDI",L-MON,5.000000000000007
BCAEF0,BlockReference,"plspike",L-MON,5.000000000000007
BCAEF5,BlockReference,"plspike",L-MON,5.000000000000007
BCAEFA,BlockReference,"plspike",L-MON,5.000000000000007
BCAEFF,BlockReference,"plspike",L-MON,5.000000000000007
BCAF5F,BlockReference,"GAS",C-WS-S,5.000000000000007
BCAF88,BlockReference,"PIG",AS-SYMBOL,5.000000000000007
BCAF8D,BlockReference,"RISER",AS-SYMBOL,5.000000000000007
BCAF92,BlockReference,"RISER",AS-SYMBOL,5.000000000000007
BCAF97,BlockReference,"RISER",AS-SYMBOL,5.000000000000007
BCAF9C,BlockReference,"RISER",AS-SYMBOL,5.000000000000007
BCAFC9,BlockReference,"RISER",AS-SYMBOL,5.000000000000007
BCFF7A,MText,"Fd.I. c.s. N.1/4 24",L-MON,9.995465600000013
BD0F60,BlockReference,"TEMP",L-MON,5.0000000000000036
BD0F61,BlockReference,"TEMP",L-MON,5.0000000000000036
BD0F62,BlockReference,"TEMP",L-MON,5.0000000000000036
BD0F63,BlockReference,"TEMP",L-MON,5.0000000000000036
BD0F64,BlockReference,"TEMP",L-MON,5.0000000000000036
BD5E48,BlockReference,"TEMP",L-MON,4.997732800000001
