Handle,ObjType,Content,Layer,Extra
BB7E77,BlockReference,"fdspike",L-MON,4.997471899999996
BB7E7C,BlockReference,"fdspike",L-MON,4.999999999999925
BB937E,BlockReference,"L-SECLBL",L-SECLBL,0.99949438
BB9395,MText,"Rge. 26",D-TXT,13.992921319999853
BB9396,MText,"Rge. 25",D-TXT,13.992921319999853
BB93A5,MText,"Twp. 63",D-TXT,13.992921319999855
BB93A6,MText,"Twp. 64",D-TXT,13.992921319999855
BBA385,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994943799999852
BBAB77,MText,"L.S. 3",L-SECTION-LSD,9.994943799999854
BBAB79,MText,"L.S. 4",L-SECTION-LSD,9.994943799999854
BBAB7B,MText,"L.S. 6",L-SECTION-LSD,9.994943799999854
BBAB7D,MText,"L.S. 5",L-SECTION-LSD,9.994943799999854
BC021D,DBText,"Theor. S.W.1/4 Sec. 6-64-25-W.5M.",C-SYMBOL,19.989887599999708
BC023C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991910079999778
BC8E7C,MText,"Ephemeral Draw",T-WATER-T,9.999999999999858
BC8E7E,MText,"Wooded Coniferous Swamp",WETLAND-T,9.999999999999858
BD0F29,AlignedDimension,"Veren  A/R  ______",C-AR-T,Compass 5 000
BD0F36,AlignedDimension,"Veren  A/R  060457  be Cancelled)",C-AR-T,Compass 5 000
BD6B7A,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.994943799999854
BD7D36,MText,"TPA 813",AS-TRAPPER-T,11.993932559999866
BD7D38,MText,"TPA 1509",AS-TRAPPER-T,11.993932559999866
BD7D3A,MText,"TPA 813",AS-TRAPPER-T,11.993932559999866
BD7D3C,MText,"TPA 702",AS-TRAPPER-T,11.993932559999866
BDC034,MText,"5m High Grade Gravel Road",T-TEXT,9.999999999999858
C1396F,BlockReference,"xing2",P-CROSSINGS,0.99949438
C1A350,MText,"Logan 6-6 (Surface) MSL 042620",F-WS-T,9.994943799999854
C1A352,AlignedDimension,"Logan  P/L R/W  121014",F-RW-T,Compass 5 000
C1A35F,AlignedDimension,"Logan  A/R  120885",F-AR-T,Compass 5 000
C1AC36,MText,"Logan Riser Site PIL 130327",F-WS-T,9.994943799999854
C1AC39,AlignedDimension,"Canfor  A/R  800688",F-AR-T,Compass 5 000
C1AC61,AlignedDimension,"Logan  P/L R/W  042732",F-RW-T,Compass 5 000
C1AC89,AlignedDimension,"Logan  P/L R/W  182 2427  052201",F-RW-T,Compass 5 000
C1C474,BlockReference,"TEMP",L-MON,4.997471899999996
C1F889,DBText,"143°35'25''",L-BD1,9.994943799999882
C21267,MText,"Re-est. Position by LOC 060457",L-MON,9.994943799999854
C21269,MText,"Re-est. Position by LOC 060457",L-MON,9.994943799999854
CBF698,BlockReference,"TEMP",L-MON,4.997471899999996
CC3446,MText,"155.21 149°22'30''",L-BD1,9.994943799999882
CE0C86,AlignedDimension,"Veren  A/R  060457  be Reclaimed)",C-AR-T,Compass 5 000
CE9D04,BlockReference,"TEMP",L-MON,4.997471899999996
CEAFCA,DBText,"248°42'15''",L-BD,9.994943799999993
CEB02B,DBText,"143°04'30''",L-BD,9.994943799999993
CEB952,BlockReference,"*U24",DETAIL-T,0.99949438
CEB964,BlockReference,"*U24",DETAIL-T,0.99949438
CEB976,MText,"Fd.I. Sta. 5001 (13-4) Unregistered by All West Surveys",L-MON,9.994943799999854
CEB978,MText,"Fd.I. Sta. 5002 (13-4) Unregistered by All West Surveys",L-MON,9.994943799999854
CEB97A,BlockReference,"FDI",L-MON,4.999999999999925
CEB97B,BlockReference,"FDI",L-MON,4.999999999999925
CEB9A8,BlockReference,"linebrk",L-TIE,4997.471899999996
CEB9AB,BlockReference,"linebrk",L-TIE,4997.471899999996
CEB9AC,MText,"253°13'50'' 2742.77 (Tie)",L-BD,9.994943799999993
CEB9AD,MText,"73°22'26'' 3119.17 (Tie)",L-BD,9.994943799999993
CEB9AF,DBText,"0°29'25''",L-BD,9.994943799999865
CEC1C7,BlockReference,"*U25",P-EXISTINGCUT,1
CEC1F7,MText,"Re-est. Position by LOC 060457",L-MON,9.994943799999854
CEC20C,AlignedDimension,"Veren  A/R  ______",C-AR-T,Compass 5 000
CF54FB,MText,"Borrow Pit",T-EXISTING RTF-T,9.999999999999858
CF54FD,MText,"Log Deck",T-EXISTING RTF-T,9.999999999999858
CF5501,MText,"15.0x15.0 Corner Cut",P-TXT,9.999999999999858
CF7386,MText,"269°44'",L-BD,9.9949438
CFAD6E,BlockReference,"Disclaimer_Legal",0,1
