Handle,ObjType,Content,Layer,Extra
AF3F1B,MText,"Twp. 77",D-TXT,13.994486939999907
AF3F1C,MText,"Twp. 78",D-TXT,13.994486939999907
AF6692,BlockReference,"L-SECLBL",L-SECLBL,0.99960621
AF6698,BlockReference,"L-SECLBL",L-SECLBL,0.99960621
AF682C,BlockReference,"L-SECLBL",L-SECLBL,0.99960621
AF8BDE,MText,"L.S. 9",L-SECTION-LSD,9.996062099999968
AF8BE0,MText,"L.S. 10",L-SECTION-LSD,9.996062099999968
AF8BE2,MText,"L.S. 16",L-SECTION-LSD,9.996062099999968
AF8BE4,MText,"L.S. 15",L-SECTION-LSD,9.996062099999968
AF8BE6,MText,"L.S. 11",L-SECTION-LSD,9.996062099999968
AF8BE8,MText,"L.S. 12",L-SECTION-LSD,9.996062099999968
AF8BEA,MText,"L.S. 14",L-SECTION-LSD,9.996062099999968
AF8BEB,MText,"L.S. 13",L-SECTION-LSD,9.996062099999968
AF8BED,MText,"L.S. 9",L-SECTION-LSD,9.996062099999968
AF8BEF,MText,"L.S. 10",L-SECTION-LSD,9.996062099999968
AF8BF1,MText,"L.S. 16",L-SECTION-LSD,9.996062099999968
AF8BF3,MText,"L.S. 15",L-SECTION-LSD,9.996062099999968
AF8BF5,MText,"L.S. 11",L-SECTION-LSD,9.996062099999968
AF8BF7,MText,"L.S. 12",L-SECTION-LSD,9.996062099999968
AF8BF9,MText,"L.S. 14",L-SECTION-LSD,9.996062099999968
AF8BFA,MText,"L.S. 13",L-SECTION-LSD,9.996062099999968
B00E7F,MText,"KinMerc 7-1 (Surface) MSL 920006 (Expired)",C-WS-T,9.996062099999978
B00E81,MText,"L.S. 1",L-SECTION-LSD,9.996062099999978
B00E82,MText,"L.S. 2",L-SECTION-LSD,9.996062099999978
B00E84,MText,"L.S. 8",L-SECTION-LSD,9.996062099999978
B00E85,MText,"L.S. 7",L-SECTION-LSD,9.996062099999978
B01F39,AlignedDimension,"KinMerc  A/R  920048  be Cancelled)",C-AR-T,Compass 5 000
B02FDA,MText,"Sabanero 12-5 (Surface) MSL 811810",F-WS-T,9.996062099999978
B047B2,MText,"Spoke 16-6 (Surface) MSL 112030",F-WS-T,9.996062099999978
B047B3,AlignedDimension,"Spoke  A/R  121780",F-AR-T,Compass 5 000
B04FC1,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996062099999978
B04FC2,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996062099999978
B04FC3,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996062099999978
B06C1A,BlockReference,"*U27",0,0.99960621
B0724E,MText,"Rge. 11",D-TXT,13.994486939999959
B0724F,MText,"Rge. 10",D-TXT,13.994486939999959
B09862,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993699359999937
B09864,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993699359999937
B09866,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993699359999937
B09868,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993699359999937
B0986A,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993699359999937
B0986C,BlockReference,"*U27",0,0.99960621
B0A629,BlockReference,"*U27",0,0.99960621
B0A637,BlockReference,"*U27",0,0.99960621
B0C40C,BlockReference,"FDI",L-MON,4.9999999999999805
B0C41A,BlockReference,"FDI",L-MON,4.9999999999999805
B0C721,BlockReference,"GAS",AS-SYMBOL,4.9999999999999805
B0E54E,MText,"10cm Black Spruce",T-BUSH-T,9.996062099999985
B0E54F,MText,"40cm Poplar & Spruce",T-BUSH-T,9.996062099999985
B0E550,MText,"10cm Black Spruce",T-BUSH-T,9.996062099999985
B0E551,MText,"40cm Poplar & Spruce",T-BUSH-T,9.996062099999985
B0E552,MText,"40cm Poplar & Spruce",T-BUSH-T,9.996062099999985
B0E553,MText,"50cm Poplar & Spruce",T-BUSH-T,9.996062099999985
B0F024,AlignedDimension,"Spoke  A/R  111846",F-AR-T,Compass 5 000
B0F056,AlignedDimension,"KinMerc  A/R  811344",C-AR-T,Compass 5 000
B0F2A9,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B0FCB1,BlockReference,"GABD",F-WS-S,4.9980310499999945
B0FCB2,BlockReference,"GABD",F-WS-S,4.9980310499999945
B0FFE9,MText,"Theor. N.E.1/4 Sec. 1-78-11-W.5M.",C-SYMBOL,19.99212419999993
B0FFEA,MText,"Theor. N.W.1/4 Sec. 6-78-10-W.5M.",C-SYMBOL,19.99212419999993
B0FFEB,MText,"Theor. N.E.1/4 Sec. 6-78-10-W.5M.",C-SYMBOL,19.99212419999993
B0FFEC,MText,"Theor. N.W.1/4 Sec. 5-78-10-W.5M.",C-SYMBOL,19.99212419999993
B0FFED,MText,"Theor. S.E.1/4 Sec. 1-78-11-W.5M.",C-SYMBOL,19.992124199999957
B107F2,MText,"Fd.I. Sta. 2 W/S Plan 123089",L-MON,9.99612990088585
B1127B,AlignedDimension,"KinMerc  A/R  920048  To be Cancelled)",C-AR-T,Compass 5 000
B113A1,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B113D1,AlignedDimension,"KinMerc  A/R  920048  To be Cancelled)",C-AR-T,Compass 5 000
B11401,AlignedDimension,"KinMerc  A/R  920048  To be Cancelled)",C-AR-T,Compass 5 000
B11431,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B11640,MText,"Est. Position by LOC 920003",L-MON,9.99612990088585
B11928,MText,"16-6 (Abd.)",F-WS-T,9.996062099999978
B11A1A,BlockReference,"TEMP",L-MON,4.998031049999995
B11A1B,BlockReference,"TEMP",L-MON,4.998031049999995
B11A1C,BlockReference,"TEMP",L-MON,4.998031049999995
B11A1D,BlockReference,"TEMP",L-MON,4.998031049999995
B11A48,DBText,"88°51'30''",L-BD1,9.99606209999999
B11A4A,DBText,"88°52'20''",L-BD1,9.99606209999999
B11A70,DBText,"88°56'20''",L-BD1,9.99606209999999
B11A72,DBText,"89°06'10''",L-BD1,9.99606209999999
B1234A,DBText,"3m High Grade Gravel Road",T-TEXT,9.99606209999999
B12390,BlockReference,"*U37",DETAIL-T,0.99960621
B1251F,BlockReference,"*U38",DETAIL-T,0.99960621
B12601,DBText,"RP",35,9.996062099999993
B12603,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.996062099999978
B12604,AlignedDimension,"Tolko  A/R  942564",F-AR-T,Compass 5 000
B12662,AlignedDimension,"KinMerc  A/R  920207",C-AR-T,Compass 5 000
B12D6C,DBText,"3m High Grade Gravel Road",T-TEXT,9.99606209999999
B14E70,MText,"69°39'10'' 31.04",L-BD1,9.99606209999999
B14E7A,AlignedDimension,"KinMerc  A/R  920003",C-AR-T,Compass 5 000
B14E9E,AlignedDimension,"KinMerc  A/R  920003",C-AR-T,Compass 5 000
B15539,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B160AB,MText,"Rge. 11",D-TXT,13.994486939999959
B160AC,MText,"Rge. 10",D-TXT,13.994486939999959
B160BD,BlockReference,"*U27",0,0.99960621
B19D08,DBText,"1570.03 (Tie)",L-BD,9.996062099999994
B19D09,DBText,"119°50'40''",L-BD,9.996062099999994
B19D0A,DBText,"1907.00 (Tie)",L-BD,9.996062099999994
B19D0B,DBText,"134°05'30''",L-BD,9.996062099999994
B1A282,DBText,"Fd.I.",L-MON,9.99612990088585
B1A284,DBText,"W/S Plan 123089",L-MON,9.99612990088585
B1A285,MText,"Sta. 6",L-MON,9.99612990088585
B1AFB6,BlockReference,"TEMP",L-MON,4.998031049999996
B1B8BD,DBText,"2102.19 (Tie)",L-TIE-T,9.9960621
B1B8BE,DBText,"253°26'53''",L-TIE-T,9.9960621
B1BE2F,DBText,"89°14'50''",L-BD1,9.9960621
B1C39C,BlockReference,"TEMP",L-MON,4.99803105
B1CA16,DBText,"178°46'",L-BD,9.9960621
B1CAD6,BlockReference,"TEMP",L-MON,4.99803105
B1CAD7,BlockReference,"TEMP",L-MON,4.99803105
B1D802,DBText,"89°14'50''",L-BD1,9.9960621
B1D803,MText,"Est. Position by LOC 920003",L-MON,9.99612990088585
B1D80A,DBText,"69°39'10''",L-BD1,9.9960621
B1D80B,MText,"Est. Position by LOC 920003",L-MON,9.99612990088585
B1D80E,MText,"Est. Position by LOC 920003",L-MON,9.99612990088585
B1D810,MText,"69°39'10'' 28.48",L-BD,9.9960621
B1D812,DBText,"1570.03 (Tie)",L-BD,9.996062099999994
B1D813,DBText,"119°50'40''",L-BD,9.996062099999994
B1D816,DBText,"3m High Grade Gravel Road",T-TEXT,9.99606209999999
B1DE80,MText,"40cm Poplar & Spruce",T-BUSH-T,9.996062099999985
B1DE81,MText,"50cm Poplar & Spruce",T-BUSH-T,9.996062099999985
B1DE91,MText,"SEE DETAIL",DETAIL-T,15.99369936
B1DE93,AlignedDimension,"KinMerc  A/R  920048  be Cancelled)",C-AR-T,Compass 5 000
B1DED5,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B1E477,AlignedDimension,"Spoke  A/R  121780",F-AR-T,Compass 5 000
B1E4A3,AlignedDimension,"KinMerc  A/R  920003",C-AR-T,Compass 5 000
B1F0B1,MText,"DETAIL SCALE 1:1000",CG-NOTES,19.9921242
B23C90,MText,"159°39'",L-BD,9.9960621
B26A71,BlockReference,"TEMP",L-MON,4.99803105
B26A72,BlockReference,"TEMP",L-MON,4.99803105
B26A73,BlockReference,"TEMP",L-MON,4.99803105
B2BB28,BlockReference,"Disclaimer_Legal",0,0.5375512000738386
